cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.5559,2022-07-25,CD,2022-08-03,4,2022-08-12,2022-08-04,HESM
0.5492,2022-04-26,CD,2022-05-04,4,2022-05-13,2022-05-05,HESM
0.5167,2022-01-24,CD,2022-02-02,4,2022-02-14,2022-02-03,HESM
0.5104,2021-10-25,CD,2021-11-03,4,2021-11-12,2021-11-04,HESM
0.5042,2021-07-28,CD,2021-08-06,4,2021-08-13,2021-08-09,HESM
0.4526,2021-04-23,CD,2021-04-30,4,2021-05-13,2021-05-03,HESM
0.4471,2021-01-26,CD,2021-02-03,4,2021-02-12,2021-02-04,HESM
0.4417,2020-10-26,CD,2020-11-04,4,2020-11-13,2020-11-05,HESM
0.4363,2020-07-27,CD,2020-08-05,4,2020-08-14,2020-08-06,HESM
0.431,2020-04-23,CD,2020-05-01,4,2020-05-14,2020-05-04,HESM
0.4258,2020-01-29,CD,2020-02-05,4,2020-02-14,2020-02-06,HESM
0.4112,2019-10-24,CD,2019-11-01,4,2019-11-13,2019-11-04,HESM
0.397,2019-07-25,CD,2019-08-02,4,2019-08-13,2019-08-05,HESM
0.3833,2019-04-23,CD,2019-05-02,4,2019-05-14,2019-05-03,HESM
0.3701,2019-01-24,CD,2019-02-01,4,2019-02-13,2019-02-04,HESM
0.3575,2018-10-25,CD,2018-11-02,4,2018-11-13,2018-11-05,HESM
0.3452,2018-07-23,CD,2018-08-01,4,2018-08-13,2018-08-02,HESM
0.3333,2018-04-24,CD,2018-05-03,4,2018-05-14,2018-05-04,HESM
0.3218,2018-01-23,CD,2018-02-01,4,2018-02-13,2018-02-02,HESM
0.3107,2017-10-25,CD,2017-11-02,4,2017-11-13,2017-11-03,HESM
0.2703,2017-07-25,CD,2017-08-02,4,2017-08-14,2017-08-04,HESM
