cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.385,2022-07-20,CD,2022-08-31,4,2022-10-04,2022-09-01,HIG
0.385,2022-05-18,CD,2022-05-31,4,2022-07-05,2022-06-01,HIG
0.385,2022-02-16,CD,2022-02-28,4,2022-04-04,2022-03-01,HIG
0.385,2021-10-28,CD,2021-11-30,4,2022-01-04,2021-12-01,HIG
0.35,2021-07-21,CD,2021-08-31,4,2021-10-04,2021-09-01,HIG
0.35,2021-05-24,CD,2021-05-28,4,2021-07-02,2021-06-01,HIG
0.35,2021-02-04,CD,2021-02-26,4,2021-04-02,2021-03-01,HIG
0.325,2020-10-21,CD,2020-11-30,4,2021-01-05,2020-12-01,HIG
0.325,2020-07-16,CD,2020-08-31,4,2020-10-02,2020-09-01,HIG
0.325,2020-05-20,CD,2020-05-29,4,2020-07-02,2020-06-01,HIG
0.325,2020-02-03,CD,2020-02-28,4,2020-04-02,2020-03-02,HIG
0.3,2019-10-24,CD,2019-11-29,4,2020-01-02,2019-12-02,HIG
0.3,2019-07-18,CD,2019-08-30,4,2019-10-01,2019-09-03,HIG
0.3,2019-05-16,CD,2019-05-31,4,2019-07-01,2019-06-03,HIG
0.3,2019-02-21,CD,2019-03-01,4,2019-04-01,2019-03-04,HIG
0.3,2018-10-18,CD,2018-11-30,4,2019-01-02,2018-12-03,HIG
0.3,2018-07-19,CD,2018-08-31,4,2018-10-01,2018-09-04,HIG
0.25,2018-05-17,CD,2018-05-31,4,2018-07-02,2018-06-01,HIG
0.25,2018-02-22,CD,2018-03-02,4,2018-04-02,2018-03-05,HIG
0.25,2017-10-23,CD,2017-11-30,4,2018-01-02,2017-12-01,HIG
0.23,2017-07-20,CD,2017-08-30,4,2017-10-02,2017-09-01,HIG
0.23,2017-05-18,CD,2017-05-30,4,2017-07-03,2017-06-01,HIG
0.23,2017-02-24,CD,2017-03-02,4,2017-04-03,2017-03-06,HIG
0.23,2016-10-27,CD,2016-11-29,4,2017-01-03,2016-12-01,HIG
0.21,2016-07-21,CD,2016-08-30,4,2016-10-03,2016-09-01,HIG
