cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.27,2022-05-02,CD,2022-06-07,4,2022-07-01,2022-06-08,HRB
0.27,2022-02-02,CD,2022-03-07,4,2022-04-01,2022-03-08,HRB
0.27,2021-11-04,CD,2021-12-03,4,2022-01-03,2021-12-06,HRB
0.27,2021-08-26,CD,2021-09-09,4,2021-10-01,2021-09-10,HRB
0.27,2021-06-15,CD,2021-06-24,4,2021-07-01,2021-06-25,HRB
0.26,2021-03-05,CD,2021-03-15,4,2021-04-01,2021-03-16,HRB
0.26,2020-11-05,CD,2020-12-04,4,2021-01-04,2020-12-07,HRB
0.26,2020-08-19,CD,2020-09-10,4,2020-10-01,2020-09-11,HRB
0.26,2020-06-16,CD,2020-06-25,4,2020-07-01,2020-06-26,HRB
0.26,2020-03-03,CD,2020-03-16,4,2020-04-01,2020-03-17,HRB
0.26,2019-11-07,CD,2019-12-06,4,2020-01-02,2019-12-09,HRB
0.26,2019-08-22,CD,2019-09-12,4,2019-10-01,2019-09-13,HRB
0.26,2019-06-11,CD,2019-06-20,4,2019-07-01,2019-06-21,HRB
0.25,2019-03-06,CD,2019-03-15,4,2019-04-01,2019-03-18,HRB
0.25,2018-11-01,CD,2018-11-30,4,2019-01-02,2018-12-03,HRB
0.25,2018-08-23,CD,2018-09-11,4,2018-10-01,2018-09-12,HRB
0.25,2018-06-12,CD,2018-06-21,4,2018-07-02,2018-06-22,HRB
0.24,2018-02-27,CD,2018-03-12,4,2018-04-02,2018-03-13,HRB
0.24,2017-11-06,CD,2017-12-01,4,2018-01-02,2017-12-04,HRB
0.24,2017-08-21,CD,2017-09-12,4,2017-10-02,2017-09-13,HRB
0.24,2017-06-14,CD,2017-06-21,4,2017-07-03,2017-06-23,HRB
0.22,2017-03-01,CD,2017-03-10,4,2017-04-03,2017-03-14,HRB
0.22,2016-11-11,CD,2016-12-01,4,2017-01-03,2016-12-05,HRB
0.22,2016-08-26,CD,2016-09-12,4,2016-10-03,2016-09-14,HRB
0.22,2016-06-10,CD,2016-06-16,4,2016-07-01,2016-06-20,HRB
0.2,2016-03-02,CD,2016-03-11,4,2016-04-01,2016-03-15,HRB
0.2,2015-11-05,CD,2015-12-03,4,2016-01-04,2015-12-07,HRB
0.2,2015-08-20,CD,2015-09-04,4,2015-10-01,2015-09-09,HRB
0.2,2015-05-07,CD,2015-06-11,4,2015-07-01,2015-06-15,HRB
0.2,2015-03-04,CD,2015-03-12,4,2015-04-01,2015-03-16,HRB
0.2,2014-11-06,CD,2014-12-04,4,2015-01-02,2014-12-08,HRB
0.2,2014-08-21,CD,2014-09-05,4,2014-10-01,2014-09-09,HRB
0.2,2014-05-08,CD,2014-06-12,4,2014-07-01,2014-06-16,HRB
0.2,2014-03-05,CD,2014-03-13,4,2014-04-01,2014-03-17,HRB
0.2,2013-11-13,CD,2013-12-05,4,2014-01-02,2013-12-09,HRB
0.2,2013-09-23,CD,2013-09-06,4,2013-10-01,2013-09-10,HRB
0.2,2013-05-30,CD,2013-06-13,4,2013-07-01,2013-06-17,HRB
0.2,2013-03-06,CD,2013-03-14,4,2013-04-01,2013-03-18,HRB
0.2,2012-11-12,CD,2012-12-06,4,2013-01-02,2012-12-10,HRB
0.2,2012-08-24,CD,2012-09-12,4,2012-10-01,2012-09-14,HRB
0.2,2012-05-11,CD,2012-06-07,4,2012-07-02,2012-06-11,HRB
0.2,2012-03-02,CD,2012-03-08,4,2012-04-02,2012-03-12,HRB
0.2,2011-12-09,CD,2011-12-20,4,2012-01-05,2011-12-22,HRB
