cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.06,2022-05-05,CD,2022-06-13,4,2022-07-05,2022-06-14,HRTG
0.06,2022-03-07,CD,2022-03-16,4,2022-04-06,2022-03-17,HRTG
0.06,2021-11-04,CD,2021-12-14,4,2022-01-06,2021-12-15,HRTG
0.06,2021-08-05,CD,2021-09-14,4,2021-10-06,2021-09-15,HRTG
0.06,2021-05-05,CD,2021-06-14,4,2021-07-06,2021-06-15,HRTG
0.06,2021-03-03,CD,2021-03-12,4,2021-04-06,2021-03-15,HRTG
0.06,2020-11-02,CD,2020-12-14,4,2021-01-05,2020-12-15,HRTG
0.06,2020-08-03,CD,2020-09-14,4,2020-10-02,2020-09-15,HRTG
0.06,2020-05-04,CD,2020-06-12,4,2020-07-06,2020-06-15,HRTG
0.06,2020-02-27,CD,2020-03-13,4,2020-04-03,2020-03-16,HRTG
0.06,2019-10-31,CD,2019-12-13,4,2020-01-03,2019-12-16,HRTG
0.06,2019-08-01,CD,2019-09-13,4,2019-10-03,2019-09-16,HRTG
0.06,2019-05-06,CD,2019-06-13,4,2019-07-03,2019-06-14,HRTG
0.06,2019-02-25,CD,2019-03-14,4,2019-04-03,2019-03-15,HRTG
0.06,2018-10-31,CD,2018-12-13,4,2019-01-04,2018-12-15,HRTG
0.06,2018-08-02,CD,2018-09-13,4,2018-10-03,2018-09-15,HRTG
0.06,2018-05-09,CD,2018-06-14,4,2018-07-06,2018-06-15,HRTG
0.06,2018-02-26,CD,2018-03-14,4,2018-04-03,2018-03-15,HRTG
0.06,2017-11-01,CD,2017-11-16,4,2017-12-15,2017-11-17,HRTG
0.06,2017-08-09,CD,2017-09-14,4,2017-10-02,2017-09-15,HRTG
0.06,2017-05-02,CD,2017-06-13,4,2017-07-05,2017-06-15,HRTG
0.06,2017-03-02,CD,2017-03-13,4,2017-04-04,2017-03-15,HRTG
0.06,2016-11-08,CD,2016-12-13,4,2017-01-04,2016-12-15,HRTG
0.06,2016-08-03,CD,2016-09-13,4,2016-10-03,2016-09-15,HRTG
0.06,2016-05-04,CD,2016-06-13,4,2016-07-01,2016-06-15,HRTG
0.05,2016-03-02,CD,2016-03-11,4,2016-04-05,2016-03-15,HRTG
0.05,2015-12-17,CD,2015-12-29,4,2016-01-13,2015-12-31,HRTG
