cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.1,2022-07-25,CD,2022-08-04,4,2022-08-12,2022-08-05,HXL
0.1,2022-04-25,CD,2022-05-05,4,2022-05-13,2022-05-06,HXL
0.1,2022-01-26,CD,2022-02-10,4,2022-02-18,2022-02-11,HXL
0.17,2020-02-03,CD,2020-02-13,4,2020-02-21,2020-02-14,HXL
0.17,2019-10-21,CD,2019-10-31,4,2019-11-08,2019-11-01,HXL
0.17,2019-07-22,CD,2019-08-01,4,2019-08-09,2019-08-02,HXL
0.15,2019-04-23,CD,2019-05-02,4,2019-05-10,2019-05-03,HXL
0.15,2019-01-23,CD,2019-02-04,4,2019-02-12,2019-02-05,HXL
0.15,2018-10-22,CD,2018-11-01,4,2018-11-09,2018-11-02,HXL
0.15,2018-07-23,CD,2018-08-02,4,2018-08-10,2018-08-03,HXL
0.125,2018-04-24,CD,2018-05-03,4,2018-05-11,2018-05-04,HXL
0.125,2018-01-25,CD,2018-02-05,4,2018-02-13,2018-02-06,HXL
0.125,2017-10-18,CD,2017-10-31,4,2017-11-08,2017-11-01,HXL
0.125,2017-07-24,CD,2017-08-01,4,2017-08-10,2017-08-03,HXL
0.11,2017-04-21,CD,2017-04-28,4,2017-05-09,2017-05-02,HXL
0.11,2017-01-25,CD,2017-02-06,4,2017-02-15,2017-02-08,HXL
0.11,2016-10-19,CD,2016-10-31,4,2016-11-09,2016-11-02,HXL
0.11,2016-07-20,CD,2016-08-01,4,2016-08-10,2016-08-03,HXL
0.11,2016-05-02,CD,2016-05-02,4,2016-05-11,2016-05-04,HXL
0.1,2016-01-21,CD,2016-02-03,4,2016-02-12,2016-02-05,HXL
0.1,2015-10-19,CD,2015-10-29,4,2015-11-16,2015-11-02,HXL
0.1,2015-07-20,CD,2015-07-30,4,2015-08-17,2015-08-03,HXL
0.1,2015-04-20,CD,2015-04-30,4,2015-05-18,2015-05-04,HXL
0.1,2015-01-13,CD,2015-01-30,4,2015-02-17,2015-02-03,HXL
0.11,1992-10-20,CD,1992-10-27,4,1992-11-16,1992-11-02,HXL
0.11,1992-06-23,CD,1992-07-28,4,1992-08-17,1992-08-03,HXL
0.11,1992-03-24,CD,1992-04-28,4,1992-05-18,1992-05-04,HXL
0.11,1992-01-21,CD,1992-01-28,4,1992-02-17,1992-02-03,HXL
0.11,1991-10-22,CD,1991-10-29,4,1991-11-18,1991-11-04,HXL
0.11,1991-06-27,CD,1991-07-30,4,1991-08-19,1991-08-05,HXL
0.11,1991-05-02,CD,1991-05-07,4,1991-05-20,1991-05-13,HXL
0.11,1991-01-22,CD,1991-01-29,4,1991-02-18,1991-02-04,HXL
0.11,1990-10-23,CD,1990-10-30,4,1990-11-19,1990-11-05,HXL
0.11,1990-06-19,CD,1990-07-31,4,1990-08-20,1990-08-06,HXL
0.11,1990-04-26,CD,1990-05-01,4,1990-05-21,1990-05-07,HXL
0.11,1990-01-24,CD,1990-01-30,4,1990-02-19,1990-02-05,HXL
0.11,1989-10-24,CD,1989-10-31,4,1989-11-20,1989-11-06,HXL
0.11,1989-06-20,CD,1989-08-01,4,1989-08-21,1989-08-07,HXL
0.11,1989-04-25,CD,1989-05-02,4,1989-05-22,1989-05-08,HXL
0.11,1989-01-24,CD,1989-01-31,4,1989-02-20,1989-02-06,HXL
0.11,1988-10-18,CD,1988-10-25,4,1988-11-14,1988-10-31,HXL
0.11,1988-06-21,CD,1988-07-26,4,1988-08-15,1988-08-01,HXL
0.1100486667,1988-03-24,CD,1988-05-03,4,1970-01-01,1988-04-29,HXL
0.1000533333,1987-12-17,CD,1988-01-26,4,1970-01-01,1988-01-22,HXL
0.1000533333,1987-09-16,CD,1987-10-26,4,1970-01-01,1987-10-22,HXL
0.1000533333,1987-06-17,CD,1987-07-27,4,1970-01-01,1987-07-23,HXL
0.1000533333,1987-03-19,CD,1987-04-28,4,1970-01-01,1987-04-24,HXL
0.1000533333,1986-12-18,CD,1987-01-27,4,1970-01-01,1987-01-23,HXL
0.1000533333,1986-09-17,CD,1986-10-27,4,1970-01-01,1986-10-23,HXL
0.1000533333,1986-06-18,CD,1986-07-28,4,1970-01-01,1986-07-24,HXL
0.1000533333,1986-03-20,CD,1986-04-29,4,1970-01-01,1986-04-25,HXL
0.1000533333,1985-12-19,CD,1986-01-28,4,1970-01-01,1986-01-24,HXL
0.1000533333,1985-09-18,CD,1985-10-28,4,1970-01-01,1985-10-24,HXL
0.1000533333,1985-06-19,CD,1985-07-29,4,1970-01-01,1985-07-25,HXL
0.1000533333,1985-03-21,CD,1985-04-30,4,1970-01-01,1985-04-26,HXL
0.1000533333,1984-12-20,CD,1985-01-29,4,1970-01-01,1985-01-25,HXL
