cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.65,2022-05-20,CD,2022-06-30,4,2022-07-26,2022-07-01,INGR
0.65,2022-03-16,CD,2022-03-31,4,2022-04-26,2022-04-01,INGR
0.65,2021-12-10,CD,2021-12-31,4,2022-01-24,2022-01-03,INGR
0.65,2021-09-22,CD,2021-10-01,4,2021-10-25,2021-10-04,INGR
0.64,2021-05-19,CD,2021-06-30,4,2021-07-26,2021-07-01,INGR
0.64,2021-03-16,CD,2021-03-31,4,2021-04-26,2021-04-01,INGR
0.64,2020-12-11,CD,2020-12-31,4,2021-01-28,2021-01-04,INGR
0.64,2020-09-16,CD,2020-09-30,4,2020-10-26,2020-10-01,INGR
0.63,2020-05-20,CD,2020-06-30,4,2020-07-27,2020-07-01,INGR
0.63,2020-03-18,CD,2020-03-31,4,2020-04-27,2020-04-01,INGR
0.63,2019-12-27,CD,2019-12-31,4,2020-01-27,2020-01-02,INGR
0.63,2019-09-18,CD,2019-09-30,4,2019-10-25,2019-10-01,INGR
0.625,2019-05-15,CD,2019-06-28,4,2019-07-25,2019-07-01,INGR
0.625,2019-03-21,CD,2019-03-29,4,2019-04-25,2019-04-01,INGR
0.625,2018-12-14,CD,2018-12-31,4,2019-01-25,2019-01-02,INGR
0.625,2018-09-14,CD,2018-09-28,4,2018-10-25,2018-10-01,INGR
0.6,2018-05-17,CD,2018-06-29,4,2018-07-25,2018-07-02,INGR
0.6,2018-03-21,CD,2018-03-29,4,2018-04-25,2018-04-02,INGR
0.6,2017-12-15,CD,2017-12-29,4,2018-01-25,2018-01-02,INGR
0.6,2017-09-15,CD,2017-09-29,4,2017-10-25,2017-10-02,INGR
0.5,2017-05-19,CD,2017-06-28,4,2017-07-25,2017-06-30,INGR
0.5,2017-03-15,CD,2017-03-29,4,2017-04-25,2017-03-31,INGR
0.5,2016-12-13,CD,2016-12-28,4,2017-01-25,2016-12-30,INGR
0.5,2016-09-21,CD,2016-09-29,4,2016-10-25,2016-10-03,INGR
0.45,2016-05-18,CD,2016-06-28,4,2016-07-25,2016-06-30,INGR
0.45,2016-03-16,CD,2016-03-29,4,2016-04-25,2016-03-31,INGR
0.45,2015-12-11,CD,2015-12-29,4,2016-01-25,2015-12-31,INGR
0.45,2015-09-17,CD,2015-09-28,4,2015-10-26,2015-09-30,INGR
0.42,2015-05-20,CD,2015-06-26,4,2015-07-27,2015-06-30,INGR
0.42,2015-03-18,CD,2015-03-27,4,2015-04-27,2015-03-31,INGR
0.42,2014-12-12,CD,2014-12-29,4,2015-01-26,2014-12-31,INGR
0.42,2014-09-16,CD,2014-09-26,4,2014-10-27,2014-09-30,INGR
0.42,2014-05-21,CD,2014-06-26,4,2014-07-25,2014-06-30,INGR
