cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.39,2022-07-27,CD,2022-08-05,4,2022-08-24,2022-08-08,JHG
0.39,2022-05-04,CD,2022-05-13,4,2022-05-31,2022-05-16,JHG
0.38,2022-02-02,CD,2022-02-11,4,2022-02-28,2022-02-14,JHG
0.38,2021-10-27,CD,2021-11-05,4,2021-11-24,2021-11-08,JHG
0.38,2021-07-28,CD,2021-08-06,4,2021-08-25,2021-08-09,JHG
0.38,2021-04-28,CD,2021-05-10,4,2021-05-27,2021-05-11,JHG
0.36,2021-02-03,CD,2021-02-16,4,2021-03-03,2021-02-17,JHG
0.36,2020-10-30,CD,2020-11-06,4,2020-11-23,2020-11-09,JHG
0.36,2020-07-28,CD,2020-08-07,4,2020-08-26,2020-08-10,JHG
0.36,2020-05-06,CD,2020-05-15,4,2020-06-03,2020-05-18,JHG
0.36,2020-02-05,CD,2020-02-14,4,2020-03-05,2020-02-18,JHG
0.36,2019-10-29,CD,2019-11-07,4,2019-11-25,2019-11-11,JHG
0.36,2019-07-31,CD,2019-08-09,4,2019-08-28,2019-08-12,JHG
0.36,2019-05-01,CD,2019-05-10,4,2019-05-29,2019-05-13,JHG
0.36,2019-02-04,CD,2019-02-14,4,2019-02-26,2019-02-15,JHG
0.36,2018-10-31,CD,2018-11-08,4,2018-11-30,2018-11-12,JHG
0.36,2018-07-31,CD,2018-08-10,4,2018-08-24,2018-08-13,JHG
0.36,2018-05-09,CD,2018-05-18,4,2018-06-01,2018-05-21,JHG
0.32,2018-02-05,CD,2018-02-15,4,2018-03-02,2018-02-16,JHG
0.32,2017-10-31,CD,2017-11-17,4,2017-12-01,2017-11-20,JHG
0.32,2017-08-08,CD,2017-08-16,4,2017-09-01,2017-08-18,JHG
