cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.59,2022-07-29,CD,2022-08-31,4,2022-09-15,2022-09-01,K
0.58,2022-04-29,CD,2022-05-31,4,2022-06-15,2022-06-01,K
0.58,2022-02-18,CD,2022-02-28,4,2022-03-15,2022-03-01,K
0.58,2021-10-29,CD,2021-11-30,4,2021-12-15,2021-12-01,K
0.58,2021-07-30,CD,2021-08-31,4,2021-09-15,2021-09-01,K
0.58,2021-04-30,CD,2021-05-28,4,2021-06-15,2021-06-01,K
0.57,2021-02-11,CD,2021-03-01,4,2021-03-15,2021-03-02,K
0.57,2020-10-23,CD,2020-11-30,4,2020-12-15,2020-12-01,K
0.57,2020-07-24,CD,2020-08-31,4,2020-09-15,2020-09-01,K
0.57,2020-04-24,CD,2020-05-29,4,2020-06-15,2020-06-01,K
0.57,2020-02-21,CD,2020-03-02,4,2020-03-16,2020-03-03,K
0.57,2019-10-18,CD,2019-11-29,4,2019-12-16,2019-12-02,K
0.57,2019-07-26,CD,2019-08-30,4,2019-09-13,2019-09-03,K
0.56,2019-04-26,CD,2019-05-31,4,2019-06-14,2019-06-03,K
0.56,2019-02-22,CD,2019-03-04,4,2019-03-15,2019-03-05,K
0.56,2018-10-19,CD,2018-11-30,4,2018-12-17,2018-12-03,K
0.56,2018-07-27,CD,2018-08-31,4,2018-09-17,2018-09-04,K
0.54,2018-04-27,CD,2018-05-31,4,2018-06-15,2018-06-01,K
0.54,2018-02-16,CD,2018-03-02,4,2018-03-15,2018-03-05,K
0.54,2017-10-20,CD,2017-11-30,4,2017-12-15,2017-12-01,K
0.54,2017-08-01,CD,2017-08-30,4,2017-09-15,2017-09-01,K
0.52,2017-04-28,CD,2017-05-30,4,2017-06-15,2017-06-01,K
0.52,2017-02-17,CD,2017-02-27,4,2017-03-15,2017-03-01,K
0.52,2016-10-21,CD,2016-11-29,4,2016-12-15,2016-12-01,K
0.52,2016-07-29,CD,2016-08-30,4,2016-09-15,2016-09-01,K
0.5,2016-04-29,CD,2016-05-27,4,2016-06-15,2016-06-01,K
0.5,2016-02-19,CD,2016-02-26,4,2016-03-15,2016-03-01,K
0.5,2015-10-23,CD,2015-11-27,4,2015-12-15,2015-12-01,K
0.5,2015-07-24,CD,2015-08-28,4,2015-09-15,2015-09-01,K
0.49,2015-04-24,CD,2015-05-28,4,2015-06-15,2015-06-01,K
0.49,2015-02-20,CD,2015-03-04,4,2015-03-18,2015-03-06,K
0.49,2014-10-24,CD,2014-11-26,4,2014-12-15,2014-12-01,K
0.49,2014-07-25,CD,2014-08-28,4,2014-09-15,2014-09-02,K
0.46,2014-04-25,CD,2014-05-29,4,2014-06-16,2014-06-02,K
0.46,2014-02-24,CD,2014-03-04,4,2014-03-17,2014-03-06,K
0.46,2013-10-25,CD,2013-11-27,4,2013-12-16,2013-12-02,K
0.46,2013-07-26,CD,2013-08-29,4,2013-09-16,2013-09-03,K
0.44,2013-04-26,CD,2013-05-30,4,2013-06-17,2013-06-03,K
0.44,2013-02-22,CD,2013-02-28,4,2013-03-15,2013-03-04,K
0.44,2012-10-26,CD,2012-11-29,4,2012-12-17,2012-12-03,K
0.44,2012-07-23,CD,2012-08-30,4,2012-09-17,2012-09-04,K
0.43,2012-04-21,CD,2012-05-30,4,2012-06-15,2012-06-01,K
0.43,2012-02-18,CD,2012-02-28,4,2012-03-15,2012-03-01,K
0.43,2011-10-29,CD,2011-11-29,4,2011-12-15,2011-12-01,K
0.43,2011-07-25,CD,2011-08-30,4,2011-09-15,2011-09-01,K
0.405,2011-04-30,CD,2011-05-27,4,2011-06-15,2011-06-01,K
0.405,2011-02-19,CD,2011-02-25,4,2011-03-15,2011-03-01,K
0.405,2010-10-30,CD,2010-11-29,4,2010-12-15,2010-12-01,K
0.405,2010-07-24,CD,2010-08-30,4,2010-09-15,2010-09-01,K
0.375,2010-04-24,CD,2010-05-27,4,2010-06-15,2010-06-01,K
0.375,2010-02-22,CD,2010-02-26,4,2010-03-15,2010-03-02,K
0.375,2009-10-26,CD,2009-11-30,4,2009-12-15,2009-12-02,K
0.375,2009-07-27,CD,2009-08-28,4,2009-09-15,2009-09-01,K
0.34,2009-04-24,CD,2009-05-28,4,2009-06-16,2009-06-01,K
0.34,2009-02-23,CD,2009-02-27,4,2009-03-17,2009-03-03,K
0.34,2008-10-27,CD,2008-12-01,4,2008-12-16,2008-12-03,K
0.34,2008-07-28,CD,2008-08-28,4,2008-09-16,2008-09-02,K
0.31,2008-04-25,CD,2008-05-29,4,2008-06-17,2008-06-02,K
0.31,2008-02-22,CD,2008-02-29,4,2008-03-18,2008-03-04,K
0.31,2007-10-26,CD,2007-11-29,4,2007-12-14,2007-12-03,K
0.31,2007-07-20,CD,2007-08-29,4,2007-09-14,2007-08-31,K
0.291,2007-04-27,CD,2007-05-30,4,2007-06-15,2007-06-01,K
0.291,2007-02-16,CD,2007-02-27,4,2007-03-15,2007-03-01,K
0.291,2006-10-20,CD,2006-11-29,4,2006-12-15,2006-12-01,K
0.291,2006-04-21,CD,2006-08-30,4,2006-09-15,2006-09-01,K
0.2775,2006-04-21,CD,2006-05-30,4,2006-06-15,2006-06-01,K
0.2775,2006-02-17,CD,2006-02-27,4,2006-03-15,2006-03-01,K
0.2775,2005-10-28,CD,2005-11-29,4,2005-12-15,2005-12-01,K
0.2775,2005-07-25,CD,2005-08-30,4,2005-09-15,2005-09-01,K
0.2525,2005-05-04,CD,2005-05-27,4,2005-06-15,2005-06-01,K
0.2525,2005-02-05,CD,2005-02-25,4,2005-03-15,2005-03-01,K
0.2525,2004-10-22,CD,2004-11-23,4,2004-12-15,2004-11-26,K
0.2525,2004-07-16,CD,2004-08-27,4,2004-09-15,2004-08-31,K
0.2525,2004-04-27,CD,2004-05-27,4,2004-06-15,2004-06-01,K
0.2525,2004-02-11,CD,2004-03-02,4,2004-03-15,2004-03-04,K
0.2525,2003-10-25,CD,2003-11-25,4,2003-12-15,2003-11-28,K
0.2525,2003-08-07,CD,2003-08-27,4,2003-09-15,2003-08-29,K
0.2525,2003-04-25,CD,2003-05-28,4,2003-06-13,2003-05-30,K
0.2525,2003-02-21,CD,2003-02-27,4,2003-03-14,2003-03-03,K
0.2525,2002-10-28,CD,2002-11-26,4,2002-12-13,2002-11-29,K
0.2525,2002-07-26,CD,2002-08-28,4,2002-09-13,2002-08-30,K
0.2525,2002-04-26,CD,2002-05-29,4,2002-06-14,2002-05-31,K
0.2525,2002-02-08,CD,2002-02-28,4,2002-03-15,2002-03-04,K
0.2525,2001-10-26,CD,2001-11-28,4,2001-12-14,2001-11-30,K
0.2525,2001-07-27,CD,2001-08-29,4,2001-09-14,2001-08-31,K
0.2525,2001-04-27,CD,2001-05-29,4,2001-06-15,2001-05-31,K
0.2525,2001-02-16,CD,2001-02-26,4,2001-03-15,2001-02-28,K
0.2525,2000-10-27,CD,2000-11-28,4,2000-12-15,2000-11-30,K
0.2475,2000-07-28,CD,2000-08-29,4,2000-09-15,2000-08-31,K
0.245,2000-04-28,CD,2000-05-26,4,2000-06-15,2000-05-31,K
0.245,2000-02-18,CD,2000-02-25,4,2000-03-15,2000-02-29,K
0.245,1999-10-29,CD,1999-11-26,4,1999-12-15,1999-11-30,K
0.245,1999-08-07,CD,1999-08-27,4,1999-09-15,1999-08-31,K
0.235,1999-04-23,CD,1999-05-26,4,1999-06-15,1999-05-28,K
0.235,1999-02-19,CD,1999-02-25,4,1999-03-15,1999-03-01,K
0.235,1998-11-04,CD,1998-11-24,4,1998-12-15,1998-11-27,K
0.235,1998-07-31,CD,1998-08-26,4,1998-09-15,1998-08-28,K
0.225,1998-04-24,CD,1998-05-27,4,1998-06-15,1998-05-29,K
0.225,1998-02-20,CD,1998-02-26,4,1998-03-13,1998-03-02,K
0.225,1997-10-31,CD,1997-11-25,4,1997-12-15,1997-11-28,K
0.225,1997-08-01,CD,1997-08-27,4,1997-09-15,1997-08-29,K
0.21,1997-04-25,CD,1997-05-28,4,1997-06-13,1997-05-30,K
0.21,1997-02-21,CD,1997-02-26,4,1997-03-14,1997-02-28,K
0.21,1996-11-07,CD,1996-11-27,4,1970-01-01,1996-11-29,K
0.21,1996-11-06,CD,1996-11-26,4,1996-12-13,1996-11-29,K
0.21,1996-07-26,CD,1996-08-28,4,1996-09-13,1996-08-30,K
0.195,1996-04-19,CD,1996-05-29,4,1996-06-14,1996-05-31,K
0.195,1996-02-16,CD,1996-02-28,4,1996-03-15,1996-03-01,K
0.195,1995-10-27,CD,1995-11-29,4,1995-12-14,1995-12-01,K
0.195,1995-07-28,CD,1995-08-30,4,1995-09-15,1995-09-01,K
0.18,1995-04-21,CD,1995-05-25,4,1995-06-15,1995-06-01,K
0.18,1995-02-03,CD,1995-02-23,4,1995-03-15,1995-03-01,K
0.18,1994-11-09,CD,1994-11-25,4,1994-12-15,1994-12-01,K
0.18,1994-07-22,CD,1994-08-26,4,1994-09-15,1994-09-01,K
