cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.12,2022-05-19,CD,2022-06-14,4,2022-07-15,2022-06-15,KBR
0.12,2022-02-18,CD,2022-03-14,4,2022-04-15,2022-03-15,KBR
0.11,2021-11-04,CD,2021-12-14,4,2022-01-14,2021-12-15,KBR
0.11,2021-08-18,CD,2021-09-14,4,2021-10-15,2021-09-15,KBR
0.11,2021-05-24,CD,2021-06-14,4,2021-07-15,2021-06-15,KBR
0.11,2021-03-25,CD,2021-04-01,4,2021-04-15,2021-04-05,KBR
0.1,2020-10-13,CD,2020-12-14,4,2021-01-15,2020-12-15,KBR
0.1,2020-08-25,CD,2020-09-14,4,2020-10-15,2020-09-15,KBR
0.1,2020-05-14,CD,2020-06-12,4,2020-07-15,2020-06-15,KBR
0.1,2020-02-20,CD,2020-03-13,4,2020-04-15,2020-03-16,KBR
0.08,2019-10-22,CD,2019-12-13,4,2020-01-15,2019-12-16,KBR
0.08,2019-08-21,CD,2019-09-13,4,2019-10-15,2019-09-16,KBR
0.08,2019-05-15,CD,2019-06-14,4,2019-07-15,2019-06-17,KBR
0.08,2019-03-05,CD,2019-03-14,4,2019-04-15,2019-03-15,KBR
0.08,2018-10-10,CD,2018-12-14,4,2019-01-15,2018-12-17,KBR
0.08,2018-08-09,CD,2018-09-14,4,2018-10-15,2018-09-17,KBR
0.08,2018-05-17,CD,2018-06-14,4,2018-07-13,2018-06-15,KBR
0.08,2018-02-07,CD,2018-03-14,4,2018-04-13,2018-03-15,KBR
0.08,2017-10-11,CD,2017-12-14,4,2018-01-15,2017-12-15,KBR
0.08,2017-08-10,CD,2017-09-14,4,2017-10-13,2017-09-15,KBR
0.08,2017-05-17,CD,2017-06-13,4,2017-07-14,2017-06-15,KBR
0.08,2017-03-01,CD,2017-03-13,4,2017-04-14,2017-03-15,KBR
0.08,2016-10-26,CD,2016-12-13,4,2017-01-13,2016-12-15,KBR
0.08,2016-08-11,CD,2016-09-13,4,2016-10-14,2016-09-15,KBR
0.08,2016-05-12,CD,2016-06-13,4,2016-07-15,2016-06-15,KBR
0.08,2016-02-25,CD,2016-03-11,4,2016-04-15,2016-03-15,KBR
0.08,2015-10-28,CD,2015-12-11,4,2016-01-15,2015-12-15,KBR
0.08,2015-08-06,CD,2015-09-11,4,2015-10-15,2015-09-15,KBR
0.08,2015-05-14,CD,2015-06-11,4,2015-07-15,2015-06-15,KBR
0.08,2015-02-25,CD,2015-03-12,4,2015-04-15,2015-03-16,KBR
0.08,2014-10-02,CD,2014-12-11,4,2015-01-15,2014-12-15,KBR
0.08,2014-07-09,CD,2014-09-11,4,2014-10-15,2014-09-15,KBR
0.08,2014-05-15,CD,2014-06-11,4,2014-07-15,2014-06-13,KBR
0.08,2014-02-25,CD,2014-03-12,4,2014-04-15,2014-03-14,KBR
0.08,2013-10-03,CD,2013-12-11,4,2014-01-15,2013-12-13,KBR
0.08,2013-07-11,CD,2013-09-11,4,2013-10-15,2013-09-13,KBR
0.08,2013-05-15,CD,2013-06-12,4,2013-07-15,2013-06-14,KBR
0.08,2012-12-18,CD,2013-03-13,4,2013-04-15,2013-03-15,KBR
0.05,2012-10-19,CD,2012-12-10,4,2012-12-28,2012-12-12,KBR
0.05,2012-07-12,CD,2012-09-12,4,2012-10-15,2012-09-14,KBR
0.05,2012-05-17,CD,2012-06-13,4,2012-07-16,2012-06-15,KBR
0.05,2012-02-22,CD,2012-03-13,4,2012-04-16,2012-03-15,KBR
0.05,2011-10-07,CD,2011-12-13,4,2012-01-17,2011-12-15,KBR
0.05,2011-07-15,CD,2011-09-13,4,2011-10-17,2011-09-15,KBR
0.05,2011-05-19,CD,2011-06-13,4,2011-07-15,2011-06-15,KBR
0.05,2011-02-23,CD,2011-03-11,4,2011-04-15,2011-03-15,KBR
0.05,2010-10-07,CD,2010-12-13,4,2011-01-17,2010-12-15,KBR
0.05,2010-07-16,CD,2010-09-13,4,2010-10-15,2010-09-15,KBR
0.05,2010-05-20,CD,2010-06-11,4,2010-07-15,2010-06-15,KBR
0.05,2009-12-22,CD,2010-03-11,4,2010-04-15,2010-03-15,KBR
0.05,2009-10-08,CD,2009-12-11,4,2010-01-15,2009-12-15,KBR
0.05,2008-06-05,CD,2009-09-11,4,2009-10-15,2009-09-15,KBR
0.05,2009-05-14,CD,2009-06-11,4,2009-07-15,2009-06-15,KBR
0.05,2008-12-18,CD,2009-03-11,4,2009-04-15,2009-03-13,KBR
0.05,2008-10-27,CD,2008-12-11,4,2009-01-15,2008-12-15,KBR
0.05,2008-08-07,CD,2008-09-11,4,2008-10-15,2008-09-15,KBR
0.05,2008-05-06,CD,2008-06-11,4,2008-07-15,2008-06-13,KBR
0.05,2008-02-29,CD,2008-03-12,4,2008-04-15,2008-03-14,KBR
