cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.195,2022-07-06,CD,2022-08-29,4,2022-09-15,2022-08-30,KEY
0.195,2022-05-12,CD,2022-05-27,4,2022-06-15,2022-05-31,KEY
0.195,2022-01-13,CD,2022-02-28,4,2022-03-15,2022-03-01,KEY
0.195,2021-11-18,CD,2021-11-29,4,2021-12-15,2021-11-30,KEY
0.185,2021-07-07,CD,2021-08-30,4,2021-09-15,2021-08-31,KEY
0.185,2021-05-13,CD,2021-05-28,4,2021-06-15,2021-06-01,KEY
0.185,2021-01-14,CD,2021-03-01,4,2021-03-15,2021-03-02,KEY
0.185,2020-11-19,CD,2020-11-30,4,2020-12-15,2020-12-01,KEY
0.185,2020-07-08,CD,2020-08-31,4,2020-09-15,2020-09-01,KEY
0.185,2020-05-20,CD,2020-06-01,4,2020-06-15,2020-06-02,KEY
0.185,2020-01-16,CD,2020-03-02,4,2020-03-13,2020-03-03,KEY
0.185,2019-11-21,CD,2019-12-02,4,2019-12-13,2019-12-03,KEY
0.185,2019-07-17,CD,2019-08-26,4,2019-09-13,2019-08-27,KEY
0.17,2019-05-15,CD,2019-05-24,4,2019-06-14,2019-05-28,KEY
0.17,2019-01-10,CD,2019-03-04,4,2019-03-15,2019-03-05,KEY
0.17,2018-11-15,CD,2018-11-26,4,2018-12-14,2018-11-27,KEY
0.17,2018-07-12,CD,2018-08-27,4,2018-09-14,2018-08-28,KEY
0.12,2018-05-09,CD,2018-05-25,4,2018-06-15,2018-05-29,KEY
0.105,2018-01-11,CD,2018-02-26,4,2018-03-15,2018-02-27,KEY
0.105,2017-11-16,CD,2017-11-27,4,2017-12-15,2017-11-28,KEY
0.095,2017-07-12,CD,2017-08-25,4,2017-09-15,2017-08-29,KEY
0.095,2017-05-18,CD,2017-05-25,4,2017-06-15,2017-05-30,KEY
0.085,2017-01-12,CD,2017-02-24,4,2017-03-15,2017-02-28,KEY
0.085,2016-11-17,CD,2016-11-25,4,2016-12-15,2016-11-29,KEY
0.085,2016-07-13,CD,2016-07-27,4,2016-09-15,2016-07-29,KEY
0.085,2016-05-19,CD,2016-05-26,4,2016-06-15,2016-05-31,KEY
0.075,2016-01-14,CD,2016-02-26,4,2016-03-15,2016-03-01,KEY
0.075,2015-11-19,CD,2015-11-27,4,2015-12-15,2015-12-01,KEY
0.075,2015-07-09,CD,2015-08-28,4,2015-09-15,2015-09-01,KEY
0.075,2015-05-14,CD,2015-05-29,4,2015-06-15,2015-06-02,KEY
0.065,2015-01-15,CD,2015-02-27,4,2015-03-13,2015-03-03,KEY
0.065,2014-11-17,CD,2014-11-28,4,2014-12-15,2014-12-02,KEY
0.065,2014-07-11,CD,2014-08-28,4,2014-09-15,2014-09-02,KEY
0.065,2014-05-13,CD,2014-05-22,4,2014-06-13,2014-05-27,KEY
0.055,2014-01-16,CD,2014-02-28,4,2014-03-14,2014-03-04,KEY
0.055,2013-11-21,CD,2013-11-29,4,2013-12-13,2013-12-03,KEY
0.055,2013-07-12,CD,2013-08-23,4,2013-09-13,2013-08-27,KEY
0.055,2013-05-16,CD,2013-05-23,4,2013-06-14,2013-05-28,KEY
0.05,2013-01-17,CD,2013-03-01,4,2013-03-15,2013-03-05,KEY
0.05,2012-11-15,CD,2012-11-23,4,2012-12-14,2012-11-27,KEY
0.05,2012-07-16,CD,2012-08-24,4,2012-09-14,2012-08-28,KEY
0.05,2012-05-18,CD,2012-05-24,4,2012-06-15,2012-05-29,KEY
0.03,2012-01-20,CD,2012-02-24,4,2012-03-15,2012-02-28,KEY
0.03,2011-11-18,CD,2011-11-25,4,2011-12-15,2011-11-29,KEY
