cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.12,2022-07-29,CD,2022-09-01,4,2022-09-26,2022-09-05,KNX
0.12,2022-04-25,CD,2022-06-09,4,2022-06-27,2022-06-10,KNX
0.12,2022-02-04,CD,2022-03-03,4,2022-03-28,2022-03-04,KNX
0.1,2021-11-04,CD,2021-12-02,4,2021-12-27,2021-12-03,KNX
0.1,2021-07-30,CD,2021-09-02,4,2021-09-27,2021-09-03,KNX
0.1,2021-04-20,CD,2021-06-03,4,2021-06-28,2021-06-04,KNX
0.08,2021-02-05,CD,2021-03-04,4,2021-03-26,2021-03-05,KNX
0.08,2020-11-10,CD,2020-12-03,4,2020-12-28,2020-12-04,KNX
0.08,2020-07-31,CD,2020-09-03,4,2020-09-25,2020-09-04,KNX
0.08,2020-05-07,CD,2020-06-04,4,2020-06-26,2020-06-05,KNX
0.08,2020-02-07,CD,2020-03-02,4,2020-03-27,2020-03-03,KNX
0.06,2019-11-07,CD,2019-12-02,4,2019-12-27,2019-12-03,KNX
0.06,2019-08-01,CD,2019-08-30,4,2019-09-27,2019-09-03,KNX
0.06,2019-05-09,CD,2019-05-31,4,2019-06-27,2019-06-03,KNX
0.06,2019-01-31,CD,2019-03-01,4,2019-03-27,2019-03-04,KNX
0.06,2018-11-09,CD,2018-11-30,4,2018-12-27,2018-12-03,KNX
0.06,2018-08-02,CD,2018-08-30,4,2018-09-27,2018-09-03,KNX
0.06,2018-05-10,CD,2018-05-31,4,2018-06-27,2018-06-01,KNX
0.06,2018-01-31,CD,2018-02-28,4,2018-03-27,2018-03-01,KNX
0.06,2017-11-08,CD,2017-11-30,4,2017-12-27,2017-12-01,KNX
0.0833333333,2017-08-02,CD,2017-08-30,4,2017-09-29,2017-09-01,KNX
0.0833333333,2017-05-11,CD,2017-05-31,4,2017-06-23,2017-06-02,KNX
0.0833333333,2017-02-01,CD,2017-03-01,4,2017-03-27,2017-03-03,KNX
0.0833333333,2016-11-08,CD,2016-11-30,4,2016-12-27,2016-12-02,KNX
0.0833333333,2016-08-04,CD,2016-08-31,4,2016-09-30,2016-09-02,KNX
0.0833333333,2016-05-12,CD,2016-06-01,4,2016-06-24,2016-06-03,KNX
0.0833333333,2016-02-04,CD,2016-03-02,4,2016-03-24,2016-03-04,KNX
0.0833333333,2015-11-03,CD,2015-12-02,4,2015-12-21,2015-12-04,KNX
0.0833333333,2015-08-13,CD,2015-09-02,4,2015-09-25,2015-09-04,KNX
0.0833333333,2015-05-19,CD,2015-06-03,4,2015-06-26,2015-06-05,KNX
0.0833333333,2015-02-19,CD,2015-03-04,4,2015-03-26,2015-03-06,KNX
0.0833333333,2014-11-04,CD,2014-12-03,4,2014-12-22,2014-12-05,KNX
0.0833333333,2014-08-07,CD,2014-09-03,4,2014-09-26,2014-09-05,KNX
0.0833333333,2014-05-15,CD,2014-06-04,4,2014-06-27,2014-06-06,KNX
0.0833333333,2014-02-05,CD,2014-03-05,4,2014-03-28,2014-03-07,KNX
0.0833333333,2013-11-05,CD,2013-12-04,4,2013-12-23,2013-12-06,KNX
0.0833333333,2013-08-08,CD,2013-09-04,4,2013-09-25,2013-09-06,KNX
0.0833333333,2013-05-16,CD,2013-06-05,4,2013-06-28,2013-06-07,KNX
0.0833333333,2013-02-08,CD,2013-02-27,4,2013-03-29,2013-03-01,KNX
