cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.19,2022-08-03,CD,2022-08-31,4,2022-09-15,2022-09-01,KRO
0.19,2022-05-18,CD,2022-06-03,4,2022-06-16,2022-06-06,KRO
0.19,2022-02-23,CD,2022-03-07,4,2022-03-17,2022-03-08,KRO
0.18,2021-10-27,CD,2021-12-01,4,2021-12-16,2021-12-02,KRO
0.18,2021-08-04,CD,2021-09-01,4,2021-09-16,2021-09-02,KRO
0.18,2021-05-20,CD,2021-06-04,4,2021-06-17,2021-06-07,KRO
0.18,2021-02-24,CD,2021-03-08,4,2021-03-18,2021-03-09,KRO
0.18,2020-10-28,CD,2020-11-30,4,2020-12-10,2020-12-01,KRO
0.18,2020-08-05,CD,2020-08-31,4,2020-09-10,2020-09-01,KRO
0.18,2020-05-20,CD,2020-06-08,4,2020-06-18,2020-06-09,KRO
0.18,2020-02-19,CD,2020-03-02,4,2020-03-12,2020-03-03,KRO
0.18,2019-10-23,CD,2019-12-02,4,2019-12-12,2019-12-03,KRO
0.18,2019-08-07,CD,2019-09-04,4,2019-09-14,2019-09-05,KRO
0.18,2019-05-15,CD,2019-06-03,4,2019-06-13,2019-06-04,KRO
0.18,2019-02-22,CD,2019-03-04,4,2019-03-14,2019-03-05,KRO
0.17,2018-10-24,CD,2018-12-03,4,2018-12-13,2018-12-04,KRO
0.17,2018-08-07,CD,2018-08-31,4,2018-09-13,2018-09-04,KRO
0.17,2018-05-17,CD,2018-06-04,4,2018-06-14,2018-06-05,KRO
0.17,2018-02-22,CD,2018-03-05,4,2018-03-15,2018-03-06,KRO
0.15,2017-10-25,CD,2017-12-05,4,2017-12-15,2017-12-06,KRO
0.15,2017-08-07,CD,2017-08-31,4,2017-09-21,2017-09-05,KRO
0.15,2017-05-19,CD,2017-06-02,4,2017-06-15,2017-06-06,KRO
0.15,2017-02-24,CD,2017-03-03,4,2017-03-16,2017-03-07,KRO
0.15,2016-10-26,CD,2016-12-02,4,2016-12-15,2016-12-06,KRO
0.15,2016-08-08,CD,2016-09-01,4,2016-09-15,2016-09-06,KRO
0.15,2016-05-20,CD,2016-06-02,4,2016-06-16,2016-06-06,KRO
0.15,2016-02-17,CD,2016-03-03,4,2016-03-17,2016-03-07,KRO
0.15,2015-10-28,CD,2015-12-01,4,2015-12-17,2015-12-03,KRO
0.15,2015-08-07,CD,2015-09-01,4,2015-09-17,2015-09-03,KRO
0.15,2015-05-20,CD,2015-06-04,4,2015-06-18,2015-06-08,KRO
0.15,2015-02-18,CD,2015-03-05,4,2015-03-19,2015-03-09,KRO
0.15,2014-10-29,CD,2014-12-02,4,2014-12-18,2014-12-04,KRO
0.15,2014-08-06,CD,2014-09-02,4,2014-09-18,2014-09-04,KRO
0.15,2014-05-21,CD,2014-06-05,4,2014-06-19,2014-06-09,KRO
0.15,2014-02-19,CD,2014-03-06,4,2014-03-20,2014-03-10,KRO
0.15,2013-10-24,CD,2013-12-03,4,2013-12-19,2013-12-05,KRO
0.15,2013-08-07,CD,2013-09-03,4,2013-09-19,2013-09-05,KRO
0.15,2013-05-09,CD,2013-06-06,4,2013-06-20,2013-06-10,KRO
0.15,2013-03-01,CD,2013-03-07,4,2013-03-21,2013-03-11,KRO
0.15,2012-10-18,CD,2012-12-05,4,2012-12-20,2012-12-07,KRO
0.15,2012-08-09,CD,2012-09-05,4,2012-09-20,2012-09-07,KRO
0.15,2012-05-12,CD,2012-06-07,4,2012-06-21,2012-06-11,KRO
0.15,2012-02-11,CD,2012-03-06,4,2012-03-22,2012-03-08,KRO
0.15,2011-10-21,CD,2011-12-07,4,2011-12-22,2011-12-09,KRO
0.15,2011-08-03,CD,2011-09-07,4,2011-09-22,2011-09-09,KRO
0.15,2011-05-13,CD,2011-06-08,4,2011-06-23,2011-06-10,KRO
0.125,2011-02-11,CD,2011-03-08,4,2011-03-24,2011-03-10,KRO
0.5,2011-02-11,SC,2011-02-16,0,2011-02-28,2011-02-21,KRO
0.125,2010-10-08,CD,2010-12-08,4,2010-12-23,2010-12-10,KRO
0.125,2008-10-24,CD,2008-12-08,4,2008-12-23,2008-12-10,KRO
0.125,2008-08-15,CD,2008-09-08,4,2008-09-23,2008-09-10,KRO
0.125,2008-05-15,CD,2008-06-06,4,2008-06-20,2008-06-10,KRO
0.125,2008-02-14,CD,2008-03-07,4,2008-03-25,2008-03-11,KRO
0.125,2007-10-25,CD,2007-12-05,4,2007-12-21,2007-12-07,KRO
0.125,2007-08-24,CD,2007-09-05,4,2007-09-24,2007-09-07,KRO
0.125,2007-05-17,CD,2007-06-13,4,2007-06-25,2007-06-15,KRO
0.125,2007-02-15,CD,2007-03-07,4,2007-03-26,2007-03-09,KRO
0.125,2006-10-26,CD,2006-12-06,4,2006-12-26,2006-12-08,KRO
0.125,2006-08-28,CD,2006-09-06,4,2006-09-22,2006-09-08,KRO
0.125,2006-05-24,CD,2006-06-07,4,2006-06-26,2006-06-09,KRO
0.125,2006-02-22,CD,2006-03-08,4,2006-03-27,2006-03-10,KRO
0.125,2005-10-21,CD,2005-12-07,4,2005-12-27,2005-12-09,KRO
0.125,2005-08-30,CD,2005-09-07,4,2005-09-23,2005-09-09,KRO
0.125,2005-05-20,CD,2005-06-08,4,2005-06-23,2005-06-10,KRO
0.125,2005-01-27,CD,2005-03-08,4,2005-03-25,2005-03-10,KRO
0.125,2004-10-22,CD,2004-12-08,4,2004-12-29,2004-12-10,KRO
0.125,2004-08-31,CD,2004-09-09,4,2004-09-28,2004-09-13,KRO
0.125,2004-05-20,CD,2004-06-09,4,2004-06-28,2004-06-11,KRO
0.125,2004-01-29,CD,2004-03-09,4,2004-03-26,2004-03-11,KRO
