cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.24,2022-08-02,CD,2022-09-29,4,2022-10-06,2022-09-30,KW
0.24,2022-05-04,CD,2022-06-29,4,2022-07-07,2022-06-30,KW
0.24,2022-02-23,CD,2022-03-30,4,2022-04-07,2022-03-31,KW
0.24,2021-11-03,CD,2021-12-30,4,2022-01-06,2021-12-31,KW
0.22,2021-08-04,CD,2021-09-29,4,2021-10-07,2021-09-30,KW
0.22,2021-05-05,CD,2021-06-29,4,2021-07-08,2021-06-30,KW
0.22,2021-02-24,CD,2021-03-30,4,2021-04-08,2021-03-31,KW
0.22,2020-11-04,CD,2020-12-30,4,2021-01-07,2020-12-31,KW
0.22,2020-08-05,CD,2020-09-29,4,2020-10-08,2020-09-30,KW
0.22,2020-05-06,CD,2020-06-29,4,2020-07-09,2020-06-30,KW
0.22,2020-02-26,CD,2020-03-30,4,2020-04-07,2020-03-31,KW
0.22,2019-12-11,CD,2019-12-26,4,2020-01-02,2019-12-27,KW
0.21,2019-09-03,CD,2019-09-27,4,2019-10-03,2019-09-30,KW
0.21,2019-06-07,CD,2019-06-27,4,2019-07-05,2019-06-28,KW
0.21,2019-03-01,CD,2019-03-28,4,2019-04-04,2019-03-29,KW
0.21,2018-10-31,CD,2018-12-27,4,2019-01-03,2018-12-28,KW
0.19,2018-09-07,CD,2018-09-27,4,2018-10-04,2018-09-28,KW
0.19,2018-06-08,CD,2018-06-28,4,2018-07-05,2018-06-29,KW
0.19,2018-02-22,CD,2018-03-28,4,2018-04-05,2018-03-29,KW
0.19,2017-11-02,CD,2017-12-28,4,2018-01-04,2017-12-29,KW
0.17,2017-09-08,CD,2017-09-28,4,2017-10-05,2017-09-29,KW
0.17,2017-06-06,CD,2017-06-28,4,2017-07-06,2017-06-30,KW
0.17,2017-02-23,CD,2017-03-29,4,2017-04-06,2017-03-31,KW
0.14,2016-12-02,CD,2016-12-28,4,2017-01-05,2016-12-30,KW
0.14,2016-09-12,CD,2016-09-28,4,2016-10-06,2016-09-30,KW
0.14,2016-06-10,CD,2016-06-28,4,2016-07-07,2016-06-30,KW
0.14,2016-02-25,CD,2016-03-29,4,2016-04-07,2016-03-31,KW
0.12,2015-12-09,CD,2015-12-29,4,2016-01-07,2015-12-31,KW
0.12,2015-09-09,CD,2015-09-28,4,2015-10-08,2015-09-30,KW
0.12,2015-06-09,CD,2015-06-26,4,2015-07-08,2015-06-30,KW
0.12,2015-02-25,CD,2015-03-27,4,2015-04-08,2015-03-31,KW
0.09,2014-12-04,CD,2014-12-29,4,2015-01-08,2014-12-31,KW
0.09,2014-09-04,CD,2014-09-26,4,2014-10-07,2014-09-30,KW
0.09,2014-06-17,CD,2014-06-27,4,2014-07-08,2014-06-30,KW
0.09,2014-06-17,CD,2014-06-26,4,2014-07-08,2014-06-30,KW
0.09,2014-02-26,CD,2014-03-27,4,2014-04-08,2014-03-31,KW
0.07,2013-12-17,CD,2013-12-27,4,2014-01-08,2013-12-31,KW
0.07,2013-09-17,CD,2013-09-26,4,2013-10-08,2013-09-30,KW
0.07,2013-06-20,CD,2013-06-27,4,2013-07-08,2013-07-01,KW
0.07,2013-03-13,CD,2013-03-20,4,2013-04-02,2013-03-22,KW
0.05,2012-11-29,CD,2012-12-12,4,2012-12-28,2012-12-14,KW
0.05,2012-09-15,CD,2012-09-26,4,2012-10-04,2012-09-28,KW
0.05,2012-06-15,CD,2012-06-27,4,2012-07-06,2012-06-29,KW
0.05,2012-03-14,CD,2012-03-28,4,2012-04-06,2012-03-30,KW
0.04,2011-12-15,CD,2011-12-28,4,2012-01-10,2011-12-30,KW
0.04,2011-09-13,CD,2011-09-28,4,2011-10-14,2011-09-30,KW
0.04,2011-06-22,CD,2011-06-29,4,2011-07-15,2011-07-01,KW
