cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.0625,2022-08-02,CD,2022-08-16,4,2022-08-30,2022-08-17,L
0.0625,2022-05-10,CD,2022-05-24,4,2022-06-07,2022-05-25,L
0.0625,2022-02-08,CD,2022-02-22,4,2022-03-08,2022-02-23,L
0.0625,2021-11-09,CD,2021-11-23,4,2021-12-07,2021-11-24,L
0.0625,2021-08-03,CD,2021-08-17,4,2021-08-31,2021-08-18,L
0.0625,2021-05-12,CD,2021-05-25,4,2021-06-08,2021-05-26,L
0.0625,2021-02-09,CD,2021-02-23,4,2021-03-09,2021-02-24,L
0.0625,2020-11-17,CD,2020-11-24,4,2020-12-08,2020-11-25,L
0.0625,2020-08-04,CD,2020-08-18,4,2020-09-01,2020-08-19,L
0.0625,2020-05-12,CD,2020-05-26,4,2020-06-09,2020-05-27,L
0.0625,2020-02-11,CD,2020-02-25,4,2020-03-10,2020-02-26,L
0.0625,2019-11-12,CD,2019-11-26,4,2019-12-10,2019-11-27,L
0.0625,2019-08-06,CD,2019-08-27,4,2019-09-10,2019-08-28,L
0.0625,2019-05-14,CD,2019-05-28,4,2019-06-11,2019-05-29,L
0.0625,2019-02-12,CD,2019-02-26,4,2019-03-12,2019-02-27,L
0.0625,2018-11-13,CD,2018-11-27,4,2018-12-11,2018-11-28,L
0.0625,2018-08-07,CD,2018-08-28,4,2018-09-11,2018-08-29,L
0.0625,2018-05-08,CD,2018-05-29,4,2018-06-12,2018-05-30,L
0.0625,2018-02-13,CD,2018-02-27,4,2018-03-13,2018-02-28,L
0.0625,2017-11-14,CD,2017-11-28,4,2017-12-12,2017-11-29,L
0.0625,2017-08-08,CD,2017-08-28,4,2017-09-12,2017-08-30,L
0.0625,2017-05-10,CD,2017-05-26,4,2017-06-13,2017-05-31,L
0.0625,2017-02-14,CD,2017-02-27,4,2017-03-14,2017-03-01,L
0.0625,2016-11-08,CD,2016-11-28,4,2016-12-13,2016-11-30,L
0.0625,2016-08-09,CD,2016-08-29,4,2016-09-13,2016-08-31,L
0.0625,2016-05-10,CD,2016-05-27,4,2016-06-14,2016-06-01,L
0.0625,2016-02-09,CD,2016-02-26,4,2016-03-14,2016-03-01,L
0.0625,2015-11-10,CD,2015-11-25,4,2015-12-11,2015-11-30,L
0.0625,2015-08-11,CD,2015-08-27,4,2015-09-14,2015-08-31,L
0.0625,2015-05-12,CD,2015-05-28,4,2015-06-12,2015-06-01,L
0.0625,2015-02-10,CD,2015-02-26,4,2015-03-13,2015-03-02,L
0.0625,2014-11-11,CD,2014-11-25,4,2014-12-12,2014-11-28,L
0.0625,2014-08-05,CD,2014-08-27,4,2014-09-12,2014-08-29,L
0.0625,2014-05-13,CD,2014-05-29,4,2014-06-13,2014-06-02,L
0.0625,2014-02-11,CD,2014-02-27,4,2014-03-14,2014-03-03,L
0.0625,2013-11-13,CD,2013-11-26,4,2013-12-13,2013-11-29,L
0.0625,2013-08-13,CD,2013-08-28,4,2013-09-16,2013-08-30,L
0.0625,2013-05-14,CD,2013-05-30,4,2013-06-14,2013-06-03,L
0.0625,2013-02-26,CD,2013-03-06,4,2013-03-15,2013-03-08,L
0.0625,2012-11-13,CD,2012-11-28,4,2012-12-14,2012-11-30,L
0.0625,2012-08-15,CD,2012-08-29,4,2012-09-14,2012-08-31,L
0.0625,2012-05-09,CD,2012-05-30,4,2012-06-14,2012-06-01,L
0.0625,2012-02-15,CD,2012-02-28,4,2012-03-14,2012-03-01,L
0.0625,2011-11-09,CD,2011-11-25,4,2011-12-12,2011-11-29,L
0.0625,2011-08-10,CD,2011-08-30,4,2011-09-14,2011-09-01,L
0.0625,2011-05-11,CD,2011-05-27,4,2011-06-14,2011-06-01,L
0.0625,2011-02-09,CD,2011-02-25,4,2011-03-14,2011-03-01,L
0.0625,2010-11-10,CD,2010-11-26,4,2010-12-10,2010-11-30,L
0.0625,2010-08-11,CD,2010-08-30,4,2010-09-14,2010-09-01,L
0.0625,2010-05-12,CD,2010-05-27,4,2010-06-14,2010-06-01,L
0.0625,2010-02-10,CD,2010-02-25,4,2010-03-12,2010-03-01,L
0.0625,2009-11-11,CD,2009-11-25,4,2009-12-11,2009-11-30,L
0.0625,2009-08-12,CD,2009-08-28,4,2009-09-14,2009-09-01,L
0.0625,2009-05-13,CD,2009-05-28,4,2009-06-12,2009-06-01,L
0.0625,2009-02-11,CD,2009-02-26,4,2009-03-13,2009-03-02,L
0.0625,2008-11-12,CD,2008-11-26,4,2008-12-12,2008-12-01,L
0.0625,2008-08-13,CD,2008-08-28,4,2008-09-15,2008-09-02,L
0.0625,2008-05-09,CD,2008-05-21,4,2008-06-06,2008-05-23,L
0.0625,2008-02-12,CD,2008-02-28,4,2008-03-14,2008-03-03,L
0.0625,2007-11-13,CD,2007-11-29,4,2007-12-14,2007-12-03,L
0.0625,2007-08-14,CD,2007-08-30,4,2007-09-13,2007-09-04,L
0.0625,2007-05-08,CD,2007-05-30,4,2007-06-11,2007-06-01,L
0.0625,2007-02-13,CD,2007-02-27,4,2007-03-12,2007-03-01,L
0.0625,2006-11-14,CD,2006-11-29,4,2006-12-11,2006-12-01,L
0.0625,2006-08-08,CD,2006-08-30,4,2006-09-11,2006-09-01,L
0.0625,2006-05-08,CD,2006-05-30,4,2006-06-12,2006-06-01,L
0.05,2006-02-14,CD,2006-02-27,4,2006-03-13,2006-03-01,L
0.05,2005-11-15,CD,2005-11-29,4,2005-12-12,2005-12-01,L
0.05,2005-08-16,CD,2005-08-30,4,2005-09-12,2005-09-01,L
0.05,2005-05-10,CD,2005-05-27,4,2005-06-13,2005-06-01,L
0.05,2005-01-14,CD,2005-02-25,4,2005-03-14,2005-03-01,L
0.05,2004-11-16,CD,2004-11-29,4,2004-12-13,2004-12-01,L
0.05,2004-08-17,CD,2004-08-30,4,2004-09-13,2004-09-01,L
0.05,2004-05-11,CD,2004-05-27,4,2004-06-14,2004-06-01,L
0.05,2004-02-18,CD,2004-02-26,4,2004-03-15,2004-03-01,L
0.05,2003-11-19,CD,2003-11-26,4,2003-12-15,2003-12-01,L
0.05,2003-08-19,CD,2003-08-28,4,2003-09-15,2003-09-02,L
0.05,2003-05-13,CD,2003-05-29,4,2003-06-16,2003-06-02,L
0.05,2003-02-18,CD,2003-02-27,4,2003-03-17,2003-03-03,L
0.05,2002-10-15,CD,2002-10-30,4,2002-12-02,2002-11-01,L
0.05,2002-07-16,CD,2002-07-30,4,2002-09-03,2002-08-01,L
0.05,2002-04-16,CD,2002-04-29,4,2002-06-03,2002-05-01,L
0.05,2001-12-21,CD,2002-01-30,4,2002-03-01,2002-02-01,L
0.05,2001-10-17,CD,2001-10-30,4,2001-12-03,2001-11-01,L
0.05,2001-07-17,CD,2001-07-30,4,2001-09-04,2001-08-01,L
0.05,2001-02-20,CD,2001-04-27,4,2001-06-01,2001-05-01,L
0.0417,2001-01-16,CD,2001-01-30,4,2001-03-01,2001-02-01,L
0.0417,2000-10-17,CD,2000-10-30,4,2000-12-01,2000-11-01,L
0.0417,2000-07-18,CD,2000-07-28,4,2000-09-01,2000-08-01,L
0.0417,2000-04-18,CD,2000-04-27,4,2000-06-01,2000-05-01,L
0.0417,2000-01-18,CD,2000-01-28,4,2000-03-01,2000-02-01,L
0.0417,1999-10-19,CD,1999-10-28,4,1999-12-01,1999-11-01,L
0.0417,1999-07-20,CD,1999-07-29,4,1999-09-01,1999-08-02,L
0.0417,1999-04-20,CD,1999-04-29,4,1999-06-01,1999-05-03,L
0.0417,1999-01-19,CD,1999-01-28,4,1999-03-01,1999-02-01,L
0.0417,1998-10-20,CD,1998-10-29,4,1998-12-01,1998-11-02,L
0.0417,1998-07-23,CD,1998-07-30,4,1998-09-01,1998-08-03,L
0.0417,1998-04-21,CD,1998-04-29,4,1998-06-01,1998-05-01,L
0.0417,1998-01-20,CD,1998-02-04,4,1998-03-02,1998-02-06,L
0.0417,1997-10-20,CD,1997-10-30,4,1997-12-01,1997-11-03,L
0.0417,1997-07-15,CD,1997-07-30,4,1997-09-02,1997-08-01,L
0.0417,1997-04-15,CD,1997-04-30,4,1997-06-02,1997-05-02,L
0.0417,1997-01-21,CD,1997-02-05,4,1997-03-01,1997-02-07,L
0.0417,1996-10-15,CD,1996-10-30,4,1996-12-02,1996-11-01,L
0.0417,1996-07-16,CD,1996-07-31,4,1996-09-02,1996-08-02,L
0.0417,1996-04-16,CD,1996-05-01,4,1996-06-01,1996-05-03,L
0.0417,1996-01-16,CD,1996-01-31,4,1996-03-01,1996-02-02,L
0.0417,1995-10-17,CD,1995-11-01,4,1995-12-01,1995-11-03,L
0.0208,1995-07-18,CD,1995-08-02,4,1995-09-01,1995-08-04,L
0.0208,1995-04-18,CD,1995-05-01,4,1995-06-01,1995-05-05,L
0.0208,1995-01-17,CD,1995-01-30,4,1995-03-01,1995-02-03,L
0.0208,1994-10-18,CD,1994-10-31,4,1994-12-01,1994-11-04,L
0.0208,1994-07-19,CD,1994-08-01,4,1994-09-01,1994-08-05,L
0.0208,1994-04-19,CD,1994-05-02,4,1994-06-01,1994-05-06,L
0.0208,1994-01-18,CD,1994-01-31,4,1994-03-01,1994-02-04,L
0.0208,1993-10-19,CD,1993-11-01,4,1993-12-01,1993-11-05,L
0.0208,1993-07-20,CD,1993-08-02,4,1993-09-01,1993-08-06,L
0.0208,1993-04-20,CD,1993-05-03,4,1993-06-01,1993-05-07,L
0.0208,1993-01-26,CD,1993-02-04,4,1993-03-01,1993-02-10,L
0.0208,1992-10-22,CD,1992-11-02,4,1992-12-01,1992-11-06,L
0.0208,1992-07-21,CD,1992-08-03,4,1992-09-01,1992-08-07,L
0.0208,1992-04-21,CD,1992-05-04,4,1992-06-01,1992-05-08,L
0.0208,1992-01-21,CD,1992-02-03,4,1992-03-02,1992-02-07,L
0.0208,1991-10-15,CD,1991-11-04,4,1991-12-02,1991-11-08,L
0.0208,1991-07-16,CD,1991-08-05,4,1991-09-02,1991-08-09,L
0.0208,1991-04-16,CD,1991-05-06,4,1991-06-01,1991-05-10,L
0.0208,1991-01-15,CD,1991-02-04,4,1991-03-01,1991-02-08,L
0.0208,1990-10-16,CD,1990-11-05,4,1990-12-01,1990-11-09,L
0.0208,1990-07-17,CD,1990-08-06,4,1990-09-01,1990-08-10,L
0.0208,1990-04-17,CD,1990-05-07,4,1990-06-01,1990-05-11,L
0.0208,1990-01-16,CD,1990-02-05,4,1990-03-01,1990-02-09,L
0.0208,1989-10-17,CD,1989-11-06,4,1989-12-01,1989-11-10,L
0.0208,1989-07-18,CD,1989-08-07,4,1989-09-01,1989-08-11,L
0.0208,1989-04-18,CD,1989-05-05,4,1989-06-01,1989-05-11,L
0.0208,1989-01-24,CD,1989-02-03,4,1989-03-01,1989-02-09,L
0.0208,1988-10-18,CD,1988-11-04,4,1988-12-01,1988-11-10,L
0.0208,1988-07-19,CD,1988-08-05,4,1988-09-01,1988-08-11,L
0.0208,1988-04-19,CD,1988-05-06,4,1988-06-01,1988-05-12,L
0.0208,1988-01-12,CD,1988-02-05,4,1988-03-01,1988-02-11,L
0.0208,1987-10-20,CD,1987-11-05,4,1987-12-01,1987-11-12,L
0.0208,1987-07-21,CD,1987-08-07,4,1987-09-01,1987-08-13,L
0.0208,1987-04-21,CD,1987-05-08,4,1987-06-01,1987-05-14,L
0.0208,1987-01-20,CD,1987-02-06,4,1987-03-02,1987-02-12,L
0.0208,1986-10-21,CD,1986-11-06,4,1986-12-01,1986-11-13,L
0.0208,1986-07-15,CD,1986-08-08,4,1986-09-02,1986-08-14,L
0.0208,1986-04-15,CD,1986-05-09,4,1986-06-02,1986-05-15,L
0.0208,1986-01-21,CD,1986-02-07,4,1986-03-01,1986-02-13,L
0.0208,1985-10-15,CD,1985-11-07,4,1985-12-02,1985-11-14,L
0.1665,1985-07-16,SC,1985-08-09,0,1985-09-03,1985-08-15,L
0.0208,1985-06-28,CD,1985-08-09,4,1970-01-01,1985-08-07,L
0.0208,1985-04-16,CD,1985-05-09,4,1985-06-01,1985-05-15,L
0.0208208056,1984-12-13,CD,1985-01-22,4,1970-01-01,1985-01-18,L
