cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.5,2022-07-26,CD,2022-08-05,4,2022-08-19,2022-08-08,LAZ
0.47,2022-04-28,CD,2022-05-06,4,2022-05-20,2022-05-09,LAZ
0.47,2022-02-02,CD,2022-02-11,4,2022-02-25,2022-02-14,LAZ
0.47,2021-10-28,CD,2021-11-05,4,2021-11-19,2021-11-08,LAZ
0.47,2021-07-29,CD,2021-08-06,4,2021-08-20,2021-08-09,LAZ
0.47,2021-04-29,CD,2021-05-07,4,2021-05-21,2021-05-10,LAZ
0.47,2021-02-04,CD,2021-02-18,4,2021-03-02,2021-02-19,LAZ
0.47,2020-10-28,CD,2020-11-06,4,2020-11-20,2020-11-09,LAZ
0.47,2020-07-29,CD,2020-08-07,4,2020-08-21,2020-08-10,LAZ
0.47,2020-04-29,CD,2020-05-08,4,2020-05-22,2020-05-11,LAZ
0.47,2020-01-29,CD,2020-02-14,4,2020-02-28,2020-02-18,LAZ
0.47,2019-10-30,CD,2019-11-07,4,2019-11-22,2019-11-11,LAZ
0.47,2019-07-24,CD,2019-08-02,4,2019-08-16,2019-08-05,LAZ
0.47,2019-04-24,CD,2019-05-03,4,2019-05-17,2019-05-06,LAZ
0.5,2019-02-04,SC,2019-02-14,0,2019-03-01,2019-02-15,LAZ
0.44,2019-02-04,CD,2019-02-14,4,2019-03-01,2019-02-15,LAZ
0.44,2018-10-24,CD,2018-11-02,4,2018-11-16,2018-11-05,LAZ
0.44,2018-07-25,CD,2018-08-03,4,2018-08-17,2018-08-06,LAZ
0.44,2018-04-26,CD,2018-05-04,4,2018-05-18,2018-05-07,LAZ
1.3,2018-02-01,SC,2018-02-09,0,2018-02-23,2018-02-12,LAZ
0.41,2018-01-31,CD,2018-02-09,4,2018-02-23,2018-02-12,LAZ
0.41,2017-10-26,CD,2017-11-03,4,2017-11-17,2017-11-06,LAZ
0.41,2017-07-26,CD,2017-08-03,4,2017-08-18,2017-08-07,LAZ
0.41,2017-04-26,CD,2017-05-04,4,2017-05-19,2017-05-08,LAZ
1.2,2017-02-01,SC,2017-02-09,0,2017-02-24,2017-02-13,LAZ
0.38,2017-02-01,CD,2017-02-09,4,2017-02-24,2017-02-13,LAZ
0.38,2016-10-26,CD,2016-11-03,4,2016-11-18,2016-11-07,LAZ
0.38,2016-07-27,CD,2016-08-04,4,2016-08-19,2016-08-08,LAZ
0.38,2016-04-20,CD,2016-04-29,4,2016-05-13,2016-05-03,LAZ
1.2,2016-02-01,SC,2016-02-09,0,2016-02-26,2016-02-11,LAZ
0.35,2016-02-01,CD,2016-02-09,4,2016-02-26,2016-02-11,LAZ
0.35,2015-10-21,CD,2015-10-29,4,2015-11-13,2015-11-02,LAZ
0.35,2015-07-22,CD,2015-07-30,4,2015-08-14,2015-08-03,LAZ
0.35,2015-04-22,CD,2015-04-30,4,2015-05-15,2015-05-04,LAZ
1.0,2015-02-04,SC,2015-02-11,0,2015-02-19,2015-02-13,LAZ
0.3,2015-02-04,CD,2015-02-11,4,2015-02-19,2015-02-13,LAZ
0.3,2014-10-22,CD,2014-10-30,4,2014-11-14,2014-11-03,LAZ
0.3,2014-07-23,CD,2014-07-31,4,2014-08-15,2014-08-04,LAZ
0.3,2014-04-30,CD,2014-05-08,4,2014-05-23,2014-05-12,LAZ
0.3,2014-01-29,CD,2014-02-06,4,2014-02-21,2014-02-10,LAZ
0.25,2013-12-10,SC,2013-12-18,0,2013-12-27,2013-12-20,LAZ
0.25,2013-10-23,CD,2013-10-31,4,2013-11-22,2013-11-04,LAZ
0.25,2013-07-25,CD,2013-08-02,4,2013-08-23,2013-08-06,LAZ
0.25,2013-04-25,CD,2013-05-02,4,2013-05-24,2013-05-06,LAZ
0.2,2012-12-11,CD,2012-12-19,4,2012-12-27,2012-12-21,LAZ
0.2,2012-12-10,SC,2012-12-19,0,2012-12-27,2012-12-21,LAZ
0.2,2012-10-24,CD,2012-11-01,4,2012-11-23,2012-11-05,LAZ
0.2,2012-07-26,CD,2012-08-02,4,2012-08-24,2012-08-06,LAZ
0.2,2012-04-25,CD,2012-05-02,4,2012-05-25,2012-05-04,LAZ
0.16,2012-01-26,CD,2012-02-02,4,2012-02-24,2012-02-06,LAZ
0.16,2011-10-27,CD,2011-11-03,4,2011-11-25,2011-11-07,LAZ
0.16,2011-07-28,CD,2011-08-04,4,2011-08-26,2011-08-08,LAZ
0.16,2011-04-27,CD,2011-05-04,4,2011-05-27,2011-05-06,LAZ
0.125,2011-01-27,CD,2011-02-03,4,2011-02-25,2011-02-07,LAZ
0.125,2010-10-27,CD,2010-11-01,4,2010-11-26,2010-11-03,LAZ
0.125,2010-07-28,CD,2010-08-04,4,2010-08-27,2010-08-06,LAZ
0.125,2010-04-27,CD,2010-05-05,4,2010-05-28,2010-05-07,LAZ
0.125,2010-01-28,CD,2010-02-04,4,2010-02-26,2010-02-08,LAZ
0.125,2009-10-28,CD,2009-11-04,4,2009-11-27,2009-11-06,LAZ
0.125,2009-07-29,CD,2009-08-05,4,2009-08-28,2009-08-07,LAZ
0.1,2009-04-29,CD,2009-05-06,4,2009-05-29,2009-05-08,LAZ
0.1,2009-01-29,CD,2009-02-04,4,2009-02-27,2009-02-06,LAZ
0.1,2008-10-29,CD,2008-11-05,4,2008-11-28,2008-11-07,LAZ
0.1,2008-07-30,CD,2008-08-05,4,2008-08-29,2008-08-07,LAZ
0.1,2009-02-05,CD,2008-05-12,4,2008-05-30,2008-05-14,LAZ
0.1,2008-01-29,CD,2008-02-06,4,2008-02-29,2008-02-08,LAZ
0.09,2007-10-30,CD,2007-11-07,4,2007-11-30,2007-11-09,LAZ
0.09,2007-07-31,CD,2007-08-08,4,2007-08-31,2007-08-10,LAZ
0.09,2007-05-08,CD,2007-05-16,4,2007-05-31,2007-05-18,LAZ
0.09,2007-02-06,CD,2007-02-14,4,2007-02-28,2007-02-16,LAZ
0.09,2006-10-31,CD,2006-11-08,4,2006-11-30,2006-11-10,LAZ
0.09,2006-08-01,CD,2006-08-09,4,2006-08-31,2006-08-11,LAZ
0.09,2006-05-09,CD,2006-05-17,4,2006-05-31,2006-05-19,LAZ
0.09,2006-02-07,CD,2006-02-15,4,2006-02-28,2006-02-17,LAZ
0.09,2005-11-09,CD,2005-11-16,4,2005-11-30,2005-11-18,LAZ
0.052,2005-08-10,CD,2005-08-17,4,2005-08-31,2005-08-19,LAZ
