cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.72,2022-07-14,CD,2022-08-17,4,2022-09-09,2022-08-18,LH
0.72,2022-04-06,CD,2022-05-18,4,2022-06-09,2022-05-19,LH
0.2,1994-03-11,CD,1994-03-29,4,1994-04-26,1994-04-05,LH
0.2,1993-12-15,CD,1993-12-29,4,1994-01-25,1994-01-04,LH
0.2,1993-09-20,CD,1993-09-29,4,1993-10-26,1993-10-05,LH
0.2,1993-06-22,CD,1993-06-29,4,1993-07-27,1993-07-06,LH
0.2,1993-03-19,CD,1993-03-31,4,1993-04-27,1993-04-06,LH
0.2,1992-12-21,CD,1992-12-29,4,1993-01-26,1993-01-05,LH
0.2,1992-09-16,CD,1992-09-28,4,1992-10-23,1992-10-02,LH
0.2,1992-06-22,CD,1992-06-26,4,1992-07-23,1992-07-02,LH
0.175,1992-03-17,CD,1992-03-31,4,1992-04-27,1992-04-06,LH
0.175,1991-12-26,CD,1992-01-06,4,1992-01-31,1992-01-10,LH
0.175,1991-09-05,CD,1991-09-30,4,1991-10-27,1991-10-04,LH
0.175,1991-06-04,CD,1991-06-27,4,1991-07-24,1991-07-03,LH
0.15,1991-03-25,CD,1991-04-04,4,1991-04-29,1991-04-10,LH
0.15,1990-12-18,CD,1990-12-31,4,1991-01-28,1991-01-07,LH
3.8,1990-07-09,SC,1990-07-13,0,1990-07-24,1990-07-19,LH
