cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.245,2022-07-20,CD,2022-08-04,4,2022-09-02,2022-08-05,LW
0.245,2022-03-24,CD,2022-05-05,4,2022-06-03,2022-05-06,LW
0.245,2021-12-17,CD,2022-02-03,4,2022-03-04,2022-02-04,LW
0.235,2021-09-23,CD,2021-11-04,4,2021-12-03,2021-11-05,LW
0.235,2021-07-22,CD,2021-08-05,4,2021-09-03,2021-08-06,LW
0.235,2021-03-26,CD,2021-05-06,4,2021-06-04,2021-05-07,LW
0.235,2020-12-17,CD,2021-02-04,4,2021-03-05,2021-02-05,LW
0.23,2020-09-24,CD,2020-11-05,4,2020-12-04,2020-11-06,LW
0.23,2020-07-23,CD,2020-08-06,4,2020-09-04,2020-08-07,LW
0.23,2020-03-19,CD,2020-05-07,4,2020-06-05,2020-05-08,LW
0.23,2019-12-19,CD,2020-01-30,4,2020-02-28,2020-01-31,LW
0.2,2019-09-26,CD,2019-10-31,4,2019-11-29,2019-11-01,LW
0.2,2019-07-18,CD,2019-08-01,4,2019-08-30,2019-08-02,LW
0.2,2019-03-21,CD,2019-05-02,4,2019-05-31,2019-05-03,LW
0.2,2018-12-20,CD,2019-01-31,4,2019-03-01,2019-02-01,LW
0.19125,2018-09-26,CD,2018-11-01,4,2018-11-30,2018-11-02,LW
0.19125,2018-07-19,CD,2018-08-02,4,2018-08-31,2018-08-03,LW
0.19125,2018-03-22,CD,2018-05-03,4,2018-06-01,2018-05-04,LW
0.19125,2017-12-21,CD,2018-02-01,4,2018-03-02,2018-02-02,LW
0.1875,2017-09-28,CD,2017-11-02,4,2017-12-01,2017-11-03,LW
0.1875,2017-07-20,CD,2017-08-02,4,2017-09-01,2017-08-04,LW
0.1875,2017-03-25,CD,2017-04-26,4,2017-06-02,2017-04-30,LW
0.1875,2016-12-15,CD,2017-01-26,4,2017-03-01,2017-01-30,LW
