cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.5,2022-07-26,CD,2022-08-09,4,2022-08-24,2022-08-10,MDC
0.5,2022-04-26,CD,2022-05-10,4,2022-05-25,2022-05-11,MDC
0.5,2022-01-24,CD,2022-02-08,4,2022-02-23,2022-02-09,MDC
0.5,2021-10-28,CD,2021-11-09,4,2021-11-24,2021-11-10,MDC
0.4,2021-07-27,CD,2021-08-10,4,2021-08-25,2021-08-11,MDC
0.4,2021-04-26,CD,2021-05-11,4,2021-05-26,2021-05-12,MDC
0.3703703704,2021-01-25,CD,2021-02-09,4,2021-02-24,2021-02-10,MDC
0.3703703704,2020-10-29,CD,2020-11-09,4,2020-11-24,2020-11-10,MDC
0.3055555556,2020-07-27,CD,2020-08-11,4,2020-08-26,2020-08-12,MDC
0.3055555556,2020-04-01,CD,2020-05-05,4,2020-05-20,2020-05-06,MDC
0.3055555556,2020-01-27,CD,2020-02-11,4,2020-02-26,2020-02-12,MDC
0.2777777778,2019-10-28,CD,2019-11-12,4,2019-11-27,2019-11-13,MDC
0.2777777778,2019-07-22,CD,2019-08-06,4,2019-08-21,2019-08-07,MDC
0.2777777778,2019-04-29,CD,2019-05-14,4,2019-05-29,2019-05-15,MDC
0.2572016461,2019-01-31,CD,2019-02-12,4,2019-02-27,2019-02-13,MDC
0.2572016461,2018-10-22,CD,2018-11-06,4,2018-11-21,2018-11-07,MDC
0.2572016461,2018-07-23,CD,2018-08-07,4,2018-08-22,2018-08-08,MDC
0.2572016461,2018-04-30,CD,2018-05-15,4,2018-05-23,2018-05-16,MDC
0.2572016461,2018-01-23,CD,2018-02-06,4,2018-02-21,2018-02-07,MDC
0.1984580603,2017-10-24,CD,2017-11-07,4,2017-11-22,2017-11-08,MDC
0.1984580603,2017-07-24,CD,2017-08-07,4,2017-08-23,2017-08-09,MDC
0.1984580603,2017-05-04,CD,2017-05-08,4,2017-05-24,2017-05-10,MDC
0.1984580603,2017-01-23,CD,2017-02-06,4,2017-02-22,2017-02-08,MDC
0.1890076765,2016-10-24,CD,2016-11-07,4,2016-11-23,2016-11-09,MDC
0.1890076765,2016-07-25,CD,2016-08-08,4,2016-08-24,2016-08-10,MDC
0.1890076765,2016-04-18,CD,2016-05-09,4,2016-05-25,2016-05-11,MDC
0.1890076765,2016-01-25,CD,2016-02-08,4,2016-02-24,2016-02-10,MDC
0.1890076765,2015-10-19,CD,2015-11-02,4,2015-11-18,2015-11-04,MDC
0.1890076765,2015-07-20,CD,2015-08-03,4,2015-08-19,2015-08-05,MDC
0.1890076765,2015-04-27,CD,2015-05-11,4,2015-05-27,2015-05-13,MDC
0.1890076765,2015-01-26,CD,2015-02-09,4,2015-02-25,2015-02-11,MDC
0.1890076765,2014-10-20,CD,2014-11-03,4,2014-11-19,2014-11-05,MDC
0.1890076765,2014-07-21,CD,2014-08-04,4,2014-08-20,2014-08-06,MDC
0.1890076765,2014-04-29,CD,2014-05-12,4,2014-05-28,2014-05-14,MDC
0.1890076765,2014-01-27,CD,2014-02-10,4,2014-02-26,2014-02-12,MDC
0.7560307057,2012-12-13,SC,2012-12-20,0,2012-12-28,2012-12-24,MDC
0.1890076765,2012-10-22,CD,2012-11-05,4,2012-11-21,2012-11-07,MDC
0.1890076765,2012-07-24,CD,2012-08-06,4,2012-08-22,2012-08-08,MDC
0.1890076765,2012-04-24,CD,2012-05-07,4,2012-05-23,2012-05-09,MDC
0.1890076765,2012-01-24,CD,2012-02-06,4,2012-02-22,2012-02-08,MDC
0.1890076765,2011-10-26,CD,2011-11-04,4,2011-11-22,2011-11-08,MDC
0.1890076765,2011-07-27,CD,2011-08-08,4,2011-08-24,2011-08-10,MDC
0.1890076765,2011-04-28,CD,2011-05-09,4,2011-05-25,2011-05-11,MDC
0.1890076765,2011-01-25,CD,2011-02-07,4,2011-02-23,2011-02-09,MDC
0.1890076765,2010-10-26,CD,2010-11-05,4,2010-11-23,2010-11-09,MDC
0.1890076765,2010-07-28,CD,2010-08-09,4,2010-08-25,2010-08-11,MDC
0.1890076765,2010-04-28,CD,2010-05-10,4,2010-05-26,2010-05-12,MDC
0.1890076765,2010-01-27,CD,2010-02-08,4,2010-02-24,2010-02-10,MDC
0.1890076765,2009-10-28,CD,2009-11-06,4,2009-11-24,2009-11-10,MDC
0.1890076765,2009-07-21,CD,2009-08-03,4,2009-08-19,2009-08-05,MDC
0.1890076765,2009-04-30,CD,2009-05-11,4,2009-05-27,2009-05-13,MDC
0.1890076765,2009-01-28,CD,2009-02-09,4,2009-02-25,2009-02-11,MDC
0.1890076765,2008-10-28,CD,2008-11-07,4,2008-11-26,2008-11-12,MDC
0.1890076765,2008-07-29,CD,2008-08-08,4,2008-08-26,2008-08-12,MDC
0.1890076765,2008-04-29,CD,2008-05-12,4,2008-05-28,2008-05-14,MDC
0.1890076765,2008-01-28,CD,2008-02-08,4,2008-02-26,2008-02-12,MDC
0.1890076765,2007-10-22,CD,2007-11-02,4,2007-11-20,2007-11-06,MDC
0.1890076765,2007-07-23,CD,2007-08-06,4,2007-08-22,2007-08-08,MDC
0.1890076765,2007-04-26,CD,2007-05-07,4,2007-05-23,2007-05-09,MDC
0.1890076765,2007-01-22,CD,2007-02-05,4,2007-02-21,2007-02-07,MDC
0.1890076765,2006-10-23,CD,2006-11-03,4,2006-11-21,2006-11-07,MDC
0.1890076765,2006-07-25,CD,2006-08-07,4,2006-08-23,2006-08-09,MDC
0.1890076765,2006-04-25,CD,2006-05-08,4,2006-05-24,2006-05-10,MDC
0.1890076765,2006-01-24,CD,2006-02-07,4,2006-02-23,2006-02-09,MDC
0.1890076765,2005-10-25,CD,2005-11-04,4,2005-11-22,2005-11-08,MDC
0.136085527,2005-07-27,CD,2005-08-08,4,2005-08-24,2005-08-10,MDC
0.136085527,2005-04-22,CD,2005-05-09,4,2005-05-25,2005-05-11,MDC
0.1134046059,2004-12-30,CD,2005-02-08,4,2005-02-24,2005-02-10,MDC
0.0872459434,2004-10-26,CD,2004-11-05,4,2004-11-23,2004-11-09,MDC
0.0872459434,2004-07-27,CD,2004-08-09,4,2004-08-25,2004-08-11,MDC
0.0872459434,2004-04-27,CD,2004-05-10,4,2004-05-26,2004-05-12,MDC
0.0660760262,2003-12-31,CD,2004-02-09,4,2004-02-26,2004-02-11,MDC
0.0660760262,2003-10-20,CD,2003-11-03,4,2003-11-19,2003-11-05,MDC
0.0660760262,2003-08-04,CD,2003-08-12,4,2003-08-28,2003-08-14,MDC
0.0475559174,2003-04-29,CD,2003-05-08,4,2003-05-27,2003-05-12,MDC
0.0384071289,2003-01-21,CD,2003-02-04,4,2003-02-21,2003-02-06,MDC
0.0384071289,2002-10-21,CD,2002-10-30,4,2002-11-15,2002-11-01,MDC
0.0384071289,2002-07-22,CD,2002-08-05,4,2002-08-21,2002-08-07,MDC
0.0384071289,2002-04-26,CD,2002-05-07,4,2002-05-23,2002-05-09,MDC
0.0336440873,2002-01-22,CD,2002-02-05,4,2002-02-21,2002-02-07,MDC
0.0305418404,2001-10-23,CD,2001-11-05,4,2001-11-21,2001-11-07,MDC
0.0305418404,2001-07-24,CD,2001-08-06,4,2001-08-22,2001-08-08,MDC
0.0305418404,2001-04-23,CD,2001-05-04,4,2001-05-22,2001-05-08,MDC
0.0262336494,2000-12-21,CD,2001-02-01,4,2001-02-16,2001-02-05,MDC
0.0238130229,2000-10-24,CD,2000-11-03,4,2000-11-21,2000-11-07,MDC
0.0238130229,2000-07-25,CD,2000-08-01,4,2000-08-14,2000-08-03,MDC
0.0238130229,2000-04-25,CD,2000-05-04,4,2000-05-19,2000-05-08,MDC
0.0238130229,2000-01-25,CD,2000-01-28,4,2000-02-11,2000-02-01,MDC
0.0198845693,1999-10-26,CD,1999-11-04,4,1999-11-23,1999-11-08,MDC
0.0198845693,1999-07-26,CD,1999-07-28,4,1999-08-12,1999-07-30,MDC
0.0198845693,1999-04-27,CD,1999-04-29,4,1999-05-21,1999-05-03,MDC
0.0198845693,1999-01-26,CD,1999-02-04,4,1999-02-19,1999-02-08,MDC
0.0158766726,1998-09-24,CD,1998-11-05,4,1998-11-20,1998-11-09,MDC
0.0158766726,1998-07-27,CD,1998-07-29,4,1998-08-14,1998-07-31,MDC
0.0158766726,1998-04-21,CD,1998-04-29,4,1998-05-20,1998-05-01,MDC
0.0119442468,1998-01-28,CD,1998-01-30,4,1998-02-20,1998-02-03,MDC
0.0119442468,1997-11-05,CD,1997-11-14,4,1997-11-28,1997-11-18,MDC
0.0119442468,1997-07-28,CD,1997-08-06,4,1997-08-19,1997-08-08,MDC
0.0119442468,1997-04-28,CD,1997-05-01,4,1997-05-14,1997-05-05,MDC
0.0119442468,1997-01-28,CD,1997-02-07,4,1997-02-19,1997-02-11,MDC
0.0119442468,1996-10-22,CD,1996-10-30,4,1996-11-12,1996-11-01,MDC
0.0119442468,1996-07-29,CD,1996-08-06,4,1996-08-19,1996-08-08,MDC
0.0119442468,1996-04-10,CD,1996-04-16,4,1996-04-26,1996-04-18,MDC
0.0119442468,1996-02-07,CD,1996-02-14,4,1996-02-27,1996-02-16,MDC
0.0119442468,1995-10-24,CD,1995-11-01,4,1995-11-10,1995-11-03,MDC
0.0119442468,1995-07-25,CD,1995-08-02,4,1995-08-14,1995-08-04,MDC
0.0119442468,1995-05-02,CD,1995-05-08,4,1995-05-22,1995-05-12,MDC
0.0079363502,1995-01-26,CD,1995-01-31,4,1995-02-17,1995-02-06,MDC
0.0079363502,1994-11-21,CD,1994-11-28,4,1994-12-12,1994-12-02,MDC
0.0079363502,1994-08-31,CD,1994-09-02,4,1994-09-19,1994-09-09,MDC
0.0079363502,1994-06-24,CD,1994-06-28,4,1994-07-14,1994-07-05,MDC
