cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
1.64,2022-06-16,CD,2022-06-27,4,2022-08-08,2022-06-28,MED
1.64,2022-03-17,CD,2022-03-28,4,2022-05-09,2022-03-29,MED
1.42,2021-12-08,CD,2021-12-20,4,2022-02-08,2021-12-21,MED
1.42,2021-09-09,CD,2021-09-20,4,2021-11-08,2021-09-21,MED
1.42,2021-06-04,CD,2021-06-21,4,2021-08-06,2021-06-22,MED
1.42,2021-03-18,CD,2021-03-29,4,2021-05-06,2021-03-30,MED
1.13,2020-12-10,CD,2020-12-21,4,2021-02-05,2020-12-22,MED
1.13,2020-09-10,CD,2020-09-21,4,2020-11-06,2020-09-22,MED
1.13,2020-06-16,CD,2020-06-29,4,2020-08-06,2020-06-30,MED
1.13,2020-03-19,CD,2020-03-30,4,2020-05-06,2020-03-31,MED
1.13,2019-12-03,CD,2019-12-26,4,2020-02-06,2019-12-27,MED
0.75,2019-09-12,CD,2019-09-26,4,2019-11-07,2019-09-27,MED
0.75,2019-06-13,CD,2019-06-27,4,2019-08-07,2019-06-28,MED
0.75,2019-03-13,CD,2019-03-28,4,2019-05-07,2019-03-29,MED
0.75,2018-12-11,CD,2018-12-20,4,2019-02-07,2018-12-21,MED
0.48,2018-09-06,CD,2018-09-20,4,2018-11-08,2018-09-21,MED
0.48,2018-06-14,CD,2018-06-28,4,2018-08-08,2018-06-29,MED
0.48,2018-03-17,CD,2018-03-28,4,2018-05-08,2018-03-30,MED
0.48,2017-12-06,CD,2017-12-21,4,2018-02-08,2017-12-22,MED
0.32,2017-09-07,CD,2017-09-21,4,2017-11-09,2017-09-22,MED
0.32,2017-06-07,CD,2017-06-21,4,2017-08-09,2017-06-23,MED
0.32,2017-03-09,CD,2017-03-21,4,2017-05-09,2017-03-23,MED
0.32,2016-12-08,CD,2016-12-21,4,2017-02-09,2016-12-23,MED
0.25,2016-09-08,CD,2016-09-21,4,2016-11-10,2016-09-23,MED
0.25,2016-06-15,CD,2016-06-23,4,2016-08-10,2016-06-27,MED
0.25,2016-03-09,CD,2016-03-17,4,2016-05-10,2016-03-21,MED
0.25,2015-12-16,CD,2015-12-23,4,2016-02-10,2015-12-28,MED
