cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.61,2022-05-12,CD,2022-05-31,4,2022-06-30,2022-06-01,MLM
0.61,2022-02-17,CD,2022-02-28,4,2022-03-31,2022-03-01,MLM
0.61,2021-11-11,CD,2021-11-30,4,2021-12-31,2021-12-01,MLM
0.61,2021-08-12,CD,2021-08-31,4,2021-09-30,2021-09-01,MLM
0.57,2021-05-13,CD,2021-05-28,4,2021-06-30,2021-06-01,MLM
0.57,2021-02-18,CD,2021-02-26,4,2021-03-31,2021-03-01,MLM
0.57,2020-11-12,CD,2020-11-30,4,2020-12-31,2020-12-01,MLM
0.57,2020-08-13,CD,2020-08-31,4,2020-09-30,2020-09-01,MLM
0.55,2020-05-14,CD,2020-05-29,4,2020-06-30,2020-06-01,MLM
0.55,2020-02-20,CD,2020-02-28,4,2020-03-31,2020-03-02,MLM
0.55,2019-11-07,CD,2019-11-29,4,2019-12-31,2019-12-02,MLM
0.55,2019-08-14,CD,2019-08-30,4,2019-09-30,2019-09-03,MLM
0.48,2019-05-09,CD,2019-05-31,4,2019-06-28,2019-06-03,MLM
0.48,2019-02-22,CD,2019-03-01,4,2019-03-29,2019-03-04,MLM
0.48,2018-11-15,CD,2018-11-30,4,2018-12-31,2018-12-03,MLM
0.48,2018-08-23,CD,2018-08-31,4,2018-09-28,2018-09-04,MLM
0.44,2018-05-17,CD,2018-05-31,4,2018-06-29,2018-06-01,MLM
0.44,2018-02-22,CD,2018-03-02,4,2018-03-29,2018-03-05,MLM
0.44,2017-11-16,CD,2017-11-30,4,2017-12-29,2017-12-01,MLM
0.44,2017-08-24,CD,2017-08-31,4,2017-09-29,2017-09-05,MLM
0.42,2017-05-19,CD,2017-05-30,4,2017-06-30,2017-06-01,MLM
0.42,2017-02-27,CD,2017-03-02,4,2017-03-31,2017-03-06,MLM
0.42,2016-11-11,CD,2016-11-29,4,2016-12-30,2016-12-01,MLM
0.42,2016-08-22,CD,2016-08-30,4,2016-09-30,2016-09-01,MLM
0.4,2016-05-19,CD,2016-05-27,4,2016-06-30,2016-06-01,MLM
0.4,2016-02-19,CD,2016-02-26,4,2016-03-31,2016-03-01,MLM
0.4,2015-11-13,CD,2015-11-27,4,2015-12-31,2015-12-01,MLM
0.4,2015-08-21,CD,2015-08-28,4,2015-09-30,2015-09-01,MLM
0.4,2015-05-22,CD,2015-05-28,4,2015-06-30,2015-06-01,MLM
0.4,2015-01-22,CD,2015-02-26,4,2015-03-31,2015-03-02,MLM
0.4,2014-11-14,CD,2014-11-26,4,2014-12-31,2014-12-01,MLM
0.4,2014-08-22,CD,2014-08-28,4,2014-09-30,2014-09-02,MLM
0.4,2014-05-23,CD,2014-05-29,4,2014-06-30,2014-06-02,MLM
0.4,2014-01-24,CD,2014-02-27,4,2014-03-31,2014-03-03,MLM
0.4,2013-11-15,CD,2013-11-27,4,2013-12-31,2013-12-02,MLM
0.4,2013-08-22,CD,2013-08-29,4,2013-09-30,2013-09-03,MLM
0.4,2013-05-24,CD,2013-05-30,4,2013-06-28,2013-06-03,MLM
0.4,2013-01-25,CD,2013-02-27,4,2013-03-29,2013-03-01,MLM
0.4,2012-11-15,CD,2012-11-28,4,2012-12-31,2012-11-30,MLM
0.4,2012-08-25,CD,2012-08-30,4,2012-09-28,2012-09-04,MLM
0.4,2012-05-26,CD,2012-05-30,4,2012-06-29,2012-06-01,MLM
0.4,2012-01-30,CD,2012-02-28,4,2012-03-30,2012-03-01,MLM
0.4,2011-11-10,CD,2011-11-29,4,2011-12-30,2011-12-01,MLM
0.4,2011-08-19,CD,2011-08-30,4,2011-09-30,2011-09-01,MLM
0.4,2011-05-14,CD,2011-05-27,4,2011-06-30,2011-06-01,MLM
0.4,2011-01-31,CD,2011-02-25,4,2011-03-31,2011-03-01,MLM
0.4,2010-11-12,CD,2010-11-29,4,2010-12-31,2010-12-01,MLM
0.4,2010-08-20,CD,2010-08-30,4,2010-09-30,2010-09-01,MLM
0.4,2010-05-29,CD,2010-06-04,4,2010-06-30,2010-06-08,MLM
0.4,2010-02-01,CD,2010-02-25,4,2010-03-31,2010-03-01,MLM
0.4,2009-11-12,CD,2009-11-27,4,2009-12-31,2009-12-01,MLM
0.4,2009-08-21,CD,2009-08-28,4,2009-09-30,2009-09-01,MLM
0.4,2009-05-29,CD,2009-06-04,4,2009-06-30,2009-06-08,MLM
0.4,2009-02-02,CD,2009-02-25,4,2009-03-31,2009-02-27,MLM
0.4,2008-11-20,CD,2008-11-26,4,2008-12-31,2008-12-01,MLM
0.4,2008-08-15,CD,2008-08-27,4,2008-09-30,2008-08-29,MLM
0.345,2008-05-28,CD,2008-05-30,4,2008-06-30,2008-06-03,MLM
0.345,2008-01-31,CD,2008-02-27,4,2008-03-31,2008-02-29,MLM
0.345,2007-11-09,CD,2007-11-28,4,2007-12-31,2007-11-30,MLM
0.345,2007-08-15,CD,2007-08-29,4,2007-09-28,2007-08-31,MLM
0.275,2007-05-23,CD,2007-05-30,4,2007-06-29,2007-06-01,MLM
0.275,2007-02-02,CD,2007-02-27,4,2007-03-30,2007-03-01,MLM
0.275,2006-11-16,CD,2006-11-29,4,2006-12-29,2006-12-01,MLM
0.275,2006-08-16,CD,2006-08-30,4,2006-09-29,2006-09-01,MLM
0.23,2006-05-24,CD,2006-05-30,4,2006-06-30,2006-06-01,MLM
0.23,2006-02-02,CD,2006-02-27,4,2006-03-31,2006-03-01,MLM
0.23,2005-11-17,CD,2005-11-29,4,2005-12-30,2005-12-01,MLM
0.23,2005-08-17,CD,2005-08-30,4,2005-09-30,2005-09-01,MLM
0.2,2005-05-25,CD,2005-05-27,4,2005-06-30,2005-06-01,MLM
0.2,2005-01-14,CD,2005-02-25,4,2005-03-31,2005-03-01,MLM
0.2,2004-11-18,CD,2004-11-29,4,2004-12-31,2004-12-01,MLM
0.2,2004-08-18,CD,2004-08-30,4,2004-09-30,2004-09-01,MLM
0.18,2004-05-26,CD,2004-05-28,4,2004-06-30,2004-06-02,MLM
0.18,2004-01-15,CD,2004-02-26,4,2004-03-31,2004-03-01,MLM
0.18,2003-11-14,CD,2003-11-25,4,2003-12-31,2003-11-28,MLM
0.18,2003-08-20,CD,2003-08-27,4,2003-09-30,2003-08-29,MLM
0.18,2003-03-26,CD,2003-05-30,4,2003-06-30,2003-06-03,MLM
0.15,2003-01-30,CD,2003-02-26,4,2003-03-31,2003-02-28,MLM
0.15,2002-11-15,CD,2002-11-26,4,2002-12-31,2002-11-29,MLM
0.15,2002-08-16,CD,2002-08-28,4,2002-09-30,2002-08-30,MLM
0.14,2002-05-24,CD,2002-05-29,4,2002-06-28,2002-05-31,MLM
0.14,2002-01-23,CD,2002-02-27,4,2002-03-29,2002-03-01,MLM
0.14,2001-11-15,CD,2001-11-28,4,2001-12-31,2001-11-30,MLM
0.14,2001-08-17,CD,2001-08-29,4,2001-09-28,2001-08-31,MLM
0.14,2001-05-23,CD,2001-05-30,4,2001-06-29,2001-06-01,MLM
0.14,2001-01-23,CD,2001-02-27,4,2001-03-30,2001-03-01,MLM
0.14,2000-11-14,CD,2000-11-29,4,2000-12-29,2000-12-01,MLM
0.14,2000-08-18,CD,2000-08-30,4,2000-09-29,2000-09-01,MLM
0.13,2000-05-23,CD,2000-05-30,4,2000-06-30,2000-06-01,MLM
0.13,2000-01-28,CD,2000-02-28,4,2000-03-31,2000-03-01,MLM
0.13,1999-11-12,CD,1999-11-29,4,1999-12-31,1999-12-01,MLM
0.13,1999-08-20,CD,1999-08-30,4,1999-09-30,1999-09-01,MLM
0.13,1999-05-20,CD,1999-05-27,4,1999-06-30,1999-06-01,MLM
0.13,1999-01-27,CD,1999-02-25,4,1999-03-31,1999-03-01,MLM
0.13,1998-11-13,CD,1998-11-27,4,1998-12-31,1998-12-01,MLM
0.13,1998-08-26,CD,1998-09-11,4,1998-09-30,1998-09-15,MLM
0.12,1998-05-11,CD,1998-05-28,4,1998-06-30,1998-06-01,MLM
0.12,1998-01-28,CD,1998-02-25,4,1998-03-31,1998-02-27,MLM
0.12,1997-11-06,CD,1997-11-26,4,1997-12-31,1997-12-01,MLM
0.12,1997-07-18,CD,1997-08-27,4,1970-01-01,1997-08-25,MLM
0.12,1997-05-02,CD,1997-05-28,4,1997-06-30,1997-05-30,MLM
0.12,1997-01-27,CD,1997-02-26,4,1997-03-31,1997-02-28,MLM
0.12,1996-11-06,CD,1996-11-26,4,1996-12-31,1996-11-29,MLM
0.12,1996-07-26,CD,1996-08-28,4,1996-09-30,1996-08-30,MLM
0.11,1996-05-03,CD,1996-05-29,4,1996-06-28,1996-05-31,MLM
0.11,1996-01-24,CD,1996-02-28,4,1996-03-29,1996-03-01,MLM
0.11,1995-11-02,CD,1995-11-29,4,1995-12-29,1995-12-01,MLM
0.11,1995-08-04,CD,1995-08-30,4,1995-09-29,1995-09-01,MLM
0.11,1995-05-05,CD,1995-05-25,4,1995-06-30,1995-06-01,MLM
0.11,1995-01-25,CD,1995-02-23,4,1995-03-31,1995-03-01,MLM
0.11,1994-11-02,CD,1994-11-25,4,1994-12-30,1994-12-01,MLM
0.11,1994-08-03,CD,1994-08-26,4,1994-09-30,1994-09-01,MLM
