cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.15,2022-05-19,CD,2022-06-01,4,2022-06-16,2022-06-02,MOS
0.1125,2021-12-17,CD,2022-03-02,4,2022-03-17,2022-03-03,MOS
0.075,2021-10-20,CD,2021-12-01,4,2021-12-16,2021-12-02,MOS
0.075,2021-08-19,CD,2021-09-01,4,2021-09-16,2021-09-02,MOS
0.075,2021-05-20,CD,2021-06-02,4,2021-06-17,2021-06-03,MOS
0.05,2020-12-17,CD,2021-03-03,4,2021-03-18,2021-03-04,MOS
0.05,2020-10-14,CD,2020-12-02,4,2020-12-17,2020-12-03,MOS
0.05,2020-08-13,CD,2020-09-02,4,2020-09-17,2020-09-03,MOS
0.05,2020-05-21,CD,2020-06-03,4,2020-06-18,2020-06-04,MOS
0.05,2019-12-19,CD,2020-03-04,4,2020-03-19,2020-03-05,MOS
0.05,2019-10-16,CD,2019-12-04,4,2019-12-19,2019-12-05,MOS
0.05,2019-08-14,CD,2019-09-04,4,2019-09-19,2019-09-05,MOS
0.05,2019-05-23,CD,2019-06-05,4,2019-06-20,2019-06-06,MOS
0.025,2018-12-20,CD,2019-03-06,4,2019-03-21,2019-03-07,MOS
0.025,2018-10-18,CD,2018-12-05,4,2018-12-20,2018-12-06,MOS
0.025,2018-08-23,CD,2018-09-05,4,2018-09-20,2018-09-06,MOS
0.025,2018-05-10,CD,2018-06-06,4,2018-06-21,2018-06-07,MOS
0.025,2017-12-14,CD,2018-02-28,4,2018-03-15,2018-03-01,MOS
0.025,2017-10-31,CD,2017-12-06,4,2017-12-21,2017-12-07,MOS
0.15,2017-08-18,CD,2017-09-06,4,2017-09-21,2017-09-07,MOS
0.15,2017-05-19,CD,2017-05-30,4,2017-06-15,2017-06-01,MOS
0.275,2016-12-15,CD,2017-02-28,4,2017-03-16,2017-03-02,MOS
0.275,2016-10-13,CD,2016-11-29,4,2016-12-15,2016-12-01,MOS
0.275,2016-08-25,CD,2016-09-06,4,2016-09-22,2016-09-08,MOS
0.275,2016-05-19,CD,2016-05-31,4,2016-06-16,2016-06-02,MOS
0.275,2015-12-17,CD,2016-03-01,4,2016-03-17,2016-03-03,MOS
0.275,2015-10-15,CD,2015-12-01,4,2015-12-17,2015-12-03,MOS
0.275,2015-08-13,CD,2015-09-01,4,2015-09-17,2015-09-03,MOS
0.275,2015-05-14,CD,2015-06-02,4,2015-06-18,2015-06-04,MOS
0.25,2014-12-18,CD,2015-03-03,4,2015-03-19,2015-03-05,MOS
0.25,2014-10-17,CD,2014-12-02,4,2014-12-18,2014-12-04,MOS
0.25,2014-08-14,CD,2014-09-02,4,2014-09-18,2014-09-04,MOS
0.25,2014-05-15,CD,2014-06-03,4,2014-06-19,2014-06-05,MOS
0.25,2014-02-20,CD,2014-03-04,4,2014-03-20,2014-03-06,MOS
0.25,2013-10-05,CD,2013-12-03,4,2013-12-19,2013-12-05,MOS
0.25,2013-07-18,CD,2013-07-30,4,2013-08-15,2013-08-01,MOS
0.25,2013-04-11,CD,2013-04-30,4,2013-05-16,2013-05-02,MOS
0.25,2012-12-13,CD,2013-02-05,4,2013-02-21,2013-02-07,MOS
0.25,2012-10-05,CD,2012-10-31,4,2012-11-15,2012-11-01,MOS
0.25,2012-07-23,CD,2012-07-31,4,2012-08-16,2012-08-02,MOS
0.125,2012-04-13,CD,2012-05-01,4,2012-05-17,2012-05-03,MOS
0.05,2011-12-09,CD,2012-01-31,4,2012-02-16,2012-02-02,MOS
0.05,2011-10-13,CD,2011-11-01,4,2011-11-17,2011-11-03,MOS
0.05,2011-07-25,CD,2011-08-02,4,2011-08-18,2011-08-04,MOS
0.05,2011-04-15,CD,2011-04-20,4,2011-05-02,2011-04-25,MOS
0.05,2010-12-10,CD,2011-02-01,4,2011-02-17,2011-02-03,MOS
0.05,2010-10-09,CD,2010-11-02,4,2010-11-18,2010-11-04,MOS
0.05,2010-07-24,CD,2010-08-04,4,2010-08-19,2010-08-06,MOS
0.05,2010-04-17,CD,2010-05-04,4,2010-05-20,2010-05-06,MOS
0.05,2009-12-14,CD,2010-02-02,4,2010-02-18,2010-02-04,MOS
1.3,2009-10-27,SC,2009-11-09,0,2009-12-03,2009-11-12,MOS
0.05,2009-10-09,CD,2009-11-03,4,2009-11-19,2009-11-05,MOS
0.05,2009-07-03,CD,2009-08-04,4,2009-08-20,2009-08-06,MOS
0.05,2009-04-03,CD,2009-05-05,4,2009-05-21,2009-05-07,MOS
0.05,2009-01-03,CD,2009-02-03,4,2009-02-19,2009-02-05,MOS
0.05,2008-10-20,CD,2008-11-04,4,2008-11-20,2008-11-06,MOS
0.05,2008-08-02,CD,2008-08-05,4,2008-08-21,2008-08-07,MOS
