cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.775,2022-07-11,CD,2022-07-28,4,2022-08-15,2022-07-29,MS
0.7,2022-04-14,CD,2022-04-28,4,2022-05-13,2022-04-29,MS
0.7,2022-01-16,CD,2022-01-28,4,2022-02-15,2022-01-31,MS
0.7,2021-10-14,CD,2021-10-28,4,2021-11-15,2021-10-29,MS
0.7,2021-07-15,CD,2021-07-29,4,2021-08-13,2021-07-30,MS
0.35,2021-04-16,CD,2021-04-29,4,2021-05-14,2021-04-30,MS
0.35,2021-01-20,CD,2021-01-28,4,2021-02-12,2021-01-29,MS
0.35,2020-10-15,CD,2020-10-29,4,2020-11-13,2020-10-30,MS
0.35,2020-07-16,CD,2020-07-30,4,2020-08-14,2020-07-31,MS
0.35,2020-04-16,CD,2020-04-29,4,2020-05-15,2020-04-30,MS
0.35,2020-01-16,CD,2020-01-30,4,2020-02-14,2020-01-31,MS
0.35,2019-10-17,CD,2019-10-30,4,2019-11-15,2019-10-31,MS
0.35,2019-07-18,CD,2019-07-30,4,2019-08-15,2019-07-31,MS
0.3,2019-04-17,CD,2019-04-29,4,2019-05-15,2019-04-30,MS
0.3,2019-01-17,CD,2019-01-30,4,2019-02-15,2019-01-31,MS
0.3,2018-10-16,CD,2018-10-30,4,2018-11-15,2018-10-31,MS
0.3,2018-07-18,CD,2018-07-30,4,2018-08-15,2018-07-31,MS
0.25,2018-04-18,CD,2018-04-27,4,2018-05-15,2018-04-30,MS
0.25,2018-01-18,CD,2018-01-30,4,2018-02-15,2018-01-31,MS
0.25,2017-10-17,CD,2017-10-30,4,2017-11-15,2017-10-31,MS
0.25,2017-07-19,CD,2017-07-27,4,2017-08-15,2017-07-31,MS
0.2,2017-04-20,CD,2017-04-27,4,2017-05-15,2017-05-01,MS
0.2,2017-01-17,CD,2017-01-27,4,2017-02-15,2017-01-31,MS
0.2,2016-10-19,CD,2016-10-27,4,2016-11-15,2016-10-31,MS
0.2,2016-07-20,CD,2016-07-27,4,2016-08-15,2016-07-29,MS
0.15,2016-04-18,CD,2016-04-27,4,2016-05-13,2016-04-29,MS
0.15,2016-01-19,CD,2016-01-27,4,2016-02-15,2016-01-29,MS
0.15,2015-10-19,CD,2015-10-28,4,2015-11-13,2015-10-30,MS
0.15,2015-07-20,CD,2015-07-29,4,2015-08-14,2015-07-31,MS
0.15,2015-04-20,CD,2015-04-28,4,2015-05-15,2015-04-30,MS
0.1,2015-01-19,CD,2015-01-28,4,2015-02-13,2015-01-30,MS
0.1,2014-10-17,CD,2014-10-29,4,2014-11-14,2014-10-31,MS
0.1,2014-07-17,CD,2014-07-29,4,2014-08-15,2014-07-31,MS
0.1,2014-04-17,CD,2014-04-28,4,2014-05-15,2014-04-30,MS
0.05,2014-01-17,CD,2014-01-29,4,2014-02-14,2014-01-31,MS
0.05,2013-10-18,CD,2013-10-29,4,2013-11-15,2013-10-31,MS
0.05,2013-07-18,CD,2013-07-29,4,2013-08-15,2013-07-31,MS
0.05,2013-04-18,CD,2013-04-26,4,2013-05-15,2013-04-30,MS
0.05,2013-01-18,CD,2013-02-01,4,2013-02-15,2013-02-05,MS
0.05,2012-10-18,CD,2012-10-29,4,2012-11-15,2012-10-31,MS
0.05,2012-07-20,CD,2012-07-27,4,2012-08-15,2012-07-31,MS
0.05,2012-04-20,CD,2012-04-26,4,2012-05-15,2012-04-30,MS
0.05,2012-01-20,CD,2012-01-27,4,2012-02-15,2012-01-31,MS
0.05,2011-10-20,CD,2011-10-27,4,2011-11-15,2011-10-31,MS
0.05,2011-07-21,CD,2011-07-27,4,2011-08-15,2011-07-29,MS
0.05,2011-04-22,CD,2011-04-27,4,2011-05-13,2011-04-29,MS
0.05,2011-01-21,CD,2011-01-27,4,2011-02-15,2011-01-31,MS
0.05,2010-10-21,CD,2010-10-27,4,2010-11-15,2010-10-29,MS
0.05,2010-07-22,CD,2010-07-28,4,2010-08-13,2010-07-30,MS
0.05,2010-04-22,CD,2010-04-28,4,2010-05-14,2010-04-30,MS
0.05,2010-01-21,CD,2010-01-27,4,2010-02-12,2010-01-29,MS
0.05,2009-10-22,CD,2009-10-28,4,2009-11-13,2009-10-30,MS
0.05,2009-07-23,CD,2009-07-29,4,2009-08-14,2009-07-31,MS
0.05,2009-04-22,CD,2009-04-28,4,2009-05-15,2009-04-30,MS
0.016667,2009-04-22,SC,2009-04-28,0,2009-05-15,2009-04-30,MS
0.27,2008-12-18,CD,2009-01-28,4,2009-02-13,2009-01-30,MS
0.27,2008-09-19,CD,2008-10-15,4,2008-10-31,2008-10-17,MS
0.27,2008-06-19,CD,2008-07-09,4,2008-07-31,2008-07-11,MS
0.27,2008-03-19,CD,2008-04-09,4,2008-04-30,2008-04-11,MS
0.27,2007-12-19,CD,2008-01-09,4,2008-01-31,2008-01-11,MS
0.27,2007-09-19,CD,2007-10-10,4,2007-10-31,2007-10-12,MS
0.27,2007-06-20,CD,2007-07-11,4,2007-07-31,2007-07-13,MS
0.27,2007-03-21,CD,2007-04-11,4,2007-04-30,2007-04-13,MS
0.27,2006-12-19,CD,2007-01-10,4,2007-01-31,2007-01-12,MS
0.27,2006-09-20,CD,2006-10-11,4,2006-10-31,2006-10-13,MS
0.27,2006-06-21,CD,2006-07-12,4,2006-07-31,2006-07-14,MS
0.27,2006-03-22,CD,2006-04-11,4,2006-04-28,2006-04-13,MS
0.27,2005-12-20,CD,2006-01-11,4,2006-01-31,2006-01-13,MS
0.27,2005-09-21,CD,2005-10-12,4,2005-10-31,2005-10-14,MS
0.27,2005-06-22,CD,2005-07-13,4,2005-07-29,2005-07-15,MS
0.27,2005-03-17,CD,2005-04-13,4,2005-04-29,2005-04-15,MS
0.27,2004-12-21,CD,2005-01-12,4,2005-01-31,2005-01-14,MS
0.25,2004-09-23,CD,2004-10-06,4,2004-10-29,2004-10-08,MS
0.25,2004-05-28,CD,2004-07-07,4,2004-07-30,2004-07-09,MS
0.25,2004-03-19,CD,2004-04-06,4,2004-04-30,2004-04-09,MS
0.25,2003-11-28,CD,2004-01-07,4,2004-01-30,2004-01-09,MS
0.23,2003-09-24,CD,2003-10-08,4,2003-10-31,2003-10-10,MS
0.23,2003-06-18,CD,2003-07-09,4,2003-07-31,2003-07-11,MS
0.23,2003-03-20,CD,2003-04-09,4,2003-04-30,2003-04-11,MS
0.23,2002-12-19,CD,2003-01-08,4,2003-01-31,2003-01-10,MS
0.23,2002-09-20,CD,2002-10-02,4,2002-10-25,2002-10-04,MS
0.23,2002-06-20,CD,2002-07-02,4,2002-07-26,2002-07-05,MS
0.23,2002-02-22,CD,2002-04-03,4,2002-04-26,2002-04-05,MS
0.23,2001-12-19,CD,2002-01-09,4,2002-01-25,2002-01-11,MS
0.23,2001-09-21,CD,2001-10-03,4,2001-10-26,2001-10-05,MS
0.23,2001-06-21,CD,2001-07-03,4,2001-07-27,2001-07-06,MS
0.23,2001-03-20,CD,2001-04-04,4,2001-04-27,2001-04-06,MS
0.23,2000-12-19,CD,2001-01-10,4,2001-01-30,2001-01-12,MS
0.2,2000-09-21,CD,2000-10-04,4,2000-10-27,2000-10-06,MS
0.2,2000-06-22,CD,2000-07-05,4,2000-07-28,2000-07-07,MS
0.2,2000-03-23,CD,2000-04-12,4,2000-04-28,2000-04-14,MS
0.2,1999-12-10,CD,2000-01-10,4,2000-01-20,2000-01-12,MS
0.12,1999-09-22,CD,1999-10-13,4,1999-10-29,1999-10-15,MS
0.12,1999-06-24,CD,1999-07-14,4,1999-07-30,1999-07-16,MS
0.12,1999-03-25,CD,1999-04-14,4,1999-04-30,1999-04-16,MS
0.12,1999-01-07,CD,1999-01-14,4,1999-01-29,1999-01-19,MS
0.1,1998-09-25,CD,1998-10-13,4,1998-10-30,1998-10-15,MS
0.1,1998-06-26,CD,1998-07-14,4,1998-07-30,1998-07-16,MS
0.1,1998-03-26,CD,1998-04-13,4,1998-04-30,1998-04-15,MS
0.1,1998-01-09,CD,1998-01-15,4,1998-01-30,1998-01-20,MS
0.07,1997-10-03,CD,1997-10-09,4,1997-10-31,1997-10-14,MS
0.07,1997-06-27,CD,1997-07-10,4,1997-07-30,1997-07-14,MS
0.07,1997-04-18,CD,1997-05-22,4,1997-07-01,1997-05-27,MS
0.07,1997-01-16,CD,1997-02-27,4,1970-01-01,1997-02-25,MS
0.055,1996-10-17,CD,1996-11-28,4,1970-01-01,1996-11-26,MS
0.055,1996-11-12,CD,1996-11-27,4,1970-01-01,1996-11-29,MS
0.055,1996-07-19,CD,1996-08-29,4,1996-10-01,1996-09-03,MS
0.055,1996-04-19,CD,1996-05-29,4,1970-01-01,1996-05-27,MS
0.055,1996-01-19,CD,1996-02-28,4,1970-01-01,1996-02-26,MS
0.04,1995-10-20,CD,1995-11-29,4,1996-01-02,1995-12-01,MS
0.04,1995-07-13,CD,1995-08-24,4,1970-01-01,1995-08-22,MS
0.04,1995-04-21,CD,1995-05-25,4,1995-07-03,1995-06-01,MS
0.0313,1995-01-20,CD,1995-02-23,4,1995-04-03,1995-03-01,MS
0.0313,1994-10-25,CD,1994-11-25,4,1995-01-03,1994-12-01,MS
0.0313,1994-07-15,CD,1994-08-26,4,1994-10-03,1994-09-01,MS
0.0313,1994-05-03,CD,1994-05-23,4,1994-07-01,1994-06-01,MS
0.0313,1994-01-21,CD,1994-02-23,4,1994-04-01,1994-03-01,MS
0.025,1993-11-01,CD,1993-11-24,4,1994-01-03,1993-12-01,MS
0.025,1993-08-13,CD,1993-08-26,4,1993-10-01,1993-09-01,MS
0.025,1993-05-18,CD,1993-05-25,4,1993-07-01,1993-06-01,MS
0.12,1992-11-19,CD,1992-11-23,4,1992-12-17,1992-11-30,MS
0.12,1992-08-20,CD,1992-08-28,4,1992-09-23,1992-09-03,MS
0.12,1992-05-21,CD,1992-05-26,4,1992-06-24,1992-06-01,MS
0.1175,1992-01-24,CD,1992-01-28,4,1992-02-20,1992-02-03,MS
0.105,1991-10-22,CD,1991-10-28,4,1991-11-19,1991-11-01,MS
0.105,1991-07-25,CD,1991-07-29,4,1991-08-30,1991-08-02,MS
0.0938,1991-04-23,CD,1991-04-29,4,1991-05-21,1991-05-03,MS
0.0938,1991-01-25,CD,1991-01-29,4,1991-02-21,1991-02-04,MS
0.0938,1990-10-24,CD,1990-10-29,4,1990-11-20,1990-11-02,MS
0.0938,1990-07-24,CD,1990-07-30,4,1990-08-21,1990-08-03,MS
0.0938,1990-04-24,CD,1990-04-30,4,1990-05-22,1990-05-04,MS
0.0938,1990-01-23,CD,1990-01-29,4,1990-02-23,1990-02-02,MS
0.0688,1989-10-17,CD,1989-10-26,4,1989-11-14,1989-11-01,MS
0.0688,1989-07-18,CD,1989-07-27,4,1989-08-15,1989-08-02,MS
0.0563,1989-04-19,CD,1989-04-27,4,1989-05-16,1989-05-03,MS
0.05627375,1988-12-22,CD,1989-02-02,4,1970-01-01,1989-01-31,MS
0.0416805,1988-09-15,CD,1988-10-27,4,1970-01-01,1988-10-25,MS
0.0416805,1988-06-16,CD,1988-07-28,4,1970-01-01,1988-07-26,MS
0.0374825,1988-03-17,CD,1988-04-28,4,1970-01-01,1988-04-26,MS
0.0374825,1987-12-25,CD,1988-02-05,4,1970-01-01,1988-02-03,MS
0.0333844167,1987-09-18,CD,1987-10-30,4,1970-01-01,1987-10-28,MS
0.0333844167,1987-06-19,CD,1987-07-31,4,1970-01-01,1987-07-29,MS
0.0333844167,1987-03-20,CD,1987-05-01,4,1970-01-01,1987-04-29,MS
0.0333844167,1986-12-19,CD,1987-01-30,4,1970-01-01,1987-01-28,MS
0.0291864167,1986-09-19,CD,1986-10-31,4,1970-01-01,1986-10-29,MS
0.0291864167,1986-06-20,CD,1986-08-01,4,1970-01-01,1986-07-30,MS
