cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
2.1,2022-08-03,CD,2022-09-14,4,2022-10-03,2022-09-15,NEU
2.1,2022-04-28,CD,2022-06-14,4,2022-07-01,2022-06-15,NEU
2.1,2022-02-23,CD,2022-03-14,4,2022-04-01,2022-03-15,NEU
2.1,2021-10-28,CD,2021-12-14,4,2022-01-03,2021-12-15,NEU
2.1,2021-08-05,CD,2021-09-14,4,2021-10-01,2021-09-15,NEU
1.9,2021-04-22,CD,2021-06-14,4,2021-07-01,2021-06-15,NEU
1.9,2021-02-25,CD,2021-03-12,4,2021-04-01,2021-03-15,NEU
1.9,2020-10-22,CD,2020-12-14,4,2021-01-04,2020-12-15,NEU
1.9,2020-08-06,CD,2020-09-14,4,2020-10-01,2020-09-15,NEU
1.9,2020-04-23,CD,2020-06-12,4,2020-07-01,2020-06-15,NEU
1.9,2020-02-27,CD,2020-03-13,4,2020-04-01,2020-03-16,NEU
1.9,2019-10-24,CD,2019-12-13,4,2020-01-02,2019-12-16,NEU
1.9,2019-08-01,CD,2019-09-13,4,2019-10-01,2019-09-16,NEU
1.75,2019-04-25,CD,2019-06-14,4,2019-07-01,2019-06-17,NEU
1.75,2019-02-28,CD,2019-03-14,4,2019-04-01,2019-03-15,NEU
1.75,2018-10-25,CD,2018-12-14,4,2019-01-02,2018-12-17,NEU
1.75,2018-08-09,CD,2018-09-14,4,2018-10-01,2018-09-17,NEU
1.75,2018-04-26,CD,2018-06-14,4,2018-07-02,2018-06-15,NEU
1.75,2018-02-22,CD,2018-03-14,4,2018-04-02,2018-03-15,NEU
1.75,2017-10-26,CD,2017-12-14,4,2018-01-02,2017-12-15,NEU
1.75,2017-08-03,CD,2017-09-14,4,2017-10-02,2017-09-15,NEU
1.75,2017-04-27,CD,2017-06-13,4,2017-07-03,2017-06-15,NEU
1.75,2017-02-23,CD,2017-03-13,4,2017-04-03,2017-03-15,NEU
1.6,2016-10-27,CD,2016-12-13,4,2017-01-02,2016-12-15,NEU
1.6,2016-08-11,CD,2016-09-13,4,2016-10-01,2016-09-15,NEU
1.6,2016-04-28,CD,2016-06-13,4,2016-07-01,2016-06-15,NEU
1.6,2016-02-25,CD,2016-03-11,4,2016-04-01,2016-03-15,NEU
1.6,2015-10-22,CD,2015-12-11,4,2016-01-01,2015-12-15,NEU
1.4,2015-08-07,CD,2015-09-11,4,2015-10-01,2015-09-15,NEU
1.4,2015-04-23,CD,2015-06-11,4,2015-07-01,2015-06-15,NEU
1.4,2015-02-26,CD,2015-03-12,4,2015-04-01,2015-03-16,NEU
1.4,2014-10-23,CD,2014-12-11,4,2015-01-01,2014-12-15,NEU
1.1,2014-07-29,CD,2014-09-11,4,2014-10-01,2014-09-15,NEU
1.1,2014-04-24,CD,2014-06-12,4,2014-07-01,2014-06-16,NEU
1.1,2014-02-27,CD,2014-03-13,4,2014-04-01,2014-03-17,NEU
1.1,2013-10-24,CD,2013-12-12,4,2014-01-01,2013-12-16,NEU
0.9,2013-07-18,CD,2013-09-12,4,2013-10-01,2013-09-16,NEU
0.9,2013-04-26,CD,2013-06-13,4,2013-07-01,2013-06-17,NEU
0.9,2013-03-01,CD,2013-03-13,4,2013-04-01,2013-03-15,NEU
0.75,2012-10-25,CD,2012-12-05,4,2012-12-21,2012-12-07,NEU
25.0,2012-10-25,SC,2012-11-05,0,2012-11-27,2012-11-07,NEU
0.75,2012-07-18,CD,2012-09-13,4,2012-10-01,2012-09-17,NEU
0.75,2012-04-27,CD,2012-06-13,4,2012-07-02,2012-06-15,NEU
0.75,2012-02-24,CD,2012-03-13,4,2012-04-02,2012-03-15,NEU
0.75,2011-10-28,CD,2011-12-13,4,2012-01-01,2011-12-15,NEU
0.6,2011-07-19,CD,2011-09-13,4,2011-10-01,2011-09-15,NEU
0.6,2011-04-21,CD,2011-06-13,4,2011-07-01,2011-06-15,NEU
0.44,2011-02-18,CD,2011-03-11,4,2011-04-01,2011-03-15,NEU
0.44,2010-10-19,CD,2010-12-13,4,2011-01-01,2010-12-15,NEU
0.375,2010-07-22,CD,2010-09-13,4,2010-10-01,2010-09-15,NEU
0.375,2010-04-23,CD,2010-06-11,4,2010-07-01,2010-06-15,NEU
0.375,2010-02-19,CD,2010-03-11,4,2010-04-01,2010-03-15,NEU
0.375,2009-10-23,CD,2009-12-11,4,2010-01-01,2009-12-15,NEU
0.25,2009-07-31,CD,2009-09-11,4,2009-10-01,2009-09-15,NEU
0.25,2009-04-24,CD,2009-06-11,4,2009-07-01,2009-06-15,NEU
0.2,2009-02-20,CD,2009-03-12,4,2009-04-01,2009-03-16,NEU
0.2,2008-10-24,CD,2008-12-11,4,2009-01-01,2008-12-15,NEU
0.2,2008-08-01,CD,2008-09-11,4,2008-10-01,2008-09-15,NEU
0.2,2008-04-24,CD,2008-06-11,4,2008-07-01,2008-06-13,NEU
0.2,2008-02-28,CD,2008-03-12,4,2008-04-01,2008-03-14,NEU
0.2,2007-10-25,CD,2007-12-12,4,2008-01-01,2007-12-14,NEU
0.125,2007-07-20,CD,2007-09-12,4,2007-10-01,2007-09-14,NEU
0.125,2007-04-26,CD,2007-06-13,4,2007-07-01,2007-06-15,NEU
0.125,2007-02-22,CD,2007-03-13,4,2007-04-01,2007-03-15,NEU
0.125,2006-10-24,CD,2006-12-13,4,2007-01-01,2006-12-15,NEU
0.125,2006-07-20,CD,2006-09-13,4,2006-10-01,2006-09-15,NEU
0.125,2006-04-27,CD,2006-06-13,4,2006-07-01,2006-06-15,NEU
0.125,2006-02-23,CD,2006-03-14,4,2006-04-03,2006-03-16,NEU
0.3125,2000-05-25,CD,2000-06-13,4,2000-07-01,2000-06-15,NEU
0.3125,2000-02-24,CD,2000-03-13,4,2000-04-01,2000-03-15,NEU
0.3125,1999-10-28,CD,1999-12-13,4,2000-01-01,1999-12-15,NEU
0.3125,1999-07-22,CD,1999-09-13,4,1999-10-01,1999-09-15,NEU
0.3125,1999-04-22,CD,1999-06-11,4,1999-07-01,1999-06-15,NEU
0.3125,1999-02-25,CD,1999-03-11,4,1999-04-01,1999-03-15,NEU
0.3125,1998-11-21,CD,1998-12-11,4,1999-01-04,1998-12-15,NEU
0.3125,1998-07-23,CD,1998-09-11,4,1998-10-01,1998-09-15,NEU
0.3125,1998-04-24,CD,1998-06-11,4,1998-07-01,1998-06-15,NEU
0.3125,1998-02-24,CD,1998-03-12,4,1998-04-01,1998-03-16,NEU
0.3125,1997-10-30,CD,1997-12-11,4,1998-01-01,1997-12-15,NEU
0.625,1997-07-24,CD,1997-09-11,4,1997-10-01,1997-09-15,NEU
0.625,1997-04-24,CD,1997-06-12,4,1997-07-01,1997-06-16,NEU
0.625,1997-02-27,CD,1997-03-07,4,1997-04-01,1997-03-11,NEU
0.625,1996-10-24,CD,1996-12-12,4,1997-01-01,1996-12-16,NEU
0.625,1996-08-23,CD,1996-09-12,4,1996-10-01,1996-09-16,NEU
0.625,1996-05-17,CD,1996-06-12,4,1996-07-01,1996-06-14,NEU
0.625,1996-02-22,CD,1996-03-13,4,1996-04-01,1996-03-15,NEU
0.625,1995-11-21,CD,1995-12-13,4,1996-01-01,1995-12-15,NEU
0.625,1995-08-24,CD,1995-09-13,4,1995-10-01,1995-09-15,NEU
0.625,1995-05-24,CD,1995-06-13,4,1995-07-01,1995-06-15,NEU
0.625,1995-02-17,CD,1995-03-09,4,1995-04-01,1995-03-15,NEU
0.625,1994-11-22,CD,1994-12-09,4,1995-01-01,1994-12-15,NEU
0.625,1994-07-28,CD,1994-09-09,4,1994-10-01,1994-09-15,NEU
0.625,1994-04-28,CD,1994-06-09,4,1994-07-01,1994-06-15,NEU
0.625,1994-03-03,CD,1994-03-17,4,1994-04-01,1994-03-23,NEU
0.75,1993-11-18,CD,1993-12-09,4,1994-01-01,1993-12-15,NEU
0.75,1993-07-22,CD,1993-09-09,4,1993-10-01,1993-09-15,NEU
0.74965,1993-04-28,CD,1993-06-07,4,1970-01-01,1993-06-03,NEU
0.74965,1993-01-28,CD,1993-03-09,4,1970-01-01,1993-03-05,NEU
0.74965,1992-10-30,CD,1992-12-09,4,1970-01-01,1992-12-07,NEU
0.74965,1992-07-31,CD,1992-09-09,4,1970-01-01,1992-09-07,NEU
0.74965,1992-04-30,CD,1992-06-09,4,1970-01-01,1992-06-05,NEU
0.74965,1992-01-30,CD,1992-03-10,4,1970-01-01,1992-03-06,NEU
0.74965,1991-10-31,CD,1991-12-10,4,1970-01-01,1991-12-06,NEU
0.74965,1991-08-01,CD,1991-09-10,4,1970-01-01,1991-09-06,NEU
0.74965,1991-05-01,CD,1991-06-10,4,1970-01-01,1991-06-06,NEU
0.74965,1991-01-30,CD,1991-03-11,4,1970-01-01,1991-03-07,NEU
0.74965,1990-10-31,CD,1990-12-10,4,1970-01-01,1990-12-06,NEU
0.74965,1990-08-01,CD,1990-09-10,4,1970-01-01,1990-09-06,NEU
0.74965,1990-05-02,CD,1990-06-11,4,1970-01-01,1990-06-07,NEU
0.74965,1990-01-26,CD,1990-03-09,4,1970-01-01,1990-03-07,NEU
5.0,1989-10-26,SC,1989-12-11,0,1990-01-01,1989-12-15,NEU
0.74965,1989-11-01,CD,1989-12-11,4,1970-01-01,1989-12-07,NEU
0.59972,1989-08-02,CD,1989-09-11,4,1970-01-01,1989-09-07,NEU
0.59972,1989-04-28,CD,1989-06-09,4,1970-01-01,1989-06-07,NEU
0.59972,1989-01-26,CD,1989-03-09,4,1970-01-01,1989-03-07,NEU
0.59972,1988-10-28,CD,1988-12-09,4,1970-01-01,1988-12-07,NEU
0.5497433335,1988-07-28,CD,1988-09-08,4,1970-01-01,1988-09-06,NEU
0.5497433335,1988-04-28,CD,1988-06-09,4,1970-01-01,1988-06-07,NEU
0.5497433335,1988-01-28,CD,1988-03-08,4,1970-01-01,1988-03-04,NEU
0.499766667,1987-10-29,CD,1987-12-08,4,1970-01-01,1987-12-04,NEU
0.499766667,1987-07-30,CD,1987-09-08,4,1970-01-01,1987-09-04,NEU
0.499766667,1987-04-30,CD,1987-06-09,4,1970-01-01,1987-06-05,NEU
0.499766667,1987-01-29,CD,1987-03-10,4,1970-01-01,1987-03-06,NEU
0.4747783335,1986-10-30,CD,1986-12-09,4,1970-01-01,1986-12-05,NEU
0.3998133335,1986-07-31,CD,1986-09-09,4,1970-01-01,1986-09-05,NEU
0.3998133335,1986-05-01,CD,1986-06-10,4,1970-01-01,1986-06-06,NEU
0.3998133335,1986-01-29,CD,1986-03-10,4,1970-01-01,1986-03-06,NEU
