cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.475,2022-06-15,CD,2022-06-29,4,2022-07-15,2022-06-30,NFG
0.455,2022-03-10,CD,2022-03-30,4,2022-04-15,2022-03-31,NFG
0.455,2021-12-03,CD,2021-12-30,4,2022-01-14,2021-12-31,NFG
0.455,2021-09-17,CD,2021-09-29,4,2021-10-15,2021-09-30,NFG
0.455,2021-06-17,CD,2021-06-29,4,2021-07-15,2021-06-30,NFG
0.445,2021-03-13,CD,2021-03-30,4,2021-04-15,2021-03-31,NFG
0.445,2020-12-11,CD,2020-12-30,4,2021-01-15,2020-12-31,NFG
0.445,2020-09-10,CD,2020-09-29,4,2020-10-15,2020-09-30,NFG
0.445,2020-06-12,CD,2020-06-29,4,2020-07-15,2020-06-30,NFG
0.435,2020-03-11,CD,2020-03-30,4,2020-04-15,2020-03-31,NFG
0.435,2019-12-10,CD,2019-12-30,4,2020-01-15,2019-12-31,NFG
0.435,2019-09-12,CD,2019-09-27,4,2019-10-15,2019-09-30,NFG
0.435,2019-06-13,CD,2019-06-27,4,2019-07-15,2019-06-28,NFG
0.425,2019-03-07,CD,2019-03-28,4,2019-04-15,2019-03-29,NFG
0.425,2018-12-05,CD,2018-12-28,4,2019-01-15,2018-12-31,NFG
0.425,2018-09-13,CD,2018-09-27,4,2018-10-15,2018-09-28,NFG
0.425,2018-06-14,CD,2018-06-28,4,2018-07-13,2018-06-29,NFG
0.415,2018-03-08,CD,2018-03-28,4,2018-04-13,2018-03-29,NFG
0.415,2017-12-07,CD,2017-12-28,4,2018-01-12,2017-12-29,NFG
0.415,2017-09-14,CD,2017-09-28,4,2017-10-13,2017-09-29,NFG
0.415,2017-06-16,CD,2017-06-28,4,2017-07-14,2017-06-30,NFG
0.405,2017-03-09,CD,2017-03-29,4,2017-04-14,2017-03-31,NFG
0.405,2016-12-08,CD,2016-12-28,4,2017-01-13,2016-12-30,NFG
0.405,2016-09-16,CD,2016-09-28,4,2016-10-14,2016-09-30,NFG
0.405,2016-06-09,CD,2016-06-28,4,2016-07-15,2016-06-30,NFG
0.395,2016-03-10,CD,2016-03-29,4,2016-04-15,2016-03-31,NFG
0.395,2015-12-08,CD,2015-12-29,4,2016-01-15,2015-12-31,NFG
0.395,2015-09-18,CD,2015-09-28,4,2015-10-15,2015-09-30,NFG
0.395,2015-06-11,CD,2015-06-26,4,2015-07-15,2015-06-30,NFG
0.385,2015-03-12,CD,2015-03-27,4,2015-04-15,2015-03-31,NFG
0.385,2014-12-09,CD,2014-12-29,4,2015-01-15,2014-12-31,NFG
0.385,2014-09-11,CD,2014-09-26,4,2014-10-15,2014-09-30,NFG
0.385,2014-06-12,CD,2014-06-26,4,2014-07-15,2014-06-30,NFG
0.375,2014-03-13,CD,2014-03-27,4,2014-04-15,2014-03-31,NFG
0.375,2013-12-10,CD,2013-12-27,4,2014-01-15,2013-12-31,NFG
0.375,2013-09-12,CD,2013-09-26,4,2013-10-15,2013-09-30,NFG
0.375,2013-06-13,CD,2013-06-26,4,2013-07-15,2013-06-28,NFG
0.365,2013-03-07,CD,2013-03-26,4,2013-04-15,2013-03-28,NFG
0.365,2012-12-06,CD,2012-12-13,4,2012-12-28,2012-12-17,NFG
0.365,2012-09-14,CD,2012-09-26,4,2012-10-15,2012-09-28,NFG
0.365,2012-06-08,CD,2012-06-27,4,2012-07-13,2012-06-29,NFG
0.355,2012-03-09,CD,2012-03-28,4,2012-04-13,2012-03-30,NFG
0.355,2011-12-09,CD,2011-12-28,4,2012-01-13,2011-12-31,NFG
0.355,2011-09-14,CD,2011-09-28,4,2011-10-14,2011-09-30,NFG
0.355,2011-06-10,CD,2011-06-28,4,2011-07-15,2011-06-30,NFG
0.345,2011-03-11,CD,2011-03-29,4,2011-04-15,2011-03-31,NFG
0.345,2010-12-10,CD,2010-12-29,4,2011-01-14,2010-12-31,NFG
0.345,2010-09-15,CD,2010-09-28,4,2010-10-15,2010-09-30,NFG
0.345,2010-06-11,CD,2010-06-28,4,2010-07-15,2010-06-30,NFG
0.335,2010-03-15,CD,2010-03-29,4,2010-04-15,2010-03-31,NFG
0.335,2009-12-11,CD,2009-12-29,4,2010-01-15,2009-12-31,NFG
0.335,2009-09-18,CD,2009-09-28,4,2009-10-15,2009-09-30,NFG
0.335,2009-06-12,CD,2009-06-26,4,2009-07-15,2009-06-30,NFG
0.325,2009-03-13,CD,2009-03-27,4,2009-04-15,2009-03-31,NFG
0.325,2008-12-04,CD,2008-12-29,4,2009-01-15,2008-12-31,NFG
0.325,2008-09-25,CD,2008-09-26,4,2008-10-15,2008-09-30,NFG
0.325,2008-06-12,CD,2008-06-26,4,2008-07-15,2008-06-30,NFG
0.31,2008-02-21,CD,2008-03-27,4,2008-04-15,2008-03-31,NFG
0.31,2007-12-06,CD,2007-12-27,4,2008-01-15,2007-12-31,NFG
0.31,2007-09-20,CD,2007-09-26,4,2007-10-15,2007-09-28,NFG
0.31,2007-06-07,CD,2007-06-27,4,2007-07-16,2007-06-29,NFG
0.3,2007-02-14,CD,2007-03-28,4,2007-04-16,2007-03-30,NFG
0.3,2006-12-07,CD,2006-12-27,4,2007-01-16,2006-12-29,NFG
0.3,2006-09-12,CD,2006-09-27,4,2006-10-16,2006-09-29,NFG
0.3,2006-06-08,CD,2006-06-28,4,2006-07-17,2006-06-30,NFG
0.29,2006-02-16,CD,2006-03-29,4,2006-04-15,2006-03-31,NFG
0.29,2005-12-09,CD,2005-12-28,4,2006-01-13,2005-12-30,NFG
0.29,2005-09-08,CD,2005-09-28,4,2005-10-15,2005-09-30,NFG
0.29,2005-06-06,CD,2005-06-28,4,2005-07-15,2005-06-30,NFG
0.28,2005-03-10,CD,2005-03-29,4,2005-04-15,2005-03-31,NFG
0.28,2004-12-13,CD,2004-12-29,4,2005-01-15,2004-12-31,NFG
0.28,2004-09-09,CD,2004-09-28,4,2004-10-15,2004-09-30,NFG
0.28,2004-06-14,CD,2004-06-28,4,2004-07-15,2004-06-30,NFG
0.27,2004-03-11,CD,2004-03-29,4,2004-04-15,2004-03-31,NFG
0.27,2003-12-11,CD,2003-12-29,4,2004-01-15,2003-12-31,NFG
0.27,2003-09-11,CD,2003-09-26,4,2003-10-15,2003-09-30,NFG
0.27,2003-06-05,CD,2003-06-26,4,2003-07-15,2003-06-30,NFG
0.26,2003-03-17,CD,2003-03-27,4,2003-04-15,2003-03-31,NFG
0.26,2002-12-12,CD,2002-12-27,4,2003-01-15,2002-12-31,NFG
0.26,2002-09-12,CD,2002-09-26,4,2002-10-15,2002-09-30,NFG
0.26,2002-06-13,CD,2002-06-26,4,2002-07-15,2002-06-28,NFG
0.2525,2002-03-14,CD,2002-03-26,4,2002-04-15,2002-03-29,NFG
0.2525,2001-12-14,CD,2001-12-27,4,2002-01-15,2001-12-31,NFG
0.2525,2001-09-13,CD,2001-09-26,4,2001-10-15,2001-09-28,NFG
0.2525,2001-06-14,CD,2001-06-27,4,2001-07-16,2001-06-29,NFG
0.24,2001-03-15,CD,2001-03-28,4,2001-04-16,2001-03-30,NFG
0.24,2000-12-07,CD,2000-12-27,4,2001-01-15,2000-12-29,NFG
0.24,2000-09-14,CD,2000-09-27,4,2000-10-13,2000-09-30,NFG
0.24,2000-06-15,CD,2000-06-28,4,2000-07-15,2000-06-30,NFG
0.2325,2000-02-17,CD,2000-03-29,4,2000-04-15,2000-03-31,NFG
0.2325,1999-12-09,CD,1999-12-29,4,2000-01-14,1999-12-31,NFG
0.2325,1999-09-16,CD,1999-09-28,4,1999-10-15,1999-09-30,NFG
0.2325,1999-06-17,CD,1999-06-28,4,1999-07-15,1999-06-30,NFG
0.225,1999-02-18,CD,1999-03-29,4,1999-04-15,1999-03-31,NFG
0.225,1998-12-11,CD,1998-12-29,4,1999-01-15,1998-12-31,NFG
0.225,1998-09-08,CD,1998-09-28,4,1998-10-15,1998-09-30,NFG
0.225,1998-06-18,CD,1998-06-26,4,1998-07-15,1998-06-30,NFG
