cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.3625,2022-07-12,CD,2022-09-23,4,2022-10-03,2022-09-26,NJR
0.3625,2022-04-19,CD,2022-06-14,4,2022-07-01,2022-06-15,NJR
0.3625,2022-01-26,CD,2022-03-15,4,2022-04-01,2022-03-16,NJR
0.3625,2021-11-10,CD,2021-12-14,4,2022-01-03,2021-12-15,NJR
0.3625,2021-07-14,CD,2021-09-17,4,2021-10-01,2021-09-20,NJR
0.3325,2021-04-21,CD,2021-06-15,4,2021-07-01,2021-06-16,NJR
0.3325,2021-01-19,CD,2021-03-16,4,2021-04-01,2021-03-17,NJR
0.3325,2020-11-11,CD,2020-12-15,4,2021-01-04,2020-12-16,NJR
0.3325,2020-07-14,CD,2020-09-21,4,2020-10-01,2020-09-22,NJR
0.3125,2020-05-05,CD,2020-06-15,4,2020-07-01,2020-06-16,NJR
0.3125,2020-01-21,CD,2020-03-16,4,2020-04-01,2020-03-17,NJR
0.3125,2019-11-12,CD,2019-12-18,4,2020-01-02,2019-12-19,NJR
0.3125,2019-07-09,CD,2019-09-19,4,2019-10-01,2019-09-20,NJR
0.2925,2019-05-07,CD,2019-06-14,4,2019-07-01,2019-06-17,NJR
0.2925,2019-01-22,CD,2019-03-14,4,2019-04-01,2019-03-15,NJR
0.2925,2018-11-13,CD,2018-12-13,4,2019-01-02,2018-12-14,NJR
0.2925,2018-07-10,CD,2018-09-20,4,2018-10-01,2018-09-21,NJR
0.2725,2018-05-10,CD,2018-06-14,4,2018-07-02,2018-06-15,NJR
0.2725,2018-01-23,CD,2018-03-14,4,2018-04-02,2018-03-15,NJR
0.2725,2017-11-14,CD,2017-12-14,4,2018-01-02,2017-12-15,NJR
0.2725,2017-07-11,CD,2017-09-21,4,2017-10-02,2017-09-22,NJR
0.255,2017-05-11,CD,2017-06-13,4,2017-07-03,2017-06-15,NJR
0.255,2017-01-24,CD,2017-03-13,4,2017-04-03,2017-03-15,NJR
0.255,2016-11-16,CD,2016-12-13,4,2017-01-03,2016-12-15,NJR
0.255,2016-09-13,CD,2016-09-21,4,2016-10-03,2016-09-23,NJR
0.24,2016-05-11,CD,2016-06-13,4,2016-07-01,2016-06-15,NJR
0.24,2016-01-05,CD,2016-03-11,4,2016-04-01,2016-03-15,NJR
0.24,2015-11-11,CD,2015-12-11,4,2016-01-04,2015-12-15,NJR
0.24,2015-09-01,CD,2015-09-11,4,2015-10-01,2015-09-15,NJR
