cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.28,2022-07-27,CD,2022-08-30,4,2022-09-14,2022-08-31,NPO
0.28,2022-04-29,CD,2022-05-31,4,2022-06-15,2022-06-01,NPO
0.28,2022-02-16,CD,2022-03-01,4,2022-03-16,2022-03-02,NPO
0.27,2021-11-05,CD,2021-11-30,4,2021-12-15,2021-12-01,NPO
0.27,2021-07-27,CD,2021-08-31,4,2021-09-15,2021-09-01,NPO
0.27,2021-05-04,CD,2021-06-01,4,2021-06-16,2021-06-02,NPO
0.27,2021-02-18,CD,2021-03-02,4,2021-03-17,2021-03-03,NPO
0.26,2020-10-29,CD,2020-12-01,4,2020-12-16,2020-12-02,NPO
0.26,2020-07-29,CD,2020-09-01,4,2020-09-16,2020-09-02,NPO
0.26,2020-04-29,CD,2020-06-02,4,2020-06-17,2020-06-03,NPO
0.26,2020-02-19,CD,2020-03-03,4,2020-03-18,2020-03-04,NPO
0.25,2019-10-30,CD,2019-12-03,4,2019-12-18,2019-12-04,NPO
0.25,2019-07-26,CD,2019-09-03,4,2019-09-18,2019-09-04,NPO
0.25,2019-04-30,CD,2019-06-04,4,2019-06-19,2019-06-05,NPO
0.25,2019-02-13,CD,2019-03-05,4,2019-03-20,2019-03-06,NPO
0.24,2018-10-31,CD,2018-12-04,4,2018-12-19,2018-12-05,NPO
0.24,2018-07-31,CD,2018-09-04,4,2018-09-19,2018-09-05,NPO
0.24,2018-05-01,CD,2018-06-05,4,2018-06-20,2018-06-06,NPO
0.24,2018-02-13,CD,2018-03-06,4,2018-03-21,2018-03-07,NPO
0.22,2017-10-26,CD,2017-12-05,4,2017-12-20,2017-12-06,NPO
0.22,2017-07-26,CD,2017-09-01,4,2017-09-20,2017-09-06,NPO
0.22,2017-04-26,CD,2017-05-30,4,2017-06-15,2017-06-01,NPO
0.22,2017-02-15,CD,2017-02-27,4,2017-03-15,2017-03-01,NPO
0.21,2016-11-02,CD,2016-11-29,4,2016-12-15,2016-12-01,NPO
0.21,2016-08-08,CD,2016-08-30,4,2016-09-15,2016-09-01,NPO
0.21,2016-05-04,CD,2016-05-27,4,2016-06-15,2016-06-01,NPO
0.21,2016-02-24,CD,2016-03-07,4,2016-03-23,2016-03-09,NPO
0.2,2015-10-29,CD,2015-11-25,4,2015-12-14,2015-11-30,NPO
0.2,2015-07-29,CD,2015-08-27,4,2015-09-14,2015-08-31,NPO
0.2,2015-04-30,CD,2015-05-28,4,2015-06-15,2015-06-01,NPO
0.2,2015-01-13,CD,2015-02-26,4,2015-03-16,2015-03-02,NPO
