cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.7,2022-07-14,CD,2022-09-20,4,2022-10-12,2022-09-21,OMC
0.7,2022-05-03,CD,2022-06-09,4,2022-07-08,2022-06-10,OMC
0.7,2022-02-15,CD,2022-03-09,4,2022-04-08,2022-03-10,OMC
0.7,2021-12-02,CD,2021-12-20,4,2022-01-11,2021-12-21,OMC
0.7,2021-07-21,CD,2021-09-20,4,2021-10-12,2021-09-21,OMC
0.7,2021-05-06,CD,2021-06-10,4,2021-07-09,2021-06-11,OMC
0.7,2021-02-18,CD,2021-03-09,4,2021-04-08,2021-03-10,OMC
0.65,2020-12-08,CD,2020-12-18,4,2021-01-11,2020-12-21,OMC
0.65,2020-07-30,CD,2020-09-18,4,2020-10-12,2020-09-21,OMC
0.65,2020-05-28,CD,2020-06-11,4,2020-07-10,2020-06-12,OMC
0.65,2020-02-11,CD,2020-03-09,4,2020-04-08,2020-03-10,OMC
0.65,2019-12-10,CD,2019-12-19,4,2020-01-09,2019-12-20,OMC
0.65,2019-07-15,CD,2019-09-19,4,2019-10-10,2019-09-20,OMC
0.65,2019-05-20,CD,2019-06-13,4,2019-07-12,2019-06-14,OMC
0.65,2019-02-11,CD,2019-03-08,4,2019-04-09,2019-03-11,OMC
0.6,2018-12-11,CD,2018-12-20,4,2019-01-09,2018-12-21,OMC
0.6,2018-07-19,CD,2018-09-20,4,2018-10-10,2018-09-21,OMC
0.6,2018-04-23,CD,2018-06-13,4,2018-07-12,2018-06-14,OMC
0.6,2018-02-16,CD,2018-03-08,4,2018-04-09,2018-03-09,OMC
0.6,2017-12-05,CD,2017-12-18,4,2018-01-09,2017-12-19,OMC
0.55,2017-07-13,CD,2017-09-21,4,2017-10-10,2017-09-22,OMC
0.55,2017-05-25,CD,2017-06-12,4,2017-07-12,2017-06-14,OMC
0.55,2017-02-02,CD,2017-03-07,4,2017-04-07,2017-03-09,OMC
0.55,2016-12-08,CD,2016-12-15,4,2017-01-09,2016-12-19,OMC
0.55,2016-07-14,CD,2016-09-20,4,2016-10-10,2016-09-22,OMC
0.55,2016-05-25,CD,2016-06-09,4,2016-07-11,2016-06-13,OMC
0.5,2016-02-02,CD,2016-03-07,4,2016-04-07,2016-03-09,OMC
0.5,2015-12-03,CD,2015-12-16,4,2016-01-07,2015-12-18,OMC
0.5,2015-07-16,CD,2015-09-18,4,2015-10-08,2015-09-22,OMC
0.5,2015-05-18,CD,2015-06-10,4,2015-07-10,2015-06-12,OMC
0.5,2015-02-10,CD,2015-03-05,4,2015-04-07,2015-03-09,OMC
0.5,2014-12-08,CD,2014-12-19,4,2015-01-07,2014-12-23,OMC
0.5,2014-07-18,CD,2014-09-19,4,2014-10-08,2014-09-23,OMC
0.5,2014-05-21,CD,2014-06-11,4,2014-07-10,2014-06-13,OMC
0.4,2014-02-06,CD,2014-02-28,4,2014-04-01,2014-03-04,OMC
0.4,2013-12-03,CD,2013-12-18,4,2014-01-16,2013-12-20,OMC
0.4,2013-07-18,CD,2013-09-20,4,2013-10-09,2013-09-24,OMC
0.4,2013-05-22,CD,2013-06-12,4,2013-07-11,2013-06-14,OMC
0.4,2013-02-12,CD,2013-03-01,4,2013-04-02,2013-03-05,OMC
0.3,2012-11-30,CD,2012-12-12,4,2012-12-31,2012-12-14,OMC
0.3,2012-07-20,CD,2012-09-20,4,2012-10-09,2012-09-24,OMC
0.3,2012-05-23,CD,2012-06-12,4,2012-07-11,2012-06-14,OMC
0.3,2012-02-10,CD,2012-03-01,4,2012-04-02,2012-03-05,OMC
0.25,2011-12-09,CD,2011-12-19,4,2012-01-09,2011-12-21,OMC
0.25,2011-07-22,CD,2011-09-21,4,2011-10-07,2011-09-23,OMC
0.25,2011-05-25,CD,2011-06-10,4,2011-07-11,2011-06-14,OMC
