cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.15,2022-07-29,CD,2022-08-11,4,2022-08-26,2022-08-12,OPY
0.15,2022-04-29,CD,2022-05-12,4,2022-05-27,2022-05-13,OPY
0.15,2022-01-28,CD,2022-02-10,4,2022-02-25,2022-02-11,OPY
1.0,2021-12-14,SC,2021-12-23,0,2021-12-31,2021-12-27,OPY
0.15,2021-10-29,CD,2021-11-10,4,2021-11-26,2021-11-12,OPY
0.15,2021-07-29,CD,2021-08-11,4,2021-08-26,2021-08-12,OPY
0.12,2021-04-30,CD,2021-05-13,4,2021-05-28,2021-05-14,OPY
0.12,2021-01-28,CD,2021-02-11,4,2021-02-26,2021-02-12,OPY
1.0,2020-12-09,SC,2020-12-22,0,2020-12-30,2020-12-23,OPY
0.12,2020-10-29,CD,2020-11-10,4,2020-11-26,2020-11-12,OPY
0.12,2020-07-30,CD,2020-08-12,4,2020-08-27,2020-08-13,OPY
0.12,2020-05-01,CD,2020-05-14,4,2020-05-29,2020-05-15,OPY
0.12,2020-01-31,CD,2020-02-13,4,2020-02-28,2020-02-14,OPY
0.12,2019-10-25,CD,2019-11-07,4,2019-11-22,2019-11-08,OPY
0.12,2019-07-26,CD,2019-08-08,4,2019-08-23,2019-08-09,OPY
0.11,2019-04-26,CD,2019-05-09,4,2019-05-24,2019-05-10,OPY
0.11,2019-02-04,CD,2019-02-14,4,2019-02-28,2019-02-15,OPY
0.11,2018-10-26,CD,2018-11-08,4,2018-11-23,2018-11-09,OPY
0.11,2018-07-28,CD,2018-08-09,4,2018-08-24,2018-08-10,OPY
0.11,2018-04-27,CD,2018-05-10,4,2018-05-25,2018-05-11,OPY
0.11,2018-02-01,CD,2018-02-09,4,2018-02-26,2018-02-12,OPY
0.11,2017-10-27,CD,2017-11-09,4,2017-11-24,2017-11-10,OPY
0.11,2017-07-28,CD,2017-08-09,4,2017-08-25,2017-08-11,OPY
0.11,2017-04-28,CD,2017-05-10,4,2017-05-26,2017-05-12,OPY
0.11,2017-01-27,CD,2017-02-08,4,2017-02-24,2017-02-10,OPY
0.11,2016-10-28,CD,2016-11-08,4,2016-11-25,2016-11-11,OPY
0.11,2016-07-29,CD,2016-08-10,4,2016-08-26,2016-08-12,OPY
0.11,2016-04-29,CD,2016-05-11,4,2016-05-27,2016-05-13,OPY
0.11,2016-01-29,CD,2016-02-10,4,2016-02-26,2016-02-12,OPY
0.11,2015-10-30,CD,2015-11-10,4,2015-11-27,2015-11-13,OPY
0.11,2015-07-30,CD,2015-08-12,4,2015-08-28,2015-08-14,OPY
0.11,2015-04-30,CD,2015-05-13,4,2015-05-29,2015-05-15,OPY
0.11,2015-01-29,CD,2015-02-11,4,2015-02-27,2015-02-13,OPY
0.11,2014-10-31,CD,2014-11-12,4,2014-11-28,2014-11-14,OPY
0.11,2014-08-01,CD,2014-08-13,4,2014-08-29,2014-08-15,OPY
0.11,2014-05-01,CD,2014-05-13,4,2014-05-27,2014-05-15,OPY
0.11,2014-01-31,CD,2014-02-12,4,2014-02-28,2014-02-14,OPY
0.11,2013-10-25,CD,2013-11-06,4,2013-11-22,2013-11-08,OPY
0.11,2013-07-26,CD,2013-08-07,4,2013-08-23,2013-08-09,OPY
0.11,2013-04-26,CD,2013-05-08,4,2013-05-24,2013-05-10,OPY
0.11,2013-01-24,CD,2013-02-06,4,2013-02-22,2013-02-08,OPY
0.11,2012-10-25,CD,2012-11-07,4,2012-11-23,2012-11-09,OPY
0.11,2012-07-27,CD,2012-08-08,4,2012-08-24,2012-08-10,OPY
0.11,2012-04-27,CD,2012-05-09,4,2012-05-25,2012-05-11,OPY
0.11,2012-01-30,CD,2012-02-08,4,2012-02-24,2012-02-10,OPY
0.11,2011-10-28,CD,2011-11-08,4,2011-11-25,2011-11-11,OPY
0.11,2011-08-01,CD,2011-08-10,4,2011-08-26,2011-08-12,OPY
0.11,2011-04-30,CD,2011-05-11,4,2011-05-27,2011-05-13,OPY
0.11,2011-01-28,CD,2011-02-09,4,2011-02-25,2011-02-11,OPY
0.11,2010-10-30,CD,2010-11-09,4,2010-11-26,2010-11-12,OPY
0.11,2010-07-31,CD,2010-08-11,4,2010-08-27,2010-08-13,OPY
0.11,2010-05-03,CD,2010-05-12,4,2010-05-28,2010-05-14,OPY
0.11,2010-01-29,CD,2010-02-10,4,2010-02-26,2010-02-12,OPY
0.11,2009-11-03,CD,2009-11-10,4,2009-11-27,2009-11-13,OPY
0.11,2009-07-23,CD,2009-08-12,4,2009-08-28,2009-08-14,OPY
0.11,2009-06-20,CD,2009-05-13,4,2009-05-29,2009-05-15,OPY
0.11,2009-01-30,CD,2009-02-11,4,2009-02-27,2009-02-13,OPY
0.11,2008-11-03,CD,2008-11-12,4,2008-11-28,2008-11-14,OPY
0.11,2008-07-31,CD,2008-08-13,4,2008-08-29,2008-08-15,OPY
0.11,2008-04-30,CD,2008-05-14,4,2008-05-30,2008-05-16,OPY
0.11,2008-01-30,CD,2008-02-13,4,2008-02-29,2008-02-15,OPY
0.11,2007-10-26,CD,2007-11-07,4,2007-11-23,2007-11-09,OPY
0.11,2007-07-27,CD,2007-08-08,4,2007-08-24,2007-08-10,OPY
