cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.3,2020-02-13,CD,2020-02-24,4,2020-03-17,2020-02-25,PBF
0.3,2019-10-31,CD,2019-11-13,4,2019-11-26,2019-11-14,PBF
0.3,2019-08-01,CD,2019-08-14,4,2019-08-30,2019-08-15,PBF
0.3,2019-05-01,CD,2019-05-14,4,2019-05-30,2019-05-15,PBF
0.3,2019-02-14,CD,2019-02-27,4,2019-03-14,2019-02-28,PBF
0.3,2018-10-31,CD,2018-11-14,4,2018-11-30,2018-11-15,PBF
0.3,2018-08-02,CD,2018-08-14,4,2018-08-30,2018-08-15,PBF
0.3,2018-05-04,CD,2018-05-14,4,2018-05-30,2018-05-15,PBF
0.3,2018-02-16,CD,2018-02-27,4,2018-03-14,2018-02-28,PBF
0.3,2017-11-02,CD,2017-11-10,4,2017-11-29,2017-11-13,PBF
0.3,2017-08-03,CD,2017-08-11,4,2017-08-31,2017-08-15,PBF
0.3,2017-05-04,CD,2017-05-12,4,2017-05-31,2017-05-16,PBF
0.3,2017-02-15,CD,2017-02-23,4,2017-03-13,2017-02-27,PBF
0.3,2016-10-28,CD,2016-11-04,4,2016-11-22,2016-11-08,PBF
0.3,2016-07-29,CD,2016-08-05,4,2016-08-23,2016-08-09,PBF
0.3,2016-04-28,CD,2016-05-11,4,2016-05-31,2016-05-13,PBF
0.3,2016-02-11,CD,2016-02-18,4,2016-03-08,2016-02-22,PBF
0.3,2015-10-29,CD,2015-11-05,4,2015-11-24,2015-11-09,PBF
0.3,2015-07-30,CD,2015-08-06,4,2015-08-25,2015-08-10,PBF
0.3,2015-04-29,CD,2015-05-07,4,2015-05-27,2015-05-11,PBF
0.3,2015-02-12,CD,2015-02-19,4,2015-03-10,2015-02-23,PBF
0.3,2014-10-30,CD,2014-11-06,4,2014-11-25,2014-11-10,PBF
0.3,2014-08-01,CD,2014-08-07,4,2014-08-27,2014-08-11,PBF
0.3,2014-04-30,CD,2014-05-08,4,2014-05-29,2014-05-12,PBF
0.3,2014-02-12,CD,2014-02-28,4,2014-03-14,2014-03-04,PBF
0.3,2013-10-31,CD,2013-11-13,4,2013-11-21,2013-11-15,PBF
0.3,2013-08-01,CD,2013-08-08,4,2013-08-21,2013-08-12,PBF
0.3,2013-05-02,CD,2013-05-17,4,2013-06-07,2013-05-21,PBF
0.3,2013-02-21,CD,2013-03-01,4,2013-03-15,2013-03-05,PBF
