cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.163979,2022-07-19,CD,2022-07-28,12,2022-08-12,2022-07-29,PBT
0.091662,2022-06-17,CD,2022-06-29,12,2022-07-15,2022-06-30,PBT
0.03444,2022-05-20,CD,2022-05-27,12,2022-06-14,2022-05-31,PBT
0.03178,2022-04-19,CD,2022-04-28,12,2022-05-13,2022-04-29,PBT
0.01933,2022-03-21,CD,2022-03-30,12,2022-04-14,2022-03-31,PBT
0.02916,2022-02-17,CD,2022-02-25,12,2022-03-14,2022-02-28,PBT
0.031614,2022-01-21,CD,2022-01-28,12,2022-02-14,2022-01-31,PBT
0.02462,2021-12-20,CD,2021-12-30,12,2022-01-14,2021-12-31,PBT
0.022527,2021-11-19,CD,2021-11-29,12,2021-12-14,2021-11-30,PBT
0.02235,2021-10-19,CD,2021-10-28,12,2021-11-15,2021-10-29,PBT
0.02311,2021-09-20,CD,2021-09-29,12,2021-10-15,2021-09-30,PBT
0.01955,2021-08-20,CD,2021-08-30,12,2021-09-15,2021-08-31,PBT
0.02135,2021-07-19,CD,2021-07-29,12,2021-08-13,2021-07-30,PBT
0.01763,2021-06-18,CD,2021-06-29,12,2021-07-15,2021-06-30,PBT
0.021243,2021-05-18,CD,2021-05-27,12,2021-06-14,2021-05-28,PBT
0.018156,2021-04-20,CD,2021-04-29,12,2021-05-14,2021-04-30,PBT
0.011525,2021-03-19,CD,2021-03-30,12,2021-04-14,2021-03-31,PBT
0.016492,2021-02-16,CD,2021-02-25,12,2021-03-12,2021-02-26,PBT
0.011453,2021-01-19,CD,2021-01-28,12,2021-02-12,2021-01-29,PBT
0.013413,2020-12-22,CD,2020-12-30,12,2021-01-14,2020-12-31,PBT
0.01356,2020-11-21,CD,2020-11-27,12,2020-12-14,2020-11-30,PBT
0.01262,2020-10-20,CD,2020-10-29,12,2020-11-16,2020-10-30,PBT
0.01235,2020-09-18,CD,2020-09-29,12,2020-10-15,2020-09-30,PBT
0.00886,2020-08-21,CD,2020-08-28,12,2020-09-15,2020-08-31,PBT
0.005702,2020-07-21,CD,2020-07-30,12,2020-08-14,2020-07-31,PBT
0.00181,2020-06-19,CD,2020-06-29,12,2020-07-14,2020-06-30,PBT
0.016499,2020-05-18,CD,2020-05-28,12,2020-06-12,2020-05-29,PBT
0.023048,2020-04-20,CD,2020-04-29,12,2020-05-14,2020-04-30,PBT
0.033837,2020-03-20,CD,2020-03-30,12,2020-04-14,2020-03-31,PBT
0.050278,2020-02-18,CD,2020-02-27,12,2020-03-13,2020-02-28,PBT
0.04311,2020-01-21,CD,2020-01-30,12,2020-02-14,2020-01-31,PBT
0.03888,2019-12-20,CD,2019-12-30,12,2020-01-15,2019-12-31,PBT
0.03898,2019-11-18,CD,2019-11-27,12,2019-12-13,2019-11-29,PBT
0.027711,2019-10-21,CD,2019-10-30,12,2019-11-15,2019-10-31,PBT
0.040012,2019-09-20,CD,2019-09-27,12,2019-10-15,2019-09-30,PBT
0.04338,2019-08-20,CD,2019-08-29,12,2019-09-16,2019-08-30,PBT
0.04422,2019-07-19,CD,2019-07-30,12,2019-08-14,2019-07-31,PBT
0.0397,2019-06-18,CD,2019-06-27,12,2019-07-15,2019-06-28,PBT
0.035276,2019-05-20,CD,2019-05-30,12,2019-06-14,2019-05-31,PBT
0.0176,2019-04-19,CD,2019-04-29,12,2019-05-14,2019-04-30,PBT
0.025642,2019-03-19,CD,2019-03-28,12,2019-04-12,2019-03-29,PBT
