cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.64,2022-07-28,CD,2022-08-31,4,2022-09-15,2022-09-01,PII
0.64,2022-04-28,CD,2022-05-31,4,2022-06-15,2022-06-01,PII
0.64,2022-01-27,CD,2022-02-28,4,2022-03-15,2022-03-01,PII
0.63,2021-10-28,CD,2021-11-30,4,2021-12-15,2021-12-01,PII
0.63,2021-07-29,CD,2021-08-31,4,2021-09-15,2021-09-01,PII
0.63,2021-04-29,CD,2021-05-28,4,2021-06-15,2021-06-01,PII
0.63,2021-01-28,CD,2021-02-26,4,2021-03-15,2021-03-01,PII
0.62,2020-10-29,CD,2020-11-30,4,2020-12-15,2020-12-01,PII
0.62,2020-07-30,CD,2020-08-31,4,2020-09-15,2020-09-01,PII
0.62,2020-05-26,CD,2020-06-04,4,2020-06-15,2020-06-05,PII
0.62,2020-01-31,CD,2020-02-28,4,2020-03-16,2020-03-02,PII
0.61,2019-10-24,CD,2019-11-29,4,2019-12-16,2019-12-02,PII
0.61,2019-07-24,CD,2019-08-30,4,2019-09-16,2019-09-03,PII
0.61,2019-04-25,CD,2019-05-31,4,2019-06-17,2019-06-03,PII
0.61,2019-01-31,CD,2019-02-28,4,2019-03-15,2019-03-01,PII
0.6,2018-10-24,CD,2018-11-30,4,2018-12-17,2018-12-03,PII
0.6,2018-07-26,CD,2018-08-30,4,2018-09-17,2018-08-31,PII
0.6,2018-04-26,CD,2018-05-31,4,2018-06-15,2018-06-01,PII
0.6,2018-02-02,CD,2018-02-28,4,2018-03-15,2018-03-01,PII
0.58,2017-10-25,CD,2017-11-30,4,2017-12-15,2017-12-01,PII
0.58,2017-07-26,CD,2017-08-30,4,2017-09-15,2017-09-01,PII
0.58,2017-05-02,CD,2017-05-30,4,2017-06-15,2017-06-01,PII
0.58,2017-01-26,CD,2017-02-27,4,2017-03-15,2017-03-01,PII
0.55,2016-10-27,CD,2016-11-29,4,2016-12-15,2016-12-01,PII
0.55,2016-07-20,CD,2016-08-30,4,2016-09-15,2016-09-01,PII
0.55,2016-04-28,CD,2016-05-27,4,2016-06-15,2016-06-01,PII
0.55,2016-01-28,CD,2016-02-26,4,2016-03-15,2016-03-01,PII
0.53,2015-10-23,CD,2015-11-27,4,2015-12-15,2015-12-01,PII
0.53,2015-07-22,CD,2015-08-28,4,2015-09-15,2015-09-01,PII
0.53,2015-05-01,CD,2015-05-28,4,2015-06-15,2015-06-01,PII
0.53,2015-01-30,CD,2015-02-26,4,2015-03-16,2015-03-02,PII
0.48,2014-10-24,CD,2014-11-26,4,2014-12-15,2014-12-01,PII
0.48,2014-07-24,CD,2014-08-28,4,2014-09-15,2014-09-02,PII
0.48,2014-04-24,CD,2014-05-29,4,2014-06-16,2014-06-02,PII
0.48,2014-01-30,CD,2014-02-27,4,2014-03-17,2014-03-03,PII
0.42,2013-10-24,CD,2013-11-27,4,2013-12-16,2013-12-02,PII
0.42,2013-07-25,CD,2013-08-29,4,2013-09-16,2013-09-03,PII
0.42,2013-04-25,CD,2013-05-30,4,2013-06-17,2013-06-03,PII
0.42,2013-01-31,CD,2013-02-27,4,2013-03-15,2013-03-01,PII
0.37,2012-10-25,CD,2012-11-28,4,2012-12-17,2012-11-30,PII
0.37,2012-07-27,CD,2012-08-29,4,2012-09-17,2012-08-31,PII
0.37,2012-04-28,CD,2012-05-30,4,2012-06-15,2012-06-01,PII
0.37,2012-02-03,CD,2012-02-28,4,2012-03-15,2012-03-01,PII
0.225,2011-10-21,CD,2011-10-28,4,2011-11-15,2011-11-01,PII
0.225,2011-07-21,CD,2011-07-28,4,2011-08-15,2011-08-01,PII
0.225,2011-04-22,CD,2011-04-28,4,2011-05-16,2011-05-02,PII
0.225,2011-01-21,CD,2011-01-28,4,2011-02-15,2011-02-01,PII
0.2,2010-10-22,CD,2010-10-28,4,2010-11-15,2010-11-01,PII
0.2,2010-07-23,CD,2010-07-29,4,2010-08-16,2010-08-02,PII
0.2,2010-04-22,CD,2010-04-29,4,2010-05-17,2010-05-03,PII
0.2,2010-01-22,CD,2010-01-28,4,2010-02-16,2010-02-01,PII
0.195,2009-10-23,CD,2009-10-29,4,2009-11-16,2009-11-02,PII
0.195,2009-07-20,CD,2009-07-30,4,2009-08-17,2009-08-03,PII
0.195,2009-04-22,CD,2009-04-29,4,2009-05-15,2009-05-01,PII
0.195,2009-01-23,CD,2009-01-30,4,2009-02-17,2009-02-03,PII
0.19,2008-10-24,CD,2008-10-30,4,2008-11-17,2008-11-03,PII
0.19,2008-07-21,CD,2008-07-30,4,2008-08-15,2008-08-01,PII
0.19,2008-04-25,CD,2008-04-29,4,2008-05-15,2008-05-01,PII
0.19,2008-01-24,CD,2008-01-30,4,2008-02-15,2008-02-01,PII
0.17,2007-10-25,CD,2007-10-30,4,2007-11-15,2007-11-01,PII
0.17,2007-07-26,CD,2007-07-30,4,2007-08-15,2007-08-01,PII
0.17,2007-04-19,CD,2007-04-27,4,2007-05-15,2007-05-01,PII
0.17,2007-01-18,CD,2007-01-30,4,2007-02-15,2007-02-01,PII
0.155,2006-10-19,CD,2006-10-30,4,2006-11-15,2006-11-01,PII
0.155,2006-07-19,CD,2006-07-28,4,2006-08-15,2006-08-01,PII
0.155,2006-04-20,CD,2006-04-27,4,2006-05-15,2006-05-01,PII
0.155,2006-01-20,CD,2006-01-30,4,2006-02-15,2006-02-01,PII
0.14,2005-10-21,CD,2005-10-28,4,2005-11-15,2005-11-01,PII
0.14,2005-07-21,CD,2005-07-28,4,2005-08-15,2005-08-01,PII
0.14,2005-04-22,CD,2005-04-28,4,2005-05-16,2005-05-02,PII
0.14,2005-01-21,CD,2005-01-28,4,2005-02-15,2005-02-01,PII
0.115,2004-10-21,CD,2004-10-28,4,2004-11-15,2004-11-01,PII
0.115,2004-07-23,CD,2004-07-29,4,2004-08-16,2004-08-02,PII
0.115,2004-03-18,CD,2004-04-29,4,2004-05-17,2004-05-03,PII
0.115,2004-04-22,CD,2004-01-29,4,2004-02-17,2004-02-02,PII
0.0775,2003-10-16,CD,2003-10-30,4,2003-11-17,2003-11-03,PII
0.0775,2003-07-17,CD,2003-07-30,4,2003-08-15,2003-08-01,PII
0.0775,2003-04-21,CD,2003-04-29,4,2003-05-15,2003-05-01,PII
0.0775,2003-01-23,CD,2003-01-29,4,2003-02-15,2003-02-01,PII
