cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.6,2022-07-29,CD,2022-08-25,4,2022-09-09,2022-08-26,PIPR
0.6,2022-04-29,CD,2022-05-26,4,2022-06-10,2022-05-27,PIPR
4.5,2022-02-10,SC,2022-03-01,0,2022-03-11,2022-03-02,PIPR
0.6,2022-02-10,CD,2022-03-01,4,2022-03-11,2022-03-02,PIPR
3.0,2021-10-29,SC,2021-11-22,0,2021-12-10,2021-11-23,PIPR
0.55,2021-10-29,CD,2021-11-22,4,2021-12-10,2021-11-23,PIPR
0.55,2021-07-30,CD,2021-08-26,4,2021-09-10,2021-08-27,PIPR
0.45,2021-04-30,CD,2021-05-27,4,2021-06-11,2021-05-28,PIPR
1.85,2021-02-09,SC,2021-03-02,0,2021-03-12,2021-03-03,PIPR
0.4,2021-02-09,CD,2021-03-02,4,2021-03-12,2021-03-03,PIPR
0.375,2020-10-30,CD,2020-11-23,4,2020-12-11,2020-11-24,PIPR
0.3,2020-07-31,CD,2020-08-27,4,2020-09-11,2020-08-28,PIPR
0.2,2020-05-01,CD,2020-05-28,4,2020-06-12,2020-05-29,PIPR
0.75,2020-01-31,SC,2020-02-28,0,2020-03-13,2020-03-02,PIPR
0.375,2020-01-31,CD,2020-02-28,4,2020-03-13,2020-03-02,PIPR
0.375,2019-10-30,CD,2019-11-21,4,2019-12-13,2019-11-22,PIPR
0.375,2019-07-26,CD,2019-08-22,4,2019-09-13,2019-08-23,PIPR
0.375,2019-04-26,CD,2019-05-23,4,2019-06-14,2019-05-24,PIPR
1.01,2019-02-01,SC,2019-02-22,0,2019-03-15,2019-02-25,PIPR
0.375,2019-02-01,CD,2019-02-22,4,2019-03-15,2019-02-25,PIPR
0.375,2018-10-26,CD,2018-11-27,4,2018-12-14,2018-11-28,PIPR
0.375,2018-07-27,CD,2018-08-23,4,2018-09-14,2018-08-24,PIPR
0.375,2018-04-27,CD,2018-05-24,4,2018-06-15,2018-05-25,PIPR
1.62,2018-02-01,SC,2018-02-23,0,2018-03-15,2018-02-26,PIPR
0.375,2018-02-01,CD,2018-02-23,4,2018-03-15,2018-02-26,PIPR
0.3125,2017-10-26,CD,2017-11-28,4,2017-12-15,2017-11-29,PIPR
0.3125,2017-07-28,CD,2017-08-24,4,2017-09-15,2017-08-28,PIPR
0.3125,2017-04-28,CD,2017-05-24,4,2017-06-15,2017-05-26,PIPR
0.3125,2017-02-01,CD,2017-02-16,4,2017-03-13,2017-02-20,PIPR
