cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.01,2022-06-15,CD,2022-06-29,4,2022-07-15,2022-06-30,PK
0.01,2022-03-09,CD,2022-03-30,4,2022-04-15,2022-03-31,PK
0.45,2020-02-21,CD,2020-03-30,4,2020-04-15,2020-03-31,PK
0.55,2019-12-09,CD,2019-12-30,4,2020-01-15,2019-12-31,PK
0.45,2019-07-26,CD,2019-09-27,4,2019-10-15,2019-09-30,PK
0.45,2019-05-07,CD,2019-06-27,4,2019-07-15,2019-06-28,PK
0.45,2019-02-22,CD,2019-03-28,4,2019-04-15,2019-03-29,PK
0.7,2018-12-12,CD,2018-12-28,4,2019-01-15,2018-12-31,PK
0.3,2018-12-12,SC,2018-12-28,0,2019-01-15,2018-12-31,PK
0.43,2018-08-02,CD,2018-09-27,4,2018-10-15,2018-09-28,PK
0.45,2018-05-18,SC,2018-06-28,0,2018-07-16,2018-06-29,PK
0.43,2018-05-04,CD,2018-06-28,4,2018-07-16,2018-06-29,PK
0.43,2018-02-23,CD,2018-03-28,4,2018-04-16,2018-03-30,PK
0.55,2017-12-13,CD,2017-12-28,4,2018-01-16,2017-12-29,PK
0.43,2017-08-02,CD,2017-09-28,4,2017-10-16,2017-09-29,PK
0.43,2017-05-05,CD,2017-06-28,4,2017-07-17,2017-06-30,PK
0.43,2017-02-27,CD,2017-03-29,4,2017-04-17,2017-03-31,PK
2.79,2017-01-10,SC,2017-01-17,0,2017-03-09,2017-01-19,PK
