cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.07,2022-07-22,CD,2022-10-20,4,2022-11-11,2022-10-21,PKI
0.07,2022-04-28,CD,2022-07-21,4,2022-08-12,2022-07-22,PKI
0.07,2022-01-27,CD,2022-04-21,4,2022-05-13,2022-04-22,PKI
0.07,2021-10-27,CD,2022-01-20,4,2022-02-11,2022-01-21,PKI
0.07,2021-07-23,CD,2021-10-21,4,2021-11-12,2021-10-22,PKI
0.07,2021-04-29,CD,2021-07-15,4,2021-08-06,2021-07-16,PKI
0.07,2021-01-28,CD,2021-04-15,4,2021-05-07,2021-04-16,PKI
0.07,2020-10-22,CD,2021-01-21,4,2021-02-12,2021-01-22,PKI
0.07,2020-07-23,CD,2020-10-15,4,2020-11-06,2020-10-16,PKI
0.07,2020-04-30,CD,2020-07-16,4,2020-08-07,2020-07-17,PKI
0.07,2020-01-23,CD,2020-04-16,4,2020-05-08,2020-04-17,PKI
0.07,2019-10-24,CD,2020-01-16,4,2020-02-07,2020-01-17,PKI
0.07,2019-07-25,CD,2019-10-17,4,2019-11-08,2019-10-18,PKI
0.07,2019-04-25,CD,2019-07-18,4,2019-08-09,2019-07-19,PKI
0.07,2019-01-24,CD,2019-04-17,4,2019-05-10,2019-04-19,PKI
0.07,2018-10-25,CD,2019-01-17,4,2019-02-08,2019-01-18,PKI
0.07,2018-07-23,CD,2018-10-18,4,2018-11-09,2018-10-19,PKI
0.07,2018-04-26,CD,2018-07-19,4,2018-08-10,2018-07-20,PKI
0.07,2018-01-25,CD,2018-04-12,4,2018-05-10,2018-04-13,PKI
0.07,2017-10-27,CD,2018-01-18,4,2018-02-09,2018-01-19,PKI
0.07,2017-07-24,CD,2017-10-19,4,2017-11-10,2017-10-20,PKI
0.07,2017-04-28,CD,2017-07-19,4,2017-08-10,2017-07-21,PKI
0.07,2017-03-16,CD,2017-04-11,4,2017-05-10,2017-04-14,PKI
0.07,2016-10-26,CD,2017-01-18,4,2017-02-10,2017-01-20,PKI
0.07,2016-07-27,CD,2016-10-12,4,2016-11-10,2016-10-14,PKI
0.07,2016-04-25,CD,2016-07-13,4,2016-08-10,2016-07-15,PKI
0.07,2016-01-28,CD,2016-04-13,4,2016-05-10,2016-04-15,PKI
0.07,2015-10-29,CD,2016-01-13,4,2016-02-10,2016-01-15,PKI
0.07,2015-07-23,CD,2015-10-14,4,2015-11-10,2015-10-16,PKI
0.07,2015-04-27,CD,2015-07-15,4,2015-08-10,2015-07-17,PKI
0.07,2015-01-23,CD,2015-04-15,4,2015-05-11,2015-04-17,PKI
0.07,2014-10-23,CD,2015-01-14,4,2015-02-06,2015-01-16,PKI
0.07,2014-07-24,CD,2014-10-15,4,2014-11-07,2014-10-17,PKI
0.07,2014-04-22,CD,2014-07-16,4,2014-08-08,2014-07-18,PKI
0.07,2014-01-24,CD,2014-04-15,4,2014-05-09,2014-04-18,PKI
0.07,2013-10-24,CD,2014-01-15,4,2014-02-07,2014-01-17,PKI
0.07,2013-07-26,CD,2013-10-16,4,2013-11-08,2013-10-18,PKI
0.07,2013-06-13,CD,2013-07-17,4,2013-08-09,2013-07-19,PKI
0.07,2013-01-25,CD,2013-04-17,4,2013-05-10,2013-04-19,PKI
0.07,2012-10-24,CD,2013-01-16,4,2013-02-08,2013-01-18,PKI
0.07,2012-07-28,CD,2012-10-17,4,2012-11-09,2012-10-19,PKI
0.07,2012-06-28,CD,2012-07-18,4,2012-08-10,2012-07-20,PKI
0.07,2012-01-31,CD,2012-04-18,4,2012-05-11,2012-04-20,PKI
0.07,2011-12-20,CD,2012-01-18,4,2012-02-10,2012-01-20,PKI
0.07,2011-07-26,CD,2011-10-19,4,2011-11-11,2011-10-21,PKI
0.07,2011-06-15,CD,2011-07-20,4,2011-08-12,2011-07-22,PKI
0.07,2011-01-25,CD,2011-04-19,4,2011-05-13,2011-04-22,PKI
0.07,2010-10-28,CD,2011-01-19,4,2011-02-11,2011-01-21,PKI
0.07,2010-07-31,SC,2010-10-20,0,2010-11-12,2010-10-22,PKI
0.07,2010-07-31,CD,2010-10-20,4,2010-11-12,2010-10-22,PKI
0.07,2010-06-04,CD,2010-07-21,1,2010-08-13,2010-07-23,PKI
0.07,2010-01-26,CD,2010-04-14,4,2010-05-07,2010-04-16,PKI
0.07,2009-10-22,CD,2010-01-20,4,2010-02-12,2010-01-22,PKI
0.07,2009-07-22,CD,2009-10-21,4,2009-11-13,2009-10-23,PKI
0.07,2009-06-15,CD,2009-07-15,4,2009-08-07,2009-07-17,PKI
0.07,2009-01-29,CD,2009-04-15,4,2009-05-08,2009-04-17,PKI
0.07,2008-10-23,CD,2009-01-14,4,2009-02-06,2009-01-16,PKI
0.07,2008-07-24,CD,2008-10-15,4,2008-11-07,2008-10-17,PKI
0.07,2008-05-28,CD,2008-07-16,4,2008-08-08,2008-07-18,PKI
0.07,2008-01-23,CD,2008-04-16,4,2008-05-09,2008-04-18,PKI
0.07,2007-10-24,CD,2008-01-16,4,2008-02-08,2008-01-18,PKI
0.07,2007-07-25,CD,2007-10-17,4,2007-11-09,2007-10-19,PKI
0.07,2007-05-17,CD,2007-07-18,4,2007-08-10,2007-07-20,PKI
0.07,2007-01-24,CD,2007-04-18,4,2007-05-11,2007-04-20,PKI
0.07,2006-10-25,CD,2007-01-17,4,2007-02-09,2007-01-19,PKI
0.07,2006-07-25,CD,2006-10-18,4,2006-11-10,2006-10-20,PKI
0.07,2006-05-17,CD,2006-07-19,4,2006-08-11,2006-07-21,PKI
0.07,2006-01-24,CD,2006-04-19,4,2006-05-12,2006-04-21,PKI
0.07,2005-10-24,CD,2006-01-18,4,2006-02-10,2006-01-20,PKI
0.07,2005-07-28,CD,2005-10-19,4,2005-11-11,2005-10-21,PKI
0.07,2005-05-23,CD,2005-07-20,4,2005-08-12,2005-07-22,PKI
0.07,2005-03-11,CD,2005-04-20,4,2005-05-13,2005-04-22,PKI
0.07,2004-11-04,CD,2005-01-19,4,2005-02-11,2005-01-21,PKI
0.07,2004-08-04,CD,2004-10-20,4,2004-11-12,2004-10-22,PKI
