cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
1.5,2022-07-01,CD,2022-07-12,4,2022-08-05,2022-07-13,PNC
1.5,2022-04-01,CD,2022-04-12,4,2022-05-05,2022-04-13,PNC
1.25,2022-01-05,CD,2022-01-14,4,2022-02-05,2022-01-18,PNC
1.25,2021-10-01,CD,2021-10-14,4,2021-11-05,2021-10-15,PNC
1.25,2021-07-01,CD,2021-07-15,4,2021-08-05,2021-07-16,PNC
1.15,2021-04-01,CD,2021-04-15,4,2021-05-05,2021-04-16,PNC
1.15,2021-01-05,CD,2021-01-15,4,2021-02-05,2021-01-19,PNC
1.15,2020-10-02,CD,2020-10-15,4,2020-11-05,2020-10-16,PNC
1.15,2020-06-30,CD,2020-07-16,4,2020-08-05,2020-07-17,PNC
1.15,2020-04-02,CD,2020-04-15,4,2020-05-05,2020-04-16,PNC
1.15,2020-01-02,CD,2020-01-16,4,2020-02-05,2020-01-17,PNC
1.15,2019-10-03,CD,2019-10-16,4,2019-11-05,2019-10-17,PNC
1.15,2019-07-09,CD,2019-07-18,4,2019-08-05,2019-07-19,PNC
0.95,2019-04-04,CD,2019-04-15,4,2019-05-05,2019-04-16,PNC
0.95,2019-01-03,CD,2019-01-16,4,2019-02-05,2019-01-17,PNC
0.95,2018-10-04,CD,2018-10-16,4,2018-11-05,2018-10-17,PNC
0.95,2018-07-05,CD,2018-07-16,4,2018-08-05,2018-07-17,PNC
0.75,2018-04-04,CD,2018-04-13,4,2018-05-05,2018-04-16,PNC
0.75,2018-01-04,CD,2018-01-16,4,2018-02-05,2018-01-17,PNC
0.75,2017-10-03,CD,2017-10-16,4,2017-11-05,2017-10-17,PNC
0.75,2017-07-06,CD,2017-07-13,4,2017-08-05,2017-07-17,PNC
0.55,2017-04-04,CD,2017-04-12,4,2017-05-05,2017-04-17,PNC
0.55,2017-01-05,CD,2017-01-12,4,2017-02-05,2017-01-17,PNC
0.55,2016-10-04,CD,2016-10-13,4,2016-11-01,2016-10-17,PNC
0.55,2016-07-07,CD,2016-07-14,4,2016-08-05,2016-07-18,PNC
0.51,2016-04-04,CD,2016-04-13,4,2016-05-05,2016-04-15,PNC
0.51,2016-01-07,CD,2016-01-14,4,2016-02-05,2016-01-19,PNC
0.51,2015-10-01,CD,2015-10-13,4,2015-11-05,2015-10-15,PNC
0.51,2015-07-02,CD,2015-07-13,4,2015-08-05,2015-07-15,PNC
0.51,2015-04-02,CD,2015-04-13,4,2015-05-05,2015-04-15,PNC
0.48,2015-01-02,CD,2015-01-13,4,2015-02-05,2015-01-15,PNC
0.48,2014-10-02,CD,2014-10-10,4,2014-11-05,2014-10-15,PNC
0.48,2014-07-03,CD,2014-07-11,4,2014-08-05,2014-07-15,PNC
0.48,2014-04-03,CD,2014-04-11,4,2014-05-05,2014-04-15,PNC
0.44,2014-01-02,CD,2014-01-13,4,2014-02-05,2014-01-15,PNC
0.44,2013-10-03,CD,2013-10-10,4,2013-11-05,2013-10-15,PNC
0.44,2013-07-03,CD,2013-07-11,4,2013-08-05,2013-07-15,PNC
0.44,2013-04-04,CD,2013-04-12,4,2013-05-05,2013-04-16,PNC
0.4,2013-01-04,CD,2013-01-11,4,2013-02-05,2013-01-15,PNC
0.4,2012-10-05,CD,2012-10-12,4,2012-11-05,2012-10-16,PNC
0.4,2012-07-06,CD,2012-07-13,4,2012-08-05,2012-07-17,PNC
0.4,2012-04-06,CD,2012-04-13,4,2012-05-05,2012-04-17,PNC
0.35,2012-01-06,CD,2012-01-12,4,2012-02-05,2012-01-17,PNC
0.35,2011-10-07,CD,2011-10-17,4,2011-11-05,2011-10-19,PNC
0.35,2011-07-08,CD,2011-07-14,4,2011-08-05,2011-07-18,PNC
0.35,2011-04-08,CD,2011-04-14,4,2011-05-05,2011-04-18,PNC
0.1,2011-01-07,CD,2011-01-12,4,2011-01-24,2011-01-14,PNC
0.1,2010-10-08,CD,2010-10-13,4,2010-10-24,2010-10-15,PNC
0.1,2010-07-02,CD,2010-07-12,4,2010-07-24,2010-07-14,PNC
0.1,2010-04-02,CD,2010-04-09,4,2010-04-24,2010-04-13,PNC
0.1,2010-01-08,CD,2010-01-13,4,2010-01-24,2010-01-15,PNC
0.1,2009-10-02,CD,2009-10-08,4,2009-10-24,2009-10-13,PNC
0.1,2009-07-03,CD,2009-07-09,4,2009-07-24,2009-07-13,PNC
0.1,2009-04-03,CD,2009-04-08,4,2009-04-24,2009-04-13,PNC
0.66,2009-01-09,CD,2009-01-14,4,2009-01-24,2009-01-16,PNC
0.66,2008-10-02,CD,2008-10-08,4,2008-10-24,2008-10-13,PNC
0.66,2008-07-03,CD,2008-07-09,4,2008-07-24,2008-07-11,PNC
0.66,2008-04-04,CD,2008-04-10,4,2008-04-24,2008-04-14,PNC
0.63,2008-01-03,CD,2008-01-09,4,2008-01-24,2008-01-11,PNC
0.63,2007-10-04,CD,2007-10-10,4,2007-10-24,2007-10-12,PNC
0.63,2007-07-05,CD,2007-07-11,4,2007-07-24,2007-07-13,PNC
0.63,2007-04-05,CD,2007-04-11,4,2007-04-24,2007-04-13,PNC
0.55,2007-01-04,CD,2007-01-10,4,2007-01-24,2007-01-12,PNC
0.55,2006-10-05,CD,2006-10-11,4,2006-10-24,2006-10-13,PNC
0.55,2006-07-06,CD,2006-07-12,4,2006-07-24,2006-07-14,PNC
0.55,2006-04-06,CD,2006-04-11,4,2006-04-24,2006-04-14,PNC
0.5,2006-01-05,CD,2006-01-11,4,2006-01-24,2006-01-13,PNC
0.5,2005-10-06,CD,2005-10-12,4,2005-10-24,2005-10-14,PNC
0.5,2005-07-07,CD,2005-07-13,4,2005-07-24,2005-07-15,PNC
