cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
2.3,1999-10-07,CD,1999-10-14,4,1999-10-25,1999-10-18,RAD
2.3,1999-06-30,CD,1999-07-15,4,1999-07-26,1999-07-19,RAD
2.3,1999-04-07,CD,1999-04-15,4,1999-04-26,1999-04-19,RAD
2.3,1999-01-13,CD,1999-01-15,4,1999-01-25,1999-01-20,RAD
2.15,1998-09-03,CD,1998-10-15,4,1998-10-26,1998-10-19,RAD
2.15,1998-06-24,CD,1998-07-16,4,1998-07-27,1998-07-20,RAD
2.15,1998-04-08,CD,1998-04-16,4,1998-04-27,1998-04-20,RAD
2.15,1998-01-09,CD,1998-01-15,4,1998-02-02,1998-01-20,RAD
2.0,1997-10-09,CD,1997-10-16,4,1997-10-27,1997-10-20,RAD
2.0,1997-07-09,CD,1997-07-17,4,1997-07-28,1997-07-21,RAD
2.0,1997-04-08,CD,1997-04-17,4,1997-04-28,1997-04-21,RAD
2.0,1997-01-08,CD,1997-01-15,4,1997-01-27,1997-01-20,RAD
0.1,1996-11-15,SC,1996-12-05,0,1996-11-12,1996-11-12,RAD
1.85,1996-10-02,CD,1996-10-17,4,1996-10-28,1996-10-21,RAD
1.85,1996-06-26,CD,1996-07-18,4,1996-07-29,1996-07-22,RAD
1.85,1996-04-04,CD,1996-04-18,4,1996-04-29,1996-04-22,RAD
1.85,1996-01-11,CD,1996-01-18,4,1996-01-29,1996-01-22,RAD
1.7,1995-10-10,CD,1995-10-19,4,1995-10-30,1995-10-23,RAD
1.7,1995-06-30,CD,1995-07-20,4,1995-07-31,1995-07-24,RAD
1.7,1995-03-29,CD,1995-04-18,4,1995-05-01,1995-04-24,RAD
1.7,1995-01-05,CD,1995-01-09,4,1995-01-23,1995-01-16,RAD
1.5,1994-10-05,CD,1994-10-11,4,1994-10-24,1994-10-17,RAD
1.5,1994-07-07,CD,1994-07-12,4,1994-07-25,1994-07-18,RAD
1.5,1994-04-07,CD,1994-04-12,4,1994-04-25,1994-04-18,RAD
1.5,1994-01-06,CD,1994-01-10,4,1994-01-24,1994-01-17,RAD
1.5,1993-10-05,CD,1993-10-12,4,1993-10-25,1993-10-18,RAD
1.5,1993-07-07,CD,1993-07-13,4,1993-07-26,1993-07-19,RAD
1.5,1993-04-08,CD,1993-04-13,4,1993-04-26,1993-04-19,RAD
1.5,1993-01-07,CD,1993-01-11,4,1993-01-25,1993-01-18,RAD
1.376,1992-10-08,CD,1992-10-13,4,1992-10-26,1992-10-19,RAD
1.376,1992-07-08,CD,1992-07-13,4,1992-07-27,1992-07-20,RAD
1.376,1992-04-08,CD,1992-04-13,4,1992-04-27,1992-04-20,RAD
1.376,1992-01-07,CD,1992-01-13,4,1992-01-27,1992-01-20,RAD
1.25,1991-10-04,CD,1991-10-15,4,1991-10-28,1991-10-21,RAD
1.25,1991-06-27,CD,1991-07-16,4,1991-07-29,1991-07-22,RAD
1.25,1991-04-03,CD,1991-04-16,4,1991-04-29,1991-04-22,RAD
1.25,1991-01-07,CD,1991-01-14,4,1991-01-28,1991-01-21,RAD
1.126,1990-10-03,CD,1990-10-16,4,1990-10-29,1990-10-22,RAD
1.126,1990-07-10,CD,1990-07-17,4,1990-07-30,1990-07-23,RAD
1.126,1990-04-05,CD,1990-04-17,4,1990-04-30,1990-04-23,RAD
1.126,1990-01-04,CD,1990-01-16,4,1990-01-29,1990-01-22,RAD
1.026,1989-10-03,CD,1989-10-17,4,1989-10-30,1989-10-23,RAD
1.026,1989-07-06,CD,1989-07-18,4,1989-07-31,1989-07-24,RAD
1.026,1989-04-05,CD,1989-04-18,4,1989-05-01,1989-04-24,RAD
1.026,1989-01-04,CD,1989-01-09,4,1989-01-23,1989-01-16,RAD
0.926,1988-10-07,CD,1988-10-11,4,1988-10-24,1988-10-17,RAD
0.926,1988-07-06,CD,1988-07-12,4,1988-07-25,1988-07-18,RAD
0.926,1988-04-06,CD,1988-04-12,4,1988-04-25,1988-04-18,RAD
0.926,1988-01-06,CD,1988-01-11,4,1988-01-25,1988-01-18,RAD
0.826,1987-10-07,CD,1987-10-13,4,1987-10-26,1987-10-19,RAD
0.826,1987-07-08,CD,1987-07-14,4,1987-07-27,1987-07-20,RAD
0.826,1987-04-08,CD,1987-04-13,4,1987-04-27,1987-04-20,RAD
0.826,1987-01-06,CD,1987-01-12,4,1987-01-26,1987-01-16,RAD
0.726,1986-10-07,CD,1986-10-10,4,1986-10-27,1986-10-17,RAD
0.726,1986-07-02,CD,1986-07-08,4,1986-07-28,1986-07-14,RAD
0.726,1986-04-08,CD,1986-04-14,4,1986-04-28,1986-04-18,RAD
0.726,1986-01-07,CD,1986-01-13,4,1986-01-27,1986-01-17,RAD
