cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.47,2022-08-03,CD,2022-08-16,4,2022-08-31,2022-08-17,RGR
0.68,2022-05-04,CD,2022-05-13,4,2022-05-31,2022-05-16,RGR
0.86,2022-02-23,CD,2022-03-10,4,2022-03-25,2022-03-11,RGR
0.79,2021-11-03,CD,2021-11-12,4,2021-11-30,2021-11-15,RGR
1.0,2021-08-04,CD,2021-08-13,4,2021-08-27,2021-08-16,RGR
0.86,2021-05-05,CD,2021-05-14,4,2021-05-28,2021-05-17,RGR
0.71,2021-02-19,CD,2021-03-11,4,2021-03-26,2021-03-12,RGR
0.56,2020-10-28,CD,2020-11-12,4,2020-11-27,2020-11-13,RGR
5.0,2020-07-29,SC,2020-08-13,0,2020-08-28,2020-08-14,RGR
0.42,2020-07-29,CD,2020-08-13,4,2020-08-28,2020-08-14,RGR
0.35,2020-05-06,CD,2020-05-15,4,2020-06-01,2020-05-18,RGR
0.18,2020-02-19,CD,2020-03-12,4,2020-03-27,2020-03-13,RGR
0.11,2019-11-07,CD,2019-11-14,4,2019-11-27,2019-11-15,RGR
0.14,2019-07-31,CD,2019-08-14,4,2019-08-30,2019-08-15,RGR
0.29,2019-05-07,CD,2019-05-16,4,2019-05-31,2019-05-17,RGR
0.28,2019-02-20,CD,2019-03-14,4,2019-03-29,2019-03-15,RGR
0.21,2018-10-31,CD,2018-11-15,4,2018-11-30,2018-11-16,RGR
0.34,2018-08-03,CD,2018-08-16,4,2018-08-31,2018-08-17,RGR
0.32,2018-05-08,CD,2018-05-21,4,2018-06-01,2018-05-22,RGR
0.23,2018-02-21,CD,2018-03-14,4,2018-03-30,2018-03-15,RGR
0.21,2017-10-01,CD,2017-11-14,4,2017-11-30,2017-11-15,RGR
0.23,2017-08-03,CD,2017-08-11,4,2017-08-31,2017-08-15,RGR
0.48,2017-05-08,CD,2017-05-17,4,2017-05-31,2017-05-19,RGR
0.44,2017-02-17,CD,2017-03-15,4,2017-03-31,2017-03-17,RGR
0.41,2016-11-01,CD,2016-11-16,4,2016-11-25,2016-11-18,RGR
0.49,2016-08-02,CD,2016-08-10,4,2016-08-26,2016-08-12,RGR
0.48,2016-05-03,CD,2016-05-11,4,2016-05-27,2016-05-13,RGR
0.35,2016-02-24,CD,2016-03-09,4,2016-03-25,2016-03-11,RGR
0.25,2015-11-04,CD,2015-11-12,4,2015-11-30,2015-11-16,RGR
0.36,2015-07-28,CD,2015-08-12,4,2015-08-28,2015-08-14,RGR
0.32,2015-05-04,CD,2015-05-13,4,2015-05-29,2015-05-15,RGR
0.17,2015-02-25,CD,2015-03-11,4,2015-03-27,2015-03-13,RGR
0.14,2014-10-29,CD,2014-11-07,4,2014-11-26,2014-11-12,RGR
0.45,2014-07-29,CD,2014-08-13,4,2014-08-29,2014-08-15,RGR
0.49,2014-05-05,CD,2014-05-14,4,2014-05-30,2014-05-16,RGR
0.54,2014-02-25,CD,2014-03-12,4,2014-03-28,2014-03-14,RGR
0.58,2013-11-05,CD,2013-11-13,4,2013-11-29,2013-11-15,RGR
0.65,2013-07-31,CD,2013-08-14,4,2013-08-30,2013-08-16,RGR
0.49,2013-04-29,CD,2013-05-08,4,2013-05-24,2013-05-10,RGR
0.404,2013-02-27,CD,2013-03-06,4,2013-03-22,2013-03-08,RGR
4.5,2012-11-19,SC,2012-12-05,0,2012-12-21,2012-12-07,RGR
0.382,2012-10-31,CD,2012-11-07,4,2012-11-26,2012-11-12,RGR
0.377,2012-08-02,CD,2012-08-09,4,2012-08-27,2012-08-13,RGR
0.324,2012-05-02,CD,2012-05-10,4,2012-05-29,2012-05-14,RGR
0.212,2012-02-23,CD,2012-03-07,4,2012-03-23,2012-03-09,RGR
0.141,2011-11-03,CD,2011-11-09,4,2011-11-28,2011-11-14,RGR
0.142,2011-07-28,CD,2011-08-10,4,2011-08-26,2011-08-12,RGR
0.097,2011-04-28,CD,2011-05-11,4,2011-05-27,2011-05-13,RGR
0.05,2011-02-24,CD,2011-03-09,4,2011-03-25,2011-03-11,RGR
0.078,2010-11-02,CD,2010-11-09,4,2010-11-26,2010-11-12,RGR
0.1,2010-07-29,CD,2010-08-11,4,2010-08-27,2010-08-13,RGR
0.093,2010-04-29,CD,2010-05-12,4,2010-05-28,2010-05-14,RGR
0.06,2010-02-25,CD,2010-03-10,4,2010-03-26,2010-03-12,RGR
0.096,2009-10-29,CD,2009-11-10,4,2009-11-30,2009-11-13,RGR
0.123,2009-07-30,CD,2009-08-12,4,2009-08-28,2009-08-14,RGR
0.086,2009-04-30,CD,2009-05-13,4,2009-05-29,2009-05-15,RGR
0.1,2005-07-26,CD,2005-08-30,4,2005-09-15,2005-09-01,RGR
0.1,2005-05-04,CD,2005-05-27,4,2005-06-15,2005-06-01,RGR
0.1,2005-01-14,CD,2005-02-25,4,2005-03-15,2005-03-01,RGR
0.1,2004-10-22,CD,2004-11-29,4,2004-12-15,2004-12-01,RGR
0.1,2004-07-29,CD,2004-08-30,4,2004-09-15,2004-09-01,RGR
0.2,2004-05-05,CD,2004-05-27,4,2004-06-15,2004-06-01,RGR
0.2,2004-01-15,CD,2004-02-26,4,2004-03-15,2004-03-01,RGR
0.2,2003-10-23,CD,2003-11-26,4,2003-12-15,2003-12-01,RGR
0.2,2003-07-25,CD,2003-08-27,4,2003-09-15,2003-09-01,RGR
0.2,2003-05-06,CD,2003-05-28,4,2003-06-15,2003-06-01,RGR
0.2,2002-12-20,CD,2003-02-26,4,2003-03-15,2003-03-01,RGR
0.2,2002-10-28,CD,2002-11-26,4,2002-12-15,2002-12-01,RGR
0.2,2002-07-25,CD,2002-08-28,4,2002-09-15,2002-09-01,RGR
0.2,2002-05-09,CD,2002-05-29,4,2002-06-15,2002-06-01,RGR
0.2,2002-01-18,CD,2002-02-27,4,2002-03-15,2002-03-01,RGR
0.2,2001-10-23,CD,2001-11-28,4,2001-12-15,2001-12-01,RGR
0.2,2001-07-31,CD,2001-08-29,4,2001-09-15,2001-09-01,RGR
0.2,2001-05-03,CD,2001-05-30,4,2001-06-15,2001-06-01,RGR
0.2,2001-01-18,CD,2001-02-27,4,2001-03-15,2001-03-01,RGR
0.2,2000-10-25,CD,2000-11-29,4,2000-12-15,2000-12-01,RGR
0.2,2000-07-27,CD,2000-08-30,4,2000-09-15,2000-09-01,RGR
0.2,2000-05-11,CD,2000-05-30,4,2000-06-15,2000-06-01,RGR
0.2,2000-01-18,CD,2000-02-28,4,2000-03-15,2000-03-01,RGR
0.2,1999-10-26,CD,1999-11-29,4,1999-12-15,1999-12-01,RGR
0.2,1999-07-15,CD,1999-08-30,4,1999-09-15,1999-09-01,RGR
0.2,1999-05-13,CD,1999-05-27,4,1999-06-15,1999-06-01,RGR
0.2,1999-01-13,CD,1999-02-25,4,1999-03-15,1999-03-01,RGR
0.2,1998-10-16,CD,1998-11-27,4,1998-12-15,1998-12-01,RGR
0.2,1998-07-30,CD,1998-08-28,4,1998-09-15,1998-09-01,RGR
0.2,1998-05-12,CD,1998-05-28,4,1998-06-15,1998-06-01,RGR
0.2,1998-01-26,CD,1998-02-26,4,1998-03-16,1998-03-02,RGR
0.2,1997-10-29,CD,1997-11-26,4,1997-12-15,1997-12-01,RGR
0.2,1997-07-28,CD,1997-08-27,4,1997-09-15,1997-09-01,RGR
0.2,1997-05-21,CD,1997-05-29,4,1997-06-16,1997-06-02,RGR
0.2,1997-02-03,CD,1997-02-26,4,1997-03-14,1997-02-28,RGR
0.2,1996-10-30,CD,1996-11-26,4,1996-12-15,1996-12-01,RGR
0.2,1996-07-25,CD,1996-08-13,4,1996-09-16,1996-08-15,RGR
0.2,1996-04-25,CD,1996-05-29,4,1996-06-15,1996-06-01,RGR
0.2,1996-01-11,CD,1996-02-28,4,1996-03-15,1996-03-01,RGR
0.175,1995-10-24,CD,1995-11-29,4,1995-12-15,1995-12-01,RGR
0.175,1995-07-18,CD,1995-08-30,4,1995-09-15,1995-09-01,RGR
0.175,1995-04-25,CD,1995-05-25,4,1995-06-15,1995-06-01,RGR
0.175,1995-01-20,CD,1995-02-23,4,1995-03-15,1995-03-01,RGR
0.15,1994-10-25,CD,1994-11-25,4,1994-12-15,1994-12-01,RGR
0.15,1994-07-19,CD,1994-08-26,4,1994-09-15,1994-09-01,RGR
0.15,1994-04-27,CD,1994-05-25,4,1994-06-15,1994-06-01,RGR
0.15,1994-01-14,CD,1994-02-23,4,1994-03-15,1994-03-01,RGR
0.15,1993-10-27,CD,1993-11-24,4,1993-12-15,1993-12-01,RGR
0.125,1993-07-20,CD,1993-08-26,4,1993-09-15,1993-09-01,RGR
0.125,1993-04-29,CD,1993-05-25,4,1993-06-15,1993-06-01,RGR
0.125,1993-01-15,CD,1993-02-23,4,1993-03-15,1993-03-01,RGR
0.125,1992-10-27,CD,1992-11-24,4,1992-12-15,1992-12-01,RGR
0.125,1992-10-27,SC,1992-11-24,0,1992-12-15,1992-12-01,RGR
0.125,1992-07-14,CD,1992-08-26,4,1992-09-15,1992-09-01,RGR
0.1,1992-07-14,SC,1992-07-27,0,1992-08-15,1992-08-01,RGR
0.075,1992-05-08,CD,1992-05-26,4,1992-06-15,1992-06-01,RGR
0.075,1992-01-10,CD,1992-02-24,4,1992-03-15,1992-03-01,RGR
0.075,1991-09-24,CD,1991-11-22,4,1991-12-15,1991-12-01,RGR
0.075,1991-07-16,CD,1991-08-26,4,1991-09-15,1991-09-01,RGR
0.075,1991-04-24,CD,1991-05-24,4,1991-06-15,1991-06-01,RGR
0.075,1991-02-11,CD,1991-02-25,4,1991-03-15,1991-03-01,RGR
0.075,1990-10-18,CD,1990-11-26,4,1990-12-15,1990-12-01,RGR
0.075,1990-07-23,CD,1990-08-27,4,1990-09-15,1990-09-01,RGR
0.0625,1990-04-25,CD,1990-05-25,4,1990-06-15,1990-06-01,RGR
0.0625,1990-01-05,CD,1990-02-23,4,1990-03-15,1990-03-01,RGR
0.125,1989-10-17,SC,1989-11-27,0,1989-12-15,1989-12-01,RGR
0.0625,1989-10-18,CD,1989-11-27,4,1970-01-01,1989-11-23,RGR
0.0625,1989-07-12,CD,1989-08-28,4,1989-09-15,1989-09-01,RGR
0.0625,1989-04-25,CD,1989-05-25,4,1989-06-15,1989-06-01,RGR
0.0625,1989-02-03,CD,1989-02-23,4,1989-03-15,1989-03-01,RGR
0.0625,1988-11-16,CD,1988-11-25,4,1988-12-15,1988-12-01,RGR
0.0938,1988-07-19,CD,1988-08-26,4,1988-09-15,1988-09-01,RGR
0.625,1988-07-19,SC,1988-08-01,0,1988-08-20,1988-08-05,RGR
0.0938,1988-04-26,CD,1988-05-25,4,1988-06-15,1988-06-01,RGR
0.0938,1988-01-18,CD,1988-02-24,4,1988-03-15,1988-03-01,RGR
0.0625,1987-10-12,CD,1987-11-24,4,1987-12-15,1987-12-01,RGR
0.0625,1987-07-14,CD,1987-08-26,4,1987-09-15,1987-09-01,RGR
0.0625,1987-04-28,CD,1987-05-26,4,1987-06-15,1987-06-01,RGR
0.0625,1987-02-12,CD,1987-02-23,4,1987-03-15,1987-03-01,RGR
0.0625,1986-10-21,CD,1986-11-24,4,1986-12-15,1986-12-01,RGR
0.0625,1986-07-15,CD,1986-08-25,4,1986-09-15,1986-09-01,RGR
0.0625,1986-04-22,CD,1986-05-23,4,1986-06-15,1986-06-01,RGR
0.0625,1986-01-16,CD,1986-02-24,4,1986-03-15,1986-03-01,RGR
0.0625,1985-11-14,CD,1985-11-22,4,1985-12-15,1985-12-01,RGR
0.0625,1985-11-14,SC,1985-11-22,0,1985-12-15,1985-12-01,RGR
0.0625,1985-07-09,CD,1985-08-26,4,1985-09-15,1985-09-01,RGR
0.0625,1985-07-09,SC,1985-08-26,0,1985-09-15,1985-09-01,RGR
0.0625,1970-01-01,SC,1985-06-04,0,1985-06-15,1985-06-01,RGR
0.0625,1985-03-21,CD,1985-05-24,4,1985-06-15,1985-06-01,RGR
0.0313,1984-12-11,CD,1985-02-25,4,1985-03-15,1985-03-01,RGR
