cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.0075,1991-11-28,CD,1992-01-09,4,1992-02-12,1992-01-15,ROG
0.0075,1991-09-10,CD,1991-10-09,4,1991-11-14,1991-10-16,ROG
0.0075,1991-06-12,CD,1991-07-12,4,1991-08-14,1991-07-18,ROG
0.0075,1991-03-28,CD,1991-04-11,4,1991-05-16,1991-04-17,ROG
0.0075,1990-12-12,CD,1991-01-09,4,1991-02-15,1991-01-15,ROG
0.0075,1990-10-10,CD,1990-10-16,4,1990-11-15,1990-10-22,ROG
0.0075,1990-06-14,CD,1990-07-10,4,1990-08-15,1990-07-16,ROG
0.0075,1990-03-29,CD,1990-04-10,4,1990-05-15,1990-04-17,ROG
0.0075,1989-12-14,CD,1990-01-09,4,1990-02-15,1990-01-16,ROG
0.0075,1989-09-14,CD,1989-10-10,4,1989-11-15,1989-10-16,ROG
0.0075,1989-06-15,CD,1989-07-10,4,1989-08-15,1989-07-14,ROG
0.0075,1989-03-30,CD,1989-04-10,4,1989-05-15,1989-04-14,ROG
0.0075,1988-12-13,CD,1989-01-09,4,1989-02-15,1989-01-16,ROG
0.0075,1988-09-09,CD,1988-10-07,4,1988-11-15,1988-10-14,ROG
0.0075,1988-06-10,CD,1988-07-11,4,1988-08-15,1988-07-15,ROG
0.0075,1988-03-31,CD,1988-04-11,4,1988-05-16,1988-04-15,ROG
0.0075,1987-12-11,CD,1988-01-11,4,1988-02-17,1988-01-15,ROG
0.0075,1987-09-11,CD,1987-10-07,4,1987-11-13,1987-10-14,ROG
0.0075,1987-06-16,CD,1987-07-09,4,1987-08-14,1987-07-15,ROG
0.0075,1987-03-26,CD,1987-04-09,4,1987-05-15,1987-04-15,ROG
0.0075,1986-12-11,CD,1987-01-09,4,1987-02-13,1987-01-15,ROG
0.0075,1986-09-16,CD,1986-10-08,4,1986-11-13,1986-10-15,ROG
0.0075,1986-06-18,CD,1986-07-09,4,1986-08-15,1986-07-15,ROG
0.0075,1986-03-27,CD,1986-04-08,4,1986-05-15,1986-04-14,ROG
0.0075,1985-12-12,CD,1986-01-09,4,1986-02-14,1986-01-15,ROG
0.0075,1985-09-12,CD,1985-10-08,4,1985-11-15,1985-10-15,ROG
0.0075,1985-06-24,CD,1985-07-09,4,1985-08-15,1985-07-15,ROG
0.0075,1985-03-28,CD,1985-04-09,4,1985-05-15,1985-04-15,ROG
0.0075,1984-12-13,CD,1985-01-09,4,1985-02-15,1985-01-15,ROG
