cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.4,2022-07-05,CD,2022-07-14,4,2022-07-29,2022-07-15,RPM
0.4,2022-04-01,CD,2022-04-13,4,2022-04-29,2022-04-14,RPM
0.4,2022-01-04,CD,2022-01-13,4,2022-01-31,2022-01-14,RPM
0.4,2021-10-07,CD,2021-10-15,4,2021-10-29,2021-10-18,RPM
0.38,2021-07-03,CD,2021-07-14,4,2021-07-30,2021-07-15,RPM
0.38,2021-04-01,CD,2021-04-14,4,2021-04-30,2021-04-15,RPM
0.38,2021-01-04,CD,2021-01-14,4,2021-01-29,2021-01-15,RPM
0.38,2020-10-08,CD,2020-10-16,4,2020-10-30,2020-10-19,RPM
0.36,2020-07-02,CD,2020-07-15,4,2020-07-31,2020-07-16,RPM
0.36,2020-04-02,CD,2020-04-15,4,2020-04-30,2020-04-16,RPM
0.36,2020-01-02,CD,2020-01-15,4,2020-01-31,2020-01-16,RPM
0.36,2019-10-03,CD,2019-10-11,4,2019-10-31,2019-10-15,RPM
0.35,2019-07-03,CD,2019-07-15,4,2019-07-31,2019-07-16,RPM
0.35,2019-04-03,CD,2019-04-15,4,2019-04-30,2019-04-16,RPM
0.35,2019-01-02,CD,2019-01-15,4,2019-01-31,2019-01-16,RPM
0.35,2018-10-04,CD,2018-10-15,4,2018-10-31,2018-10-16,RPM
0.32,2018-06-05,CD,2018-07-16,4,2018-07-31,2018-07-17,RPM
0.32,2018-04-04,CD,2018-04-16,4,2018-04-30,2018-04-17,RPM
0.32,2018-01-03,CD,2018-01-16,4,2018-01-31,2018-01-17,RPM
0.32,2017-10-06,CD,2017-10-13,4,2017-10-31,2017-10-16,RPM
0.3,2017-07-05,CD,2017-07-13,4,2017-07-31,2017-07-17,RPM
0.3,2017-04-04,CD,2017-04-11,4,2017-04-28,2017-04-14,RPM
0.3,2017-01-04,CD,2017-01-11,4,2017-01-31,2017-01-16,RPM
0.3,2016-10-06,CD,2016-10-13,4,2016-10-31,2016-10-17,RPM
0.275,2016-07-08,CD,2016-07-14,4,2016-07-29,2016-07-18,RPM
0.275,2016-04-08,CD,2016-04-14,4,2016-04-29,2016-04-18,RPM
0.275,2016-01-05,CD,2016-01-13,4,2016-01-29,2016-01-15,RPM
0.275,2015-10-08,CD,2015-10-15,4,2015-10-30,2015-10-19,RPM
0.26,2015-07-02,CD,2015-07-09,4,2015-07-31,2015-07-13,RPM
0.26,2015-04-02,CD,2015-04-09,4,2015-04-30,2015-04-13,RPM
0.26,2015-01-02,CD,2015-01-08,4,2015-01-30,2015-01-12,RPM
0.26,2014-10-09,CD,2014-10-16,4,2014-10-31,2014-10-20,RPM
0.24,2014-07-01,CD,2014-07-09,4,2014-07-31,2014-07-11,RPM
0.24,2014-04-01,CD,2014-04-09,4,2014-04-30,2014-04-11,RPM
0.24,2014-01-03,CD,2014-01-09,4,2014-01-31,2014-01-13,RPM
0.24,2013-10-11,CD,2013-10-17,4,2013-10-31,2013-10-21,RPM
0.225,2013-07-02,CD,2013-07-10,4,2013-07-31,2013-07-12,RPM
