cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.05,2022-07-27,CD,2022-08-19,4,2022-09-01,2022-08-22,SB
0.05,2022-05-25,CD,2022-06-07,4,2022-06-15,2022-06-08,SB
0.05,2022-03-09,CD,2022-03-18,4,2022-03-28,2022-03-21,SB
0.01,2015-08-04,CD,2015-08-14,4,2015-08-28,2015-08-18,SB
0.01,2015-06-08,CD,2015-06-17,4,2015-06-26,2015-06-19,SB
0.02,2015-03-03,CD,2015-03-06,4,2015-03-17,2015-03-10,SB
0.04,2014-11-05,CD,2014-11-19,4,2014-12-05,2014-11-21,SB
0.06,2014-07-29,CD,2014-08-15,4,2014-08-29,2014-08-19,SB
0.06,2014-05-28,CD,2014-06-06,4,2014-06-17,2014-06-10,SB
0.06,2014-02-26,CD,2014-03-06,4,2014-03-17,2014-03-10,SB
0.06,2013-11-04,CD,2013-11-20,4,2013-12-06,2013-11-22,SB
0.05,2013-08-21,CD,2013-08-29,4,2013-09-13,2013-09-03,SB
0.05,2013-05-16,CD,2013-05-22,4,2013-06-07,2013-05-27,SB
0.05,2013-02-21,CD,2013-02-28,4,2013-03-08,2013-03-04,SB
0.05,2012-11-14,CD,2012-11-21,4,2012-11-30,2012-11-26,SB
0.15,2012-08-07,CD,2012-08-22,4,2012-08-31,2012-08-24,SB
0.15,2012-05-09,CD,2012-05-21,4,2012-05-31,2012-05-23,SB
0.15,2012-02-15,CD,2012-02-22,4,2012-02-29,2012-02-24,SB
0.15,2011-10-18,CD,2011-11-21,4,2011-11-30,2011-11-23,SB
0.15,2011-07-22,CD,2011-08-22,4,2011-08-31,2011-08-24,SB
0.15,2011-05-04,CD,2011-05-18,4,2011-05-27,2011-05-20,SB
0.15,2011-02-10,CD,2011-02-16,4,2011-02-25,2011-02-18,SB
0.15,2010-11-10,CD,2010-11-17,4,2010-11-26,2010-11-19,SB
0.15,2010-07-28,CD,2010-08-18,4,2010-08-27,2010-08-20,SB
0.15,2010-05-11,CD,2010-05-19,4,2010-05-28,2010-05-21,SB
0.15,2010-02-10,CD,2010-02-17,4,2010-02-26,2010-02-19,SB
0.15,2009-11-05,CD,2009-11-18,4,2009-11-27,2009-11-20,SB
0.15,2009-08-04,CD,2009-08-19,4,2009-08-28,2009-08-21,SB
0.15,2009-05-07,CD,2009-05-20,4,2009-05-29,2009-05-22,SB
0.15,2009-02-10,CD,2009-02-18,4,2009-02-27,2009-02-20,SB
0.475,2008-11-04,CD,2008-11-19,4,2008-11-28,2008-11-21,SB
0.1461,2008-07-31,CD,2008-08-20,4,2008-08-29,2008-08-22,SB
