cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.145,2022-06-22,CD,2022-07-06,4,2022-07-18,2022-07-07,SCS
0.145,2022-03-23,CD,2022-04-01,4,2022-04-14,2022-04-04,SCS
0.145,2021-12-16,CD,2021-12-23,4,2022-01-10,2021-12-27,SCS
0.145,2021-09-22,CD,2021-10-01,4,2021-10-15,2021-10-04,SCS
0.145,2021-06-23,CD,2021-07-02,4,2021-07-20,2021-07-06,SCS
0.1,2021-03-23,CD,2021-04-01,4,2021-04-15,2021-04-05,SCS
0.1,2020-12-17,CD,2020-12-24,4,2021-01-11,2020-12-28,SCS
0.1,2020-09-21,CD,2020-10-01,4,2020-10-15,2020-10-02,SCS
0.1,2020-06-30,CD,2020-07-07,4,2020-07-15,2020-07-08,SCS
0.07,2020-03-24,CD,2020-04-02,4,2020-04-17,2020-04-03,SCS
0.145,2019-12-17,CD,2019-12-26,4,2020-01-13,2019-12-27,SCS
0.145,2019-09-19,CD,2019-09-27,4,2019-10-14,2019-09-30,SCS
0.145,2019-06-19,CD,2019-06-28,4,2019-07-16,2019-07-01,SCS
0.145,2019-03-19,CD,2019-03-28,4,2019-04-12,2019-03-29,SCS
0.135,2018-12-18,CD,2018-12-27,4,2019-01-14,2018-12-28,SCS
0.135,2018-09-20,CD,2018-09-28,4,2018-10-15,2018-10-01,SCS
0.135,2018-06-20,CD,2018-06-29,4,2018-07-17,2018-07-02,SCS
0.135,2018-03-21,CD,2018-03-28,4,2018-04-13,2018-03-30,SCS
0.1275,2017-12-20,CD,2017-12-28,4,2018-01-15,2017-12-29,SCS
0.1275,2017-09-19,CD,2017-09-27,4,2017-10-12,2017-09-28,SCS
0.1275,2017-06-22,CD,2017-06-29,4,2017-07-14,2017-07-03,SCS
0.1275,2017-03-21,CD,2017-03-29,4,2017-04-14,2017-03-31,SCS
0.12,2016-12-20,CD,2016-12-29,4,2017-01-13,2017-01-03,SCS
0.12,2016-09-21,CD,2016-09-30,4,2016-10-14,2016-10-04,SCS
0.12,2016-06-22,CD,2016-06-30,4,2016-07-15,2016-07-05,SCS
0.12,2016-03-22,CD,2016-03-31,4,2016-04-14,2016-04-04,SCS
0.1125,2015-12-21,CD,2016-01-05,4,2016-01-15,2016-01-07,SCS
0.1125,2015-09-23,CD,2015-10-01,4,2015-10-15,2015-10-05,SCS
0.1125,2015-06-24,CD,2015-07-01,4,2015-07-15,2015-07-06,SCS
0.1125,2015-03-24,CD,2015-04-01,4,2015-04-15,2015-04-06,SCS
0.105,2014-12-22,CD,2014-12-30,4,2015-01-15,2015-01-02,SCS
0.105,2014-09-25,CD,2014-10-02,4,2014-10-16,2014-10-06,SCS
0.105,2014-06-26,CD,2014-07-02,4,2014-07-16,2014-07-07,SCS
0.105,2014-03-25,CD,2014-04-02,4,2014-04-14,2014-04-04,SCS
0.1,2013-12-18,CD,2013-12-26,4,2014-01-13,2013-12-30,SCS
0.1,2013-09-18,CD,2013-09-26,4,2013-10-11,2013-09-30,SCS
0.1,2013-06-19,CD,2013-06-27,4,2013-07-12,2013-07-01,SCS
0.1,2013-03-28,CD,2013-04-04,4,2013-04-15,2013-04-08,SCS
0.09,2012-12-07,CD,2012-12-13,4,2012-12-28,2012-12-17,SCS
0.09,2012-09-20,CD,2012-09-27,4,2012-10-12,2012-10-01,SCS
0.09,2012-06-21,CD,2012-06-28,4,2012-07-13,2012-07-02,SCS
0.09,2012-03-23,CD,2012-03-29,4,2012-04-11,2012-04-02,SCS
0.06,2011-12-22,CD,2011-12-29,4,2012-01-13,2012-01-03,SCS
0.06,2011-09-22,CD,2011-09-29,4,2011-10-14,2011-10-03,SCS
0.06,2011-06-23,CD,2011-06-29,4,2011-07-15,2011-07-01,SCS
0.06,2011-03-25,CD,2011-03-30,4,2011-04-13,2011-04-01,SCS
0.04,2010-12-17,CD,2010-12-22,4,2011-01-14,2010-12-27,SCS
0.04,2010-09-30,CD,2010-10-06,4,2010-10-22,2010-10-08,SCS
0.04,2010-06-25,CD,2010-07-02,4,2010-07-21,2010-07-07,SCS
0.04,2010-03-31,CD,2010-04-07,4,2010-04-26,2010-04-09,SCS
0.04,2009-12-18,CD,2009-12-23,4,2010-01-13,2009-12-28,SCS
0.04,2009-10-01,CD,2009-10-07,4,2009-10-23,2009-10-09,SCS
0.04,2009-06-26,CD,2009-06-30,4,2009-07-17,2009-07-02,SCS
0.08,2009-03-30,CD,2009-04-02,4,2009-04-20,2009-04-06,SCS
0.08,2008-12-19,CD,2008-12-24,4,2009-01-15,2008-12-29,SCS
0.15,2008-10-06,CD,2008-10-08,4,2008-10-24,2008-10-13,SCS
0.15,2008-06-27,CD,2008-07-02,4,2008-07-17,2008-07-07,SCS
0.15,2008-04-02,CD,2008-04-10,4,2008-04-28,2008-04-14,SCS
1.75,2007-12-19,SC,2007-12-28,0,2008-01-15,2008-01-02,SCS
0.15,2007-12-19,CD,2007-12-28,4,2008-01-15,2008-01-02,SCS
0.15,2007-10-05,CD,2007-10-11,4,2007-10-24,2007-10-15,SCS
0.15,2007-06-21,CD,2007-07-02,4,2007-07-16,2007-07-05,SCS
0.15,2007-03-23,CD,2007-03-30,4,2007-04-16,2007-04-03,SCS
0.13,2006-12-14,CD,2006-12-27,4,2007-01-16,2007-01-01,SCS
0.12,2006-10-06,CD,2006-10-11,4,2006-10-23,2006-10-13,SCS
0.1,2006-06-22,CD,2006-07-05,4,2006-07-17,2006-07-07,SCS
0.1,2006-03-28,CD,2006-04-05,4,2006-04-17,2006-04-07,SCS
0.09,2005-12-15,CD,2005-12-28,4,2006-01-17,2006-01-01,SCS
0.09,2005-09-23,CD,2005-10-03,4,2005-10-17,2005-10-05,SCS
0.09,2005-06-23,CD,2005-06-30,4,2005-07-15,2005-07-05,SCS
0.06,2005-03-28,CD,2005-04-04,4,2005-04-15,2005-04-06,SCS
0.06,2004-11-19,CD,2004-12-29,4,2005-01-18,2005-01-01,SCS
0.06,2004-10-07,CD,2004-10-12,4,2004-10-21,2004-10-14,SCS
0.06,2004-05-20,CD,2004-06-29,4,2004-07-15,2004-07-01,SCS
0.06,2004-03-27,CD,2004-04-01,4,2004-04-15,2004-04-05,SCS
0.06,2003-11-20,CD,2003-12-30,4,2004-01-15,2004-01-02,SCS
0.06,2003-10-02,CD,2003-10-06,4,2003-10-15,2003-10-08,SCS
0.06,2003-06-26,CD,2003-07-02,4,2003-07-15,2003-07-07,SCS
0.06,2003-03-31,CD,2003-04-01,4,2003-04-15,2003-04-03,SCS
0.06,2002-12-18,CD,2002-12-27,4,2003-01-15,2003-01-01,SCS
0.06,2002-09-19,CD,2002-09-27,4,2002-10-15,2002-10-01,SCS
0.06,2002-06-27,CD,2002-07-01,4,2002-07-15,2002-07-03,SCS
0.06,2002-03-21,CD,2002-03-27,4,2002-04-15,2002-04-01,SCS
0.06,2001-11-15,CD,2001-12-27,4,2002-01-15,2002-01-01,SCS
0.11,2001-09-19,CD,2001-09-27,4,2001-10-15,2001-10-01,SCS
0.11,2001-06-25,CD,2001-06-27,4,2001-07-16,2001-07-01,SCS
0.11,2001-03-21,CD,2001-03-28,4,2001-04-16,2001-04-01,SCS
0.11,2000-12-14,CD,2000-12-27,4,2001-01-16,2001-01-01,SCS
0.11,2000-09-20,CD,2000-09-27,4,2000-10-16,2000-10-01,SCS
0.11,2000-06-19,CD,2000-06-28,4,2000-07-15,2000-07-01,SCS
0.11,2000-03-28,CD,2000-03-29,4,2000-04-14,2000-04-01,SCS
0.11,1999-12-20,CD,1999-12-29,4,2000-01-14,2000-01-01,SCS
0.11,1999-09-24,CD,1999-09-29,4,1999-10-15,1999-10-01,SCS
0.11,1999-06-24,CD,1999-06-29,4,1999-07-15,1999-07-01,SCS
0.11,1999-03-26,CD,1999-03-30,4,1999-04-15,1999-04-01,SCS
0.11,1998-12-18,CD,1998-12-29,4,1999-01-15,1999-01-01,SCS
0.1,1998-08-20,CD,1998-09-29,4,1998-10-15,1998-10-01,SCS
0.1,1998-06-17,CD,1998-06-29,4,1998-07-15,1998-07-01,SCS
0.1,1998-03-26,CD,1998-04-30,4,1998-05-15,1998-05-04,SCS
