cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.1,2016-09-19,CD,2016-09-27,4,2016-10-07,2016-09-29,SEAS
0.21,2016-06-08,CD,2016-06-16,4,2016-07-01,2016-06-20,SEAS
0.21,2016-02-22,CD,2016-03-10,4,2016-04-01,2016-03-14,SEAS
0.21,2016-01-05,CD,2016-01-13,4,2016-01-22,2016-01-15,SEAS
0.21,2015-09-10,CD,2015-09-25,4,2015-10-06,2015-09-29,SEAS
0.21,2015-06-10,CD,2015-06-18,4,2015-07-01,2015-06-22,SEAS
0.21,2015-03-03,CD,2015-03-11,4,2015-04-01,2015-03-13,SEAS
0.21,2015-01-05,CD,2015-01-09,4,2015-01-22,2015-01-13,SEAS
0.21,2014-09-17,CD,2014-09-25,4,2014-10-06,2014-09-29,SEAS
0.21,2014-05-13,CD,2014-06-18,4,2014-07-01,2014-06-20,SEAS
0.2,2014-03-04,CD,2014-03-18,4,2014-04-01,2014-03-20,SEAS
0.2,2013-12-11,CD,2013-12-18,4,2014-01-03,2013-12-20,SEAS
0.2,2013-09-11,CD,2013-09-18,4,2013-10-01,2013-09-20,SEAS
0.2,2013-06-12,CD,2013-06-18,4,2013-07-01,2013-06-20,SEAS
