cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.2,2022-06-09,CD,2022-07-28,4,2022-08-26,2022-07-29,SIG
0.2,2022-03-17,CD,2022-04-28,4,2022-05-27,2022-04-29,SIG
0.18,2022-01-20,CD,2022-01-27,4,2022-02-25,2022-01-28,SIG
0.18,2021-09-02,CD,2021-10-28,4,2021-11-26,2021-10-29,SIG
0.18,2021-06-10,CD,2021-07-29,4,2021-08-27,2021-07-30,SIG
0.37,2020-01-16,CD,2020-01-30,4,2020-02-28,2020-01-31,SIG
0.37,2019-09-05,CD,2019-10-31,4,2019-11-29,2019-11-01,SIG
0.37,2019-05-04,CD,2019-08-01,4,2019-08-30,2019-08-02,SIG
0.37,2019-04-03,CD,2019-05-02,4,2019-05-31,2019-05-03,SIG
0.37,2019-01-17,CD,2019-01-31,4,2019-03-01,2019-02-01,SIG
0.37,2018-08-30,CD,2018-11-01,4,2018-11-30,2018-11-02,SIG
0.37,2018-06-06,CD,2018-08-02,4,2018-08-31,2018-08-03,SIG
0.37,2018-03-14,CD,2018-05-03,4,2018-06-01,2018-05-04,SIG
0.31,2018-01-10,CD,2018-02-01,4,2018-03-03,2018-02-02,SIG
0.31,2017-08-24,CD,2017-10-26,4,2017-11-30,2017-10-27,SIG
0.31,2017-05-25,CD,2017-07-26,4,2017-08-30,2017-07-28,SIG
0.31,2017-03-09,CD,2017-04-26,4,2017-05-31,2017-04-28,SIG
0.26,2017-01-11,CD,2017-01-25,4,2017-02-28,2017-01-27,SIG
0.26,2016-08-25,CD,2016-10-26,4,2016-11-28,2016-10-28,SIG
0.26,2016-05-26,CD,2016-07-27,4,2016-08-26,2016-07-29,SIG
0.26,2016-03-24,CD,2016-04-27,4,2016-05-27,2016-04-29,SIG
0.22,2016-01-07,CD,2016-01-28,4,2016-02-26,2016-01-29,SIG
0.22,2015-08-27,CD,2015-10-29,4,2015-11-27,2015-10-30,SIG
0.22,2015-06-16,CD,2015-07-30,4,2015-08-27,2015-07-31,SIG
0.22,2015-03-26,CD,2015-04-30,4,2015-05-27,2015-05-01,SIG
0.18,2015-01-09,CD,2015-01-29,4,2015-02-26,2015-01-30,SIG
0.18,2014-08-26,CD,2014-10-29,4,2014-11-25,2014-10-31,SIG
0.18,2014-06-16,CD,2014-07-30,4,2014-08-27,2014-08-01,SIG
0.18,2014-03-27,CD,2014-04-30,4,2014-05-28,2014-05-02,SIG
0.15,2014-01-09,CD,2014-01-29,4,2014-02-27,2014-01-31,SIG
0.15,2013-09-04,CD,2013-10-30,4,2013-11-26,2013-11-01,SIG
0.15,2013-06-18,CD,2013-07-31,4,2013-08-28,2013-08-02,SIG
0.15,2013-03-28,CD,2013-05-01,4,2013-05-29,2013-05-03,SIG
0.12,2013-01-08,CD,2013-01-24,4,2013-02-27,2013-01-28,SIG
0.12,2012-09-08,CD,2012-10-24,4,2012-11-26,2012-10-26,SIG
0.12,2012-06-19,CD,2012-07-25,4,2012-08-28,2012-07-27,SIG
0.12,2012-03-22,CD,2012-04-25,4,2012-05-29,2012-04-27,SIG
0.1,2012-01-10,CD,2012-01-25,4,2012-02-27,2012-01-27,SIG
0.1,2011-08-26,CD,2011-10-26,4,2011-11-28,2011-10-28,SIG
0.192,2008-09-04,CD,2008-09-24,2,2008-11-07,2008-09-26,SIG
0.12634,2008-04-10,CD,2008-05-21,2,2008-07-03,2008-05-23,SIG
0.192,2007-09-07,CD,2007-09-26,2,2007-11-16,2007-09-28,SIG
1.2634,2007-05-02,CD,2007-05-30,2,2007-07-13,2007-06-01,SIG
0.1684,2006-09-11,CD,2006-09-20,2,2006-11-10,2006-09-22,SIG
1.0216,2006-04-18,CD,2006-05-31,2,2006-07-14,2006-06-02,SIG
0.1508,2005-09-08,CD,2005-10-05,2,2005-11-14,2005-10-07,SIG
0.9622,2005-04-25,CD,2005-06-08,2,2005-07-15,2005-06-10,SIG
0.4124,2004-09-29,CD,2004-10-06,2,2004-11-12,2004-10-08,SIG
0.7858,2004-04-23,CD,2004-06-02,2,2004-07-12,2004-06-04,SIG
0.1078,2003-08-29,CD,2003-10-08,2,2003-11-17,2003-10-10,SIG
0.5662,2003-04-25,CD,2003-06-04,2,2003-07-24,2003-06-06,SIG
0.0964,2002-08-30,CD,2002-10-09,2,2002-11-18,2002-10-11,SIG
0.431,2002-04-26,CD,2002-06-05,2,2002-07-15,2002-06-07,SIG
0.085,2001-08-31,CD,2001-10-10,2,2001-11-19,2001-10-12,SIG
0.3894,2001-04-27,CD,2001-06-06,2,2001-07-13,2001-06-08,SIG
0.0774,2000-09-01,CD,2000-10-11,2,2000-11-20,2000-10-13,SIG
0.384,2000-04-20,CD,2000-06-01,2,2000-07-13,2000-06-05,SIG
0.096,1991-08-30,CD,1991-10-09,2,1991-11-27,1991-10-15,SIG
0.29,1991-03-27,CD,1991-05-06,2,1991-08-13,1991-05-10,SIG
0.106,1990-08-22,CD,1990-10-01,2,1990-11-26,1990-10-05,SIG
0.078,1990-05-25,CD,1990-07-06,2,1990-07-26,1990-07-12,SIG
0.3074,1990-04-25,CD,1990-06-04,2,1990-07-20,1990-06-08,SIG
0.0706,1989-08-23,CD,1989-10-02,2,1989-11-27,1989-10-06,SIG
0.2134,1989-04-21,CD,1989-05-31,2,1989-07-21,1989-06-06,SIG
0.2014,1988-10-28,CD,1988-12-07,2,1988-12-13,1988-11-29,SIG
0.0666,1988-08-24,CD,1988-10-03,2,1988-11-28,1988-10-07,SIG
