cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.62381,2018-05-15,SC,2018-05-24,0,2018-05-31,2018-05-25,SKY
0.09,2011-07-27,CD,2011-09-14,4,2011-10-03,2011-09-16,SKY
0.09,2011-06-03,CD,2011-06-10,4,2011-07-01,2011-06-14,SKY
0.18,2011-03-04,CD,2011-03-11,4,2011-04-01,2011-03-15,SKY
0.18,2010-12-02,CD,2010-12-08,4,2011-01-03,2010-12-10,SKY
0.18,2010-07-24,CD,2010-09-13,4,2010-10-01,2010-09-15,SKY
0.18,2010-06-04,CD,2010-06-10,4,2010-07-01,2010-06-14,SKY
0.18,2010-03-02,CD,2010-03-11,4,2010-04-01,2010-03-15,SKY
0.18,2009-12-03,CD,2009-12-11,4,2010-01-04,2009-12-15,SKY
0.18,2009-07-24,CD,2009-09-11,4,2009-10-01,2009-09-15,SKY
0.18,2009-06-02,CD,2009-06-10,4,2009-07-01,2009-06-12,SKY
0.18,2009-03-04,CD,2009-03-11,4,2009-04-01,2009-03-13,SKY
0.18,2008-12-03,CD,2008-12-11,4,2009-01-02,2008-12-15,SKY
0.18,2008-07-25,CD,2008-09-11,4,2008-10-01,2008-09-15,SKY
0.18,2008-06-03,CD,2008-06-11,4,2008-07-01,2008-06-13,SKY
0.18,2008-03-03,CD,2008-03-12,4,2008-04-01,2008-03-14,SKY
0.18,2007-12-03,CD,2007-12-12,4,2008-01-02,2007-12-14,SKY
0.18,2007-07-25,CD,2007-09-12,4,2007-10-01,2007-09-14,SKY
0.18,2007-06-01,CD,2007-06-13,4,2007-07-02,2007-06-15,SKY
0.18,2007-03-01,CD,2007-03-14,4,2007-04-02,2007-03-16,SKY
0.18,2006-12-01,CD,2006-12-13,4,2007-01-01,2006-12-15,SKY
0.18,2006-07-24,CD,2006-09-12,4,2006-10-02,2006-09-14,SKY
2.0,2006-06-15,SC,2006-07-12,0,2006-08-01,2006-07-14,SKY
0.18,2006-06-01,CD,2006-06-12,4,2006-07-03,2006-06-14,SKY
0.18,2006-03-01,CD,2006-03-13,4,2006-04-03,2006-03-15,SKY
0.18,2005-12-01,CD,2005-12-14,4,2006-01-02,2005-12-16,SKY
0.18,2005-07-25,CD,2005-09-12,4,2005-10-01,2005-09-14,SKY
0.18,2005-06-01,CD,2005-06-10,4,2005-07-01,2005-06-14,SKY
0.18,2005-01-28,CD,2005-03-11,4,2005-04-01,2005-03-15,SKY
0.18,2004-12-01,CD,2004-12-15,4,2005-01-03,2004-12-17,SKY
1.0,2004-10-01,SC,2004-10-12,0,2004-11-01,2004-10-14,SKY
0.18,2004-07-14,CD,2004-09-09,4,2004-10-01,2004-09-13,SKY
0.18,2004-05-06,CD,2004-06-15,4,2004-07-01,2004-06-17,SKY
0.18,2004-03-03,CD,2004-03-15,4,2004-04-01,2004-03-17,SKY
0.18,2003-12-03,CD,2003-12-15,4,2004-01-02,2003-12-17,SKY
0.18,2003-08-01,CD,2003-09-10,4,2003-10-01,2003-09-12,SKY
0.18,2003-06-02,CD,2003-06-11,4,2003-07-01,2003-06-13,SKY
0.18,2003-03-04,CD,2003-03-13,4,2003-04-01,2003-03-17,SKY
0.18,2002-12-03,CD,2002-12-13,4,2003-01-02,2002-12-17,SKY
0.18,2002-07-11,CD,2002-09-11,4,2002-10-01,2002-09-13,SKY
0.18,2002-06-04,CD,2002-06-12,4,2002-07-01,2002-06-14,SKY
0.18,2002-03-04,CD,2002-03-13,4,2002-04-01,2002-03-15,SKY
0.18,2001-12-03,CD,2001-12-13,4,2002-01-02,2001-12-17,SKY
0.18,2001-07-12,CD,2001-09-07,4,2001-10-01,2001-09-11,SKY
0.18,2001-06-01,CD,2001-06-13,4,2001-07-02,2001-06-15,SKY
0.18,2001-03-01,CD,2001-03-14,4,2001-04-01,2001-03-16,SKY
0.18,2000-12-01,CD,2000-12-13,4,2001-01-02,2000-12-17,SKY
0.18,2000-07-13,CD,2000-09-07,4,2000-10-02,2000-09-11,SKY
0.18,2000-06-01,CD,2000-06-14,4,2000-07-01,2000-06-16,SKY
0.18,2000-03-01,CD,2000-03-15,4,2000-04-01,2000-03-17,SKY
0.18,1999-12-01,CD,1999-12-15,4,2000-01-03,1999-12-17,SKY
0.18,1999-07-15,CD,1999-09-09,4,1999-10-01,1999-09-13,SKY
0.18,1999-06-01,CD,1999-06-16,4,1999-07-01,1999-06-18,SKY
0.18,1999-03-01,CD,1999-03-15,4,1999-04-01,1999-03-17,SKY
0.18,1998-11-16,CD,1998-12-15,4,1999-01-02,1998-12-17,SKY
0.15,1998-07-16,CD,1998-09-09,4,1998-10-01,1998-09-11,SKY
0.15,1998-06-01,CD,1998-06-16,4,1998-07-01,1998-06-18,SKY
0.15,1998-03-02,CD,1998-03-13,4,1998-04-01,1998-03-17,SKY
0.15,1997-12-01,CD,1997-12-15,4,1998-01-02,1997-12-17,SKY
