cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.66,2022-08-02,CD,2022-08-25,4,2022-09-09,2022-08-26,SMG
0.66,2022-04-25,CD,2022-05-26,4,2022-06-10,2022-05-27,SMG
0.66,2022-01-24,CD,2022-02-23,4,2022-03-10,2022-02-24,SMG
0.66,2021-11-02,CD,2021-11-26,4,2021-12-10,2021-11-29,SMG
0.66,2021-07-30,CD,2021-08-26,4,2021-09-10,2021-08-27,SMG
0.62,2021-04-27,CD,2021-05-26,4,2021-06-10,2021-05-27,SMG
0.62,2021-01-25,CD,2021-02-23,4,2021-03-10,2021-02-24,SMG
0.62,2020-11-05,CD,2020-11-27,4,2020-12-10,2020-11-30,SMG
5.0,2020-07-29,SC,2020-08-26,0,2020-09-10,2020-08-27,SMG
0.62,2020-07-29,CD,2020-08-26,4,2020-09-10,2020-08-27,SMG
0.58,2020-04-27,CD,2020-05-26,4,2020-06-10,2020-05-27,SMG
0.58,2020-01-27,CD,2020-02-24,4,2020-03-10,2020-02-25,SMG
0.58,2019-11-05,CD,2019-11-25,4,2019-12-10,2019-11-26,SMG
0.58,2019-08-01,CD,2019-08-26,4,2019-09-10,2019-08-27,SMG
0.55,2019-04-29,CD,2019-05-24,4,2019-06-10,2019-05-28,SMG
0.55,2019-01-28,CD,2019-02-21,4,2019-03-08,2019-02-22,SMG
0.55,2018-11-07,CD,2018-11-23,4,2018-12-10,2018-11-26,SMG
0.55,2018-08-07,CD,2018-08-24,4,2018-09-10,2018-08-27,SMG
0.53,2018-05-01,CD,2018-05-24,4,2018-06-08,2018-05-25,SMG
0.53,2018-01-26,CD,2018-02-22,4,2018-03-09,2018-02-23,SMG
0.53,2017-11-02,CD,2017-11-22,4,2017-12-08,2017-11-24,SMG
0.53,2017-08-01,CD,2017-08-23,4,2017-09-08,2017-08-25,SMG
0.5,2017-05-01,CD,2017-05-24,4,2017-06-09,2017-05-26,SMG
0.5,2017-01-27,CD,2017-02-22,4,2017-03-10,2017-02-24,SMG
0.5,2016-11-02,CD,2016-11-22,4,2016-12-09,2016-11-25,SMG
0.5,2016-08-03,CD,2016-08-24,4,2016-09-09,2016-08-26,SMG
0.47,2016-04-29,CD,2016-05-25,4,2016-06-10,2016-05-27,SMG
0.47,2016-01-28,CD,2016-02-23,4,2016-03-10,2016-02-25,SMG
0.47,2015-10-27,CD,2015-11-23,4,2015-12-10,2015-11-25,SMG
0.47,2015-08-04,CD,2015-08-25,4,2015-09-10,2015-08-27,SMG
0.45,2015-05-01,CD,2015-05-22,4,2015-06-10,2015-05-27,SMG
0.45,2015-01-30,CD,2015-02-20,4,2015-03-10,2015-02-24,SMG
0.45,2014-10-28,CD,2014-11-24,4,2014-12-10,2014-11-26,SMG
2.0,2014-08-11,SC,2014-08-29,0,2014-09-17,2014-09-03,SMG
0.45,2014-08-11,CD,2014-08-25,4,2014-09-10,2014-08-27,SMG
0.4375,2014-05-02,CD,2014-05-22,4,2014-06-10,2014-05-27,SMG
0.4375,2014-01-30,CD,2014-02-20,4,2014-03-10,2014-02-24,SMG
0.4375,2013-11-01,CD,2013-11-22,4,2013-12-10,2013-11-26,SMG
0.4375,2013-08-06,CD,2013-08-23,4,2013-09-10,2013-08-27,SMG
0.325,2013-05-13,CD,2013-05-23,4,2013-06-10,2013-05-28,SMG
