cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
1.874990625,2020-01-29,CD,2020-02-06,4,2020-02-14,2020-02-07,SMLP
4.3124784376,2019-10-24,CD,2019-11-06,4,2019-11-14,2019-11-07,SMLP
4.3124784376,2019-07-25,CD,2019-08-06,4,2019-08-14,2019-08-07,SMLP
4.3124784376,2019-04-25,CD,2019-05-07,4,2019-05-15,2019-05-08,SMLP
8.6249568752,2019-01-24,CD,2019-02-06,4,2019-02-14,2019-02-07,SMLP
8.6249568752,2018-10-25,CD,2018-11-06,4,2018-11-14,2018-11-07,SMLP
8.6249568752,2018-07-27,CD,2018-08-06,4,2018-08-14,2018-08-07,SMLP
8.6249568752,2018-04-26,CD,2018-05-07,4,2018-05-15,2018-05-08,SMLP
8.6249568752,2018-01-29,CD,2018-02-06,4,2018-02-14,2018-02-07,SMLP
8.6249568752,2017-10-27,CD,2017-11-06,4,2017-11-14,2017-11-07,SMLP
8.6249568752,2017-07-27,CD,2017-08-03,4,2017-08-14,2017-08-07,SMLP
8.6249568752,2017-04-26,CD,2017-05-04,4,2017-05-15,2017-05-08,SMLP
8.6249568752,2017-01-23,CD,2017-02-03,4,2017-02-14,2017-02-07,SMLP
8.6249568752,2016-10-27,CD,2016-11-03,4,2016-11-14,2016-11-07,SMLP
8.6249568752,2016-07-21,CD,2016-08-03,4,2016-08-12,2016-08-05,SMLP
8.6249568752,2016-04-21,CD,2016-05-04,4,2016-05-13,2016-05-06,SMLP
8.6249568752,2016-01-21,CD,2016-02-03,4,2016-02-12,2016-02-05,SMLP
8.6249568752,2015-10-22,CD,2015-11-04,4,2015-11-13,2015-11-06,SMLP
8.5499572502,2015-07-24,CD,2015-08-05,4,2015-08-14,2015-08-07,SMLP
8.4749576252,2015-04-23,CD,2015-05-06,4,2015-05-15,2015-05-08,SMLP
8.3999580002,2015-01-22,CD,2015-02-04,4,2015-02-13,2015-02-06,SMLP
8.0999595002,2014-10-23,CD,2014-11-05,4,2014-11-14,2014-11-07,SMLP
7.7999610002,2014-07-24,CD,2014-08-05,4,2014-08-14,2014-08-07,SMLP
7.4999625002,2014-04-24,CD,2014-05-06,4,2014-05-15,2014-05-08,SMLP
7.1999640002,2014-01-23,CD,2014-02-05,4,2014-02-14,2014-02-07,SMLP
6.8999655002,2013-10-25,CD,2013-11-05,4,2013-11-14,2013-11-07,SMLP
6.5249673752,2013-07-25,CD,2013-08-05,4,2013-08-14,2013-08-07,SMLP
6.2999685002,2013-04-25,CD,2013-05-06,4,2013-05-15,2013-05-08,SMLP
6.1499692502,2013-01-23,CD,2013-02-05,4,2013-02-14,2013-02-07,SMLP
