cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.49,2022-07-20,CD,2022-08-09,4,2022-09-09,2022-08-10,SON
0.49,2022-04-20,CD,2022-05-09,4,2022-06-10,2022-05-10,SON
0.45,2022-02-09,CD,2022-02-22,4,2022-03-10,2022-02-23,SON
0.45,2021-10-18,CD,2021-11-09,4,2021-12-10,2021-11-10,SON
0.45,2021-07-21,CD,2021-08-09,4,2021-09-10,2021-08-10,SON
0.45,2021-04-21,CD,2021-05-07,4,2021-06-10,2021-05-10,SON
0.45,2021-02-10,CD,2021-02-23,4,2021-03-10,2021-02-24,SON
0.43,2020-10-19,CD,2020-11-09,4,2020-12-10,2020-11-10,SON
0.43,2020-07-15,CD,2020-08-07,4,2020-09-10,2020-08-10,SON
0.43,2020-04-15,CD,2020-05-07,4,2020-06-10,2020-05-08,SON
0.43,2020-02-12,CD,2020-02-25,4,2020-03-10,2020-02-26,SON
0.43,2019-10-14,CD,2019-11-07,4,2019-12-10,2019-11-08,SON
0.43,2019-07-17,CD,2019-08-08,4,2019-09-10,2019-08-09,SON
0.43,2019-04-17,CD,2019-05-09,4,2019-06-10,2019-05-10,SON
0.41,2019-02-13,CD,2019-02-26,4,2019-03-08,2019-02-27,SON
0.41,2018-10-15,CD,2018-11-08,4,2018-12-10,2018-11-09,SON
0.41,2018-07-18,CD,2018-08-09,4,2018-09-10,2018-08-10,SON
0.41,2018-04-19,CD,2018-05-10,4,2018-06-08,2018-05-11,SON
0.39,2018-02-20,CD,2018-02-27,4,2018-03-09,2018-02-28,SON
0.39,2017-10-16,CD,2017-11-09,4,2017-12-08,2017-11-10,SON
0.39,2017-07-19,CD,2017-08-09,4,2017-09-08,2017-08-11,SON
0.39,2017-04-20,CD,2017-05-10,4,2017-06-09,2017-05-12,SON
0.37,2017-02-08,CD,2017-02-17,4,2017-03-10,2017-02-22,SON
0.37,2016-10-18,CD,2016-11-08,4,2016-12-09,2016-11-11,SON
0.37,2016-07-20,CD,2016-08-10,4,2016-09-09,2016-08-12,SON
0.37,2016-04-22,CD,2016-05-11,4,2016-06-10,2016-05-13,SON
0.35,2016-02-10,CD,2016-02-22,4,2016-03-10,2016-02-24,SON
0.35,2015-10-19,CD,2015-11-10,4,2015-12-10,2015-11-13,SON
0.35,2015-07-15,CD,2015-08-12,4,2015-09-10,2015-08-14,SON
0.35,2015-04-15,CD,2015-05-13,4,2015-06-10,2015-05-16,SON
0.32,2015-02-11,CD,2015-02-23,4,2015-03-10,2015-02-25,SON
0.32,2014-10-13,CD,2014-11-12,4,2014-12-10,2014-11-14,SON
0.32,2014-07-16,CD,2014-08-13,4,2014-09-10,2014-08-15,SON
0.32,2014-04-16,CD,2014-05-14,4,2014-06-10,2014-05-16,SON
0.31,2014-02-12,CD,2014-02-24,4,2014-03-10,2014-02-26,SON
0.31,2013-10-14,CD,2013-11-13,4,2013-12-10,2013-11-15,SON
0.31,2013-07-17,CD,2013-08-14,4,2013-09-10,2013-08-16,SON
0.31,2013-04-17,CD,2013-05-15,4,2013-06-10,2013-05-17,SON
0.3,2013-02-13,CD,2013-02-25,4,2013-03-08,2013-02-27,SON
0.3,2012-10-16,CD,2012-11-14,4,2012-12-10,2012-11-16,SON
0.3,2012-07-19,CD,2012-08-15,4,2012-09-10,2012-08-17,SON
0.3,2012-04-19,CD,2012-05-16,4,2012-06-08,2012-05-18,SON
0.29,2012-02-08,CD,2012-02-15,4,2012-03-09,2012-02-17,SON
0.29,2011-10-18,CD,2011-11-16,4,2011-12-09,2011-11-18,SON
0.29,2011-07-21,CD,2011-08-17,4,2011-09-09,2011-08-19,SON
0.29,2011-04-21,CD,2011-05-11,4,2011-06-10,2011-05-13,SON
0.28,2011-02-10,CD,2011-02-16,4,2011-03-10,2011-02-18,SON
0.28,2010-10-19,CD,2010-11-17,4,2010-12-10,2010-11-19,SON
0.28,2010-07-22,CD,2010-08-18,4,2010-09-10,2010-08-20,SON
0.28,2010-04-22,CD,2010-05-12,4,2010-06-10,2010-05-14,SON
0.27,2010-02-10,CD,2010-02-17,4,2010-03-10,2010-02-19,SON
0.27,2009-10-20,CD,2009-11-18,4,2009-12-10,2009-11-20,SON
0.27,2009-07-16,CD,2009-08-19,4,2009-09-10,2009-08-21,SON
0.27,2009-04-16,CD,2009-05-13,4,2009-06-10,2009-05-15,SON
0.27,2009-02-04,CD,2009-02-18,4,2009-03-10,2009-02-20,SON
0.27,2008-10-14,CD,2008-11-19,4,2008-12-10,2008-11-21,SON
0.27,2008-07-17,CD,2008-08-13,4,2008-09-10,2008-08-15,SON
0.27,2008-04-16,CD,2008-05-14,4,2008-06-10,2008-05-16,SON
0.26,2008-02-06,CD,2008-02-20,4,2008-03-10,2008-02-22,SON
0.26,2007-10-16,CD,2007-11-14,4,2007-12-10,2007-11-16,SON
0.26,2007-07-18,CD,2007-08-15,4,2007-09-10,2007-08-17,SON
0.26,2007-04-18,CD,2007-05-16,4,2007-06-08,2007-05-18,SON
0.24,2007-02-07,CD,2007-02-21,4,2007-03-09,2007-02-23,SON
0.24,2006-10-16,CD,2006-11-15,4,2006-12-08,2006-11-17,SON
0.24,2006-07-19,CD,2006-08-16,4,2006-09-08,2006-08-18,SON
0.24,2006-04-19,CD,2006-05-17,4,2006-06-09,2006-05-19,SON
0.23,2006-02-01,CD,2006-02-15,4,2006-03-10,2006-02-17,SON
0.23,2005-10-17,CD,2005-11-16,4,2005-12-09,2005-11-18,SON
0.23,2005-07-20,CD,2005-08-17,4,2005-09-09,2005-08-19,SON
0.23,2005-04-20,CD,2005-05-18,4,2005-06-10,2005-05-20,SON
0.22,2005-01-07,CD,2005-02-16,4,2005-03-10,2005-02-18,SON
0.22,2004-10-18,CD,2004-11-17,4,2004-12-10,2004-11-19,SON
0.22,2004-07-21,CD,2004-08-18,4,2004-09-10,2004-08-20,SON
0.22,2004-04-21,CD,2004-05-19,4,2004-06-10,2004-05-21,SON
0.21,2004-01-09,CD,2004-02-18,4,2004-03-10,2004-02-20,SON
0.21,2003-10-14,CD,2003-11-19,4,2003-12-10,2003-11-21,SON
0.21,2003-07-16,CD,2003-08-13,4,2003-09-10,2003-08-15,SON
0.21,2003-04-16,CD,2003-05-14,4,2003-06-10,2003-05-16,SON
