cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.26,2022-08-01,CD,2022-08-11,4,2022-08-26,2022-08-12,SRL
0.27,2022-04-29,CD,2022-05-09,4,2022-05-23,2022-05-10,SRL
0.18,2022-02-09,CD,2022-02-17,4,2022-03-04,2022-02-21,SRL
0.254841998,2014-12-18,CD,2014-12-24,4,2015-01-05,2014-12-29,SRL
0.254841998,2014-10-06,CD,2014-10-14,4,2014-10-27,2014-10-16,SRL
0.254841998,2014-07-17,CD,2014-07-24,4,2014-08-08,2014-07-28,SRL
0.254841998,2014-03-31,CD,2014-04-08,4,2014-04-22,2014-04-10,SRL
0.254841998,2013-10-04,CD,2013-10-10,4,2013-10-28,2013-10-15,SRL
0.254841998,2013-07-09,CD,2013-07-17,4,2013-07-30,2013-07-19,SRL
0.254841998,2013-04-01,CD,2013-04-10,4,2013-04-22,2013-04-12,SRL
0.254841998,2013-01-14,CD,2013-01-23,4,2013-02-08,2013-01-25,SRL
0.254841998,2012-10-05,CD,2012-10-11,4,2012-10-26,2012-10-15,SRL
0.254841998,2012-06-21,CD,2012-06-28,4,2012-07-13,2012-07-02,SRL
0.2123683317,2012-03-21,CD,2012-03-28,4,2012-04-10,2012-03-30,SRL
0.2123683317,2012-01-18,CD,2012-01-25,4,2012-02-10,2012-01-27,SRL
0.2123683317,2011-09-20,CD,2011-09-28,4,2011-10-11,2011-09-30,SRL
0.2123683317,2011-06-21,CD,2011-06-28,4,2011-07-11,2011-06-30,SRL
0.2123683317,2011-03-16,CD,2011-03-29,4,2011-04-11,2011-03-31,SRL
0.2123683317,2011-02-09,CD,2011-01-18,4,2011-01-31,2011-01-20,SRL
0.040430703,1998-06-02,CD,1998-06-10,4,1998-06-25,1998-06-12,SRL
0.0202153513,1997-05-12,CD,1997-06-10,4,1997-06-25,1997-06-12,SRL
