cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.0075,2000-04-05,CD,2000-04-18,4,2000-05-05,2000-04-20,SWN
0.0075,2000-01-05,CD,2000-01-18,4,2000-02-04,2000-01-20,SWN
0.0075,1999-10-07,CD,1999-10-18,4,1999-11-05,1999-10-20,SWN
0.0075,1999-07-07,CD,1999-07-16,4,1999-08-05,1999-07-20,SWN
0.0075,1999-03-27,CD,1999-04-16,4,1999-05-05,1999-04-20,SWN
0.0075,1999-01-06,CD,1999-01-15,4,1999-02-05,1999-01-20,SWN
0.0075,1998-09-04,CD,1998-10-16,4,1998-11-05,1998-10-20,SWN
0.0075,1998-06-04,CD,1998-07-16,4,1998-08-05,1998-07-20,SWN
0.0075,1998-04-03,CD,1998-04-16,4,1998-05-05,1998-04-20,SWN
0.0075,1997-12-04,CD,1998-01-15,4,1998-02-05,1998-01-20,SWN
0.0075,1997-10-01,CD,1997-10-16,4,1997-11-05,1997-10-20,SWN
0.0075,1997-07-09,CD,1997-07-17,4,1997-08-05,1997-07-21,SWN
0.0075,1997-04-09,CD,1997-04-17,4,1997-05-05,1997-04-21,SWN
0.0075,1997-01-09,CD,1997-01-15,4,1997-02-05,1997-01-20,SWN
0.0075,1996-10-09,CD,1996-10-17,4,1996-11-05,1996-10-21,SWN
0.0075,1996-07-10,CD,1996-07-17,4,1996-08-05,1996-07-19,SWN
0.0075,1996-04-10,CD,1996-04-17,4,1996-05-03,1996-04-19,SWN
0.0075,1996-01-11,CD,1996-01-17,4,1996-02-05,1996-01-19,SWN
0.0075,1995-10-05,CD,1995-10-18,4,1995-11-03,1995-10-20,SWN
0.0075,1995-07-11,CD,1995-07-18,4,1995-08-04,1995-07-20,SWN
0.0075,1995-04-06,CD,1995-04-13,4,1995-05-05,1995-04-20,SWN
0.0075,1995-01-06,CD,1995-01-13,4,1995-02-03,1995-01-20,SWN
0.015,1994-10-06,CD,1994-10-14,4,1994-11-04,1994-10-20,SWN
0.015,1994-07-11,CD,1994-07-14,4,1994-08-05,1994-07-20,SWN
0.015,1994-04-08,CD,1994-04-14,4,1994-05-05,1994-04-20,SWN
0.015,1994-01-06,CD,1994-01-13,4,1994-02-04,1994-01-20,SWN
0.015,1993-10-07,CD,1993-10-14,4,1993-11-05,1993-10-20,SWN
0.015015,1993-06-04,CD,1993-07-14,4,1970-01-01,1993-07-12,SWN
0.0125125,1993-03-05,CD,1993-04-14,4,1970-01-01,1993-04-12,SWN
0.0125125,1992-12-04,CD,1993-01-13,4,1970-01-01,1993-01-11,SWN
0.0125125,1992-09-04,CD,1992-10-14,4,1970-01-01,1992-10-12,SWN
0.0125125,1992-06-04,CD,1992-07-14,4,1970-01-01,1992-07-10,SWN
0.0125125,1992-03-04,CD,1992-04-13,4,1970-01-01,1992-04-09,SWN
0.0125125,1991-12-04,CD,1992-01-13,4,1970-01-01,1992-01-09,SWN
0.0117117084,1991-09-05,CD,1991-10-15,4,1970-01-01,1991-10-11,SWN
0.0117117084,1991-06-05,CD,1991-07-15,4,1970-01-01,1991-07-11,SWN
0.0117117084,1991-03-06,CD,1991-04-15,4,1970-01-01,1991-04-11,SWN
0.0117117084,1990-12-05,CD,1991-01-14,4,1970-01-01,1991-01-10,SWN
0.0117117084,1990-09-05,CD,1990-10-15,4,1970-01-01,1990-10-11,SWN
0.0117117084,1990-06-06,CD,1990-07-16,4,1970-01-01,1990-07-12,SWN
0.0117117084,1990-03-07,CD,1990-04-16,4,1970-01-01,1990-04-12,SWN
0.0117117084,1989-12-01,CD,1990-01-12,4,1970-01-01,1990-01-10,SWN
0.0117117084,1989-09-06,CD,1989-10-16,4,1970-01-01,1989-10-12,SWN
0.0117117084,1989-06-02,CD,1989-07-14,4,1970-01-01,1989-07-12,SWN
0.0117117084,1989-03-03,CD,1989-04-14,4,1970-01-01,1989-04-12,SWN
0.0117117084,1988-12-02,CD,1989-01-13,4,1970-01-01,1989-01-11,SWN
0.0117117084,1988-09-02,CD,1988-10-14,4,1970-01-01,1988-10-12,SWN
0.0117117084,1988-06-02,CD,1988-07-14,4,1970-01-01,1988-07-12,SWN
0.0117117084,1988-03-03,CD,1988-04-14,4,1970-01-01,1988-04-12,SWN
0.0117117084,1987-12-04,CD,1988-01-13,4,1970-01-01,1988-01-11,SWN
0.0117117084,1987-09-04,CD,1987-10-14,4,1970-01-01,1987-10-12,SWN
0.0117117084,1987-06-04,CD,1987-07-14,4,1970-01-01,1987-07-10,SWN
0.0117117084,1987-03-05,CD,1987-04-16,4,1970-01-01,1987-04-14,SWN
0.0117117084,1987-03-04,CD,1987-04-13,4,1970-01-01,1987-04-09,SWN
0.0117117084,1986-12-04,CD,1987-01-13,4,1970-01-01,1987-01-09,SWN
0.0109109167,1986-09-04,CD,1986-10-14,4,1970-01-01,1986-10-10,SWN
0.0109109167,1986-06-05,CD,1986-07-15,4,1970-01-01,1986-07-11,SWN
0.0109109167,1986-03-06,CD,1986-04-15,4,1970-01-01,1986-04-11,SWN
0.0109109167,1985-12-04,CD,1986-01-13,4,1970-01-01,1986-01-09,SWN
0.0109109167,1985-09-05,CD,1985-10-15,4,1970-01-01,1985-10-11,SWN
0.0109109167,1985-06-05,CD,1985-07-15,4,1970-01-01,1985-07-11,SWN
0.0109109167,1985-03-07,CD,1985-04-16,4,1970-01-01,1985-04-12,SWN
0.0109109167,1984-12-05,CD,1985-01-14,4,1970-01-01,1985-01-10,SWN
