cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.058,2022-05-10,CD,2022-06-29,4,2022-07-15,2022-06-30,TCN
0.058,2022-03-02,CD,2022-03-30,4,2022-04-15,2022-03-31,TCN
0.058,2021-10-05,CD,2021-12-30,4,2022-01-15,2021-12-31,TCN
0.07,2021-08-11,CD,2021-09-28,4,2021-10-15,2021-09-30,TCN
0.07,2021-05-12,CD,2021-06-29,4,2021-07-15,2021-06-30,TCN
0.07,2021-03-05,CD,2021-03-30,4,2021-04-15,2021-03-31,TCN
0.07,2020-11-11,CD,2020-12-30,4,2021-01-15,2020-12-31,TCN
0.07,2020-08-05,CD,2020-09-29,4,2020-10-15,2020-09-30,TCN
0.07,2020-05-14,CD,2020-06-29,4,2020-07-15,2020-06-30,TCN
0.07,2020-02-26,CD,2020-03-30,4,2020-04-15,2020-03-31,TCN
0.07,2019-11-06,CD,2019-12-30,4,2020-01-15,2019-12-31,TCN
0.07,2019-08-07,CD,2019-09-27,4,2019-10-15,2019-09-30,TCN
0.07,2019-05-07,CD,2019-06-27,4,2019-07-15,2019-06-30,TCN
0.07,2019-02-27,CD,2019-03-28,4,2019-04-15,2019-03-31,TCN
0.07,2018-12-08,CD,2018-12-28,4,2019-01-15,2018-12-31,TCN
0.07,2018-08-08,CD,2018-09-27,4,2018-10-15,2018-09-30,TCN
0.07,2018-06-08,CD,2018-06-28,4,2018-07-15,2018-06-30,TCN
0.07,2018-02-28,CD,2018-03-28,4,2018-04-15,2018-03-31,TCN
0.065,2017-11-08,CD,2017-12-28,4,2018-01-15,2017-12-31,TCN
0.065,2017-08-10,CD,2017-09-28,4,2017-10-15,2017-09-30,TCN
0.065,2017-06-08,CD,2017-06-28,4,2017-07-14,2017-06-30,TCN
0.065,2017-03-09,CD,2017-03-29,4,2017-04-14,2017-03-31,TCN
0.065,2016-11-09,CD,2016-12-29,4,2017-01-13,2016-12-31,TCN
0.065,2016-08-10,CD,2016-09-28,4,2016-10-15,2016-09-30,TCN
0.065,2016-05-11,CD,2016-06-28,4,2016-07-15,2016-06-30,TCN
0.065,2016-03-09,CD,2016-03-29,4,2016-04-15,2016-03-31,TCN
0.06,2015-11-12,CD,2015-12-29,4,2016-01-15,2015-12-31,TCN
0.06,2015-09-08,CD,2015-09-28,4,2015-10-15,2015-09-30,TCN
0.06,2015-05-12,CD,2015-06-26,4,2015-07-15,2015-06-30,TCN
0.06,2015-03-07,CD,2015-03-27,4,2015-04-15,2015-03-31,TCN
0.06,2014-12-14,CD,2014-12-29,4,2015-01-15,2014-12-31,TCN
0.06,2014-08-13,CD,2014-09-26,4,2014-10-15,2014-09-30,TCN
0.06,2014-05-12,CD,2014-06-26,4,2014-07-15,2014-06-30,TCN
0.06,2014-03-05,CD,2014-03-27,4,2014-04-15,2014-03-31,TCN
0.06,2013-11-12,CD,2013-12-27,4,2014-01-15,2013-12-31,TCN
0.06,2013-08-13,CD,2013-09-26,4,2013-10-15,2013-09-30,TCN
