cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.075,2022-08-04,CD,2022-09-29,4,2022-10-31,2022-09-30,TGLS
0.065,2022-06-02,CD,2022-06-29,4,2022-07-29,2022-06-30,TGLS
0.065,2022-03-16,CD,2022-03-30,4,2022-04-29,2022-03-31,TGLS
0.065,2021-12-08,CD,2021-12-30,4,2022-01-31,2021-12-31,TGLS
0.0275,2021-08-30,CD,2021-09-29,4,2021-10-29,2021-09-30,TGLS
0.0275,2021-06-07,CD,2021-06-29,4,2021-07-30,2021-06-30,TGLS
0.0275,2021-03-09,CD,2021-03-30,4,2021-04-30,2021-03-31,TGLS
0.0275,2020-12-08,CD,2020-12-30,4,2021-01-29,2020-12-31,TGLS
0.0275,2020-09-14,CD,2020-09-29,4,2020-10-30,2020-09-30,TGLS
0.0275,2020-06-23,CD,2020-07-07,4,2020-07-31,2020-07-08,TGLS
0.0275,2020-03-02,CD,2020-03-30,4,2020-04-30,2020-03-31,TGLS
0.14,2019-11-06,CD,2019-11-27,4,2019-12-20,2019-11-29,TGLS
0.14,2019-07-02,CD,2019-07-30,4,2019-08-30,2019-07-31,TGLS
0.14,2019-04-08,CD,2019-04-29,4,2019-05-26,2019-04-30,TGLS
0.14,2019-01-09,CD,2019-01-30,4,2019-02-28,2019-01-31,TGLS
0.14,2018-09-07,CD,2018-10-25,4,2018-11-19,2018-10-26,TGLS
0.14,2018-06-19,CD,2018-06-28,4,2018-07-31,2018-06-29,TGLS
0.14,2018-03-08,CD,2018-03-28,4,2018-04-30,2018-03-29,TGLS
0.14,2017-12-07,CD,2017-12-28,4,2018-01-26,2017-12-29,TGLS
0.14,2017-05-11,CD,2017-09-28,4,2017-10-27,2017-09-29,TGLS
0.125,2017-05-11,CD,2017-06-28,4,2017-07-28,2017-06-30,TGLS
0.125,2017-03-13,CD,2017-03-29,4,2017-04-28,2017-03-31,TGLS
0.125,2016-12-07,CD,2016-12-27,4,2017-02-01,2016-12-29,TGLS
0.125,2016-08-04,CD,2016-09-21,4,2016-11-01,2016-09-23,TGLS
