cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
3.0,2022-08-03,CD,2022-09-07,4,2022-09-15,2022-09-08,TPL
3.0,2022-05-05,CD,2022-06-07,4,2022-06-15,2022-06-08,TPL
20.0,2022-05-03,SC,2022-06-07,0,2022-06-15,2022-06-08,TPL
3.0,2022-02-11,CD,2022-03-07,4,2022-03-15,2022-03-08,TPL
2.75,2021-10-28,CD,2021-12-07,4,2021-12-15,2021-12-08,TPL
2.75,2021-08-05,CD,2021-09-07,4,2021-09-15,2021-09-08,TPL
2.75,2021-05-08,CD,2021-06-07,4,2021-06-15,2021-06-08,TPL
2.75,2021-03-02,CD,2021-03-05,4,2021-03-15,2021-03-08,TPL
10.0,2020-11-23,SC,2020-12-10,0,2020-12-17,2020-12-11,TPL
10.0,2020-02-24,CD,2020-03-06,1,2020-03-16,2020-03-09,TPL
6.0,2020-02-24,SC,2020-03-06,0,2020-03-16,2020-03-09,TPL
4.25,2019-02-26,SC,2019-03-07,0,2019-03-15,2019-03-08,TPL
1.75,2019-02-26,CD,2019-03-07,1,2019-03-15,2019-03-08,TPL
3.0,2018-02-21,SC,2018-03-08,0,2018-03-16,2018-03-09,TPL
1.05,2018-02-21,CD,2018-03-08,1,2018-03-16,2018-03-09,TPL
1.0,2017-02-22,SC,2017-03-07,0,2017-03-16,2017-03-09,TPL
0.35,2017-02-22,CD,2017-03-07,1,2017-03-16,2017-03-09,TPL
0.31,2016-02-26,CD,2016-03-07,1,2016-03-16,2016-03-09,TPL
0.29,2015-02-25,CD,2015-03-05,1,2015-03-16,2015-03-09,TPL
0.27,2014-02-21,CD,2014-03-04,1,2014-03-14,2014-03-06,TPL
0.27,2013-02-21,CD,2013-03-04,1,2013-03-14,2013-03-06,TPL
0.25,2012-12-04,CD,2012-12-12,1,2012-12-21,2012-12-14,TPL
0.23,2012-02-25,CD,2012-03-02,1,2012-03-14,2012-03-06,TPL
0.21,2011-02-19,CD,2011-03-02,1,2011-03-11,2011-03-04,TPL
0.2,2010-02-25,CD,2010-03-10,1,2010-03-24,2010-03-12,TPL
0.19,2009-03-02,CD,2009-03-10,1,2009-03-23,2009-03-12,TPL
0.18,2008-02-25,CD,2008-03-05,1,2008-03-17,2008-03-07,TPL
0.16,2007-02-23,CD,2007-03-05,1,2007-03-15,2007-03-07,TPL
0.42,2006-11-14,SC,2006-11-22,0,2006-12-07,2006-11-27,TPL
0.13,2006-02-24,CD,2006-03-03,1,2006-03-15,2006-03-07,TPL
0.11,2005-01-21,CD,2005-03-04,1,2005-03-15,2005-03-08,TPL
0.35,2004-09-30,SC,2004-10-06,0,2004-10-14,2004-10-08,TPL
0.1,2004-01-23,CD,2004-03-03,1,2004-03-12,2004-03-05,TPL
0.07,2003-08-18,SC,2003-08-22,0,2003-09-08,2003-08-26,TPL
0.08,2003-02-25,CD,2003-03-05,1,2003-03-14,2003-03-07,TPL
0.08,2002-01-25,CD,2002-03-06,1,2002-03-15,2002-03-08,TPL
0.12,2001-03-08,CD,2001-03-28,1,2001-03-31,2001-03-30,TPL
0.08,2000-02-25,CD,2000-03-06,1,2000-03-15,2000-03-08,TPL
0.08,1999-02-26,CD,1999-03-04,1,1999-03-15,1999-03-08,TPL
0.08,1998-02-25,CD,1998-03-05,1,1998-03-16,1998-03-09,TPL
0.08,1997-02-24,CD,1997-03-05,1,1997-03-14,1997-03-07,TPL
0.08,1996-02-28,CD,1996-03-07,1,1996-03-15,1996-03-11,TPL
0.08,1995-02-28,CD,1995-03-06,1,1995-03-15,1995-03-10,TPL
0.08,1994-02-23,CD,1994-03-07,1,1994-03-15,1994-03-11,TPL
0.08,1993-02-24,CD,1993-03-05,1,1993-03-15,1993-03-11,TPL
0.08,1992-02-27,CD,1992-03-06,1,1992-03-16,1992-03-12,TPL
0.08,1991-02-28,CD,1991-03-06,1,1991-03-15,1991-03-12,TPL
0.08,1990-02-28,CD,1990-03-06,1,1990-03-15,1990-03-12,TPL
0.08,1989-02-23,CD,1989-02-28,1,1989-03-13,1989-03-06,TPL
0.08,1988-02-24,CD,1988-03-01,1,1988-03-14,1988-03-07,TPL
0.08,1987-02-24,CD,1987-02-26,1,1987-03-12,1987-03-04,TPL
0.08,1986-02-25,CD,1986-02-26,1,1986-03-12,1986-03-04,TPL
0.08,1985-02-21,CD,1985-02-26,1,1985-03-12,1985-03-04,TPL
0.08,1984-02-08,CD,1984-02-28,1,1984-03-12,1984-03-05,TPL
0.07,1983-02-08,CD,1983-02-28,1,1983-03-11,1983-03-04,TPL
0.06,1982-02-02,CD,1982-02-22,1,1982-03-11,1982-02-26,TPL
0.05,1981-02-03,SC,1981-02-23,0,1981-03-12,1981-02-27,TPL
