cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.0237265678,1999-09-27,CD,1999-11-17,2,1999-12-10,1999-11-19,TRC
0.0237265678,1999-05-04,CD,1999-05-12,2,1999-06-18,1999-05-14,TRC
0.0237265678,1998-08-26,CD,1998-11-18,2,1998-12-04,1998-11-20,TRC
0.0237265678,1998-03-26,CD,1998-05-13,2,1998-06-19,1998-05-15,TRC
0.0237265678,1997-08-28,CD,1997-11-19,2,1997-12-05,1997-11-21,TRC
0.0237265678,1997-04-16,CD,1997-05-12,2,1997-06-16,1997-05-14,TRC
0.0189812542,1996-09-05,CD,1996-11-20,2,1996-12-06,1996-11-22,TRC
0.0237265678,1996-03-20,CD,1996-05-13,2,1996-06-17,1996-05-15,TRC
0.0237265678,1995-08-29,CD,1995-11-21,2,1995-12-08,1995-11-24,TRC
0.0237265678,1995-04-06,CD,1995-05-18,2,1970-01-01,1995-05-16,TRC
0.0237265678,1994-08-29,CD,1994-11-18,2,1994-12-09,1994-11-25,TRC
0.0237265678,1994-03-04,CD,1994-05-16,2,1994-06-08,1994-05-20,TRC
0.0237265678,1993-08-26,CD,1993-11-18,2,1993-12-08,1993-11-24,TRC
0.0237265678,1993-03-05,CD,1993-05-17,2,1993-06-09,1993-05-21,TRC
0.0237265678,1992-11-09,CD,1992-11-19,2,1992-12-09,1992-11-25,TRC
0.0237265678,1992-03-06,CD,1992-05-18,2,1992-06-09,1992-05-22,TRC
0.0237265678,1991-11-18,CD,1991-11-25,2,1991-12-18,1991-12-02,TRC
0.0237265678,1991-03-08,CD,1991-05-16,2,1991-06-07,1991-05-22,TRC
0.0237265678,1990-11-12,CD,1990-11-27,2,1990-12-18,1990-12-03,TRC
0.0237265678,1990-03-02,CD,1990-05-16,2,1990-06-08,1990-05-22,TRC
0.0237265678,1989-11-13,CD,1989-11-28,2,1989-12-18,1989-12-04,TRC
0.0237265678,1989-03-07,CD,1989-05-08,2,1989-06-02,1989-05-12,TRC
0.0237265678,1988-09-12,CD,1988-12-02,2,1988-12-20,1988-12-08,TRC
0.0237265678,1988-03-21,CD,1988-05-06,2,1988-06-03,1988-05-12,TRC
0.0237265678,1987-11-18,CD,1987-12-04,2,1987-12-22,1987-12-10,TRC
0.0237265678,1987-03-24,CD,1987-05-05,2,1987-06-03,1987-05-11,TRC
0.0474531356,1986-11-19,CD,1986-12-08,2,1986-12-22,1986-12-12,TRC
0.0949062712,1985-11-22,CD,1985-12-09,2,1985-12-23,1985-12-13,TRC
