cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.9,2022-07-28,CD,2022-09-28,4,2022-10-31,2022-09-30,TRP
0.9,2022-04-29,CD,2022-06-29,4,2022-07-29,2022-06-30,TRP
0.9,2022-02-15,CD,2022-03-30,4,2022-04-29,2022-03-31,TRP
0.87,2021-11-05,CD,2021-12-30,4,2022-01-31,2021-12-31,TRP
0.87,2021-07-29,CD,2021-09-29,4,2021-10-29,2021-09-30,TRP
0.87,2021-05-07,CD,2021-06-29,4,2021-07-30,2021-06-30,TRP
0.87,2021-02-18,CD,2021-03-30,4,2021-04-30,2021-03-31,TRP
0.81,2020-10-29,CD,2020-12-30,4,2021-01-29,2020-12-31,TRP
0.81,2020-07-30,CD,2020-09-29,4,2020-10-30,2020-09-30,TRP
0.81,2020-05-01,CD,2020-06-29,4,2020-07-31,2020-06-30,TRP
0.81,2020-02-13,CD,2020-03-30,4,2020-04-30,2020-03-31,TRP
0.75,2019-11-01,CD,2019-12-30,4,2020-01-31,2019-12-31,TRP
0.75,2019-08-01,CD,2019-09-27,4,2019-10-31,2019-09-30,TRP
0.75,2019-05-03,CD,2019-06-27,4,2019-07-31,2019-06-28,TRP
0.75,2019-02-14,CD,2019-03-28,4,2019-04-30,2019-03-29,TRP
0.69,2018-11-01,CD,2018-12-28,4,2019-01-31,2018-12-31,TRP
0.69,2018-08-02,CD,2018-09-27,4,2018-10-31,2018-09-28,TRP
0.69,2018-04-27,CD,2018-06-28,4,2018-07-31,2018-06-29,TRP
0.69,2018-02-15,CD,2018-03-28,4,2018-04-30,2018-03-29,TRP
0.625,2017-11-09,CD,2017-12-28,4,2018-01-31,2017-12-29,TRP
0.625,2017-07-28,CD,2017-09-28,4,2017-10-31,2017-09-29,TRP
0.625,2017-05-04,CD,2017-06-28,4,2017-07-31,2017-06-30,TRP
0.625,2017-02-16,CD,2017-03-29,4,2017-04-28,2017-03-31,TRP
0.565,2016-11-01,CD,2016-12-29,4,2017-01-30,2017-01-03,TRP
0.565,2016-07-28,CD,2016-09-28,4,2016-10-31,2016-09-30,TRP
0.565,2016-06-08,CD,2016-06-28,4,2016-07-29,2016-06-30,TRP
0.565,2016-02-11,CD,2016-03-29,4,2016-04-29,2016-03-31,TRP
0.52,2015-11-03,CD,2015-12-29,4,2016-01-29,2015-12-31,TRP
0.52,2015-07-31,CD,2015-09-28,4,2015-10-30,2015-09-30,TRP
0.52,2015-05-01,CD,2015-06-26,4,2015-07-31,2015-06-30,TRP
0.52,2015-02-13,CD,2015-03-27,4,2015-04-30,2015-03-31,TRP
0.48,2014-11-04,CD,2014-12-29,4,2015-01-30,2014-12-31,TRP
0.48,2014-07-31,CD,2014-09-26,4,2014-10-31,2014-09-30,TRP
0.48,2014-05-02,CD,2014-06-26,4,2014-07-31,2014-06-30,TRP
0.48,2014-02-20,CD,2014-03-27,4,2014-04-30,2014-03-31,TRP
0.46,2013-11-06,CD,2013-12-27,4,2014-01-31,2013-12-31,TRP
0.46,2013-07-26,CD,2013-09-26,4,2013-10-31,2013-09-30,TRP
0.46,2013-04-26,CD,2013-06-26,4,2013-07-31,2013-06-28,TRP
0.46,2013-02-12,CD,2013-03-26,4,2013-04-30,2013-03-28,TRP
0.44,2012-10-30,CD,2012-12-27,4,2013-01-31,2012-12-31,TRP
0.44,2012-07-28,CD,2012-09-26,4,2012-10-31,2012-09-28,TRP
0.44,2012-04-28,CD,2012-06-27,4,2012-07-31,2012-06-29,TRP
0.44,2012-02-15,CD,2012-03-28,4,2012-04-30,2012-03-30,TRP
0.42,2011-11-02,CD,2011-12-28,4,2012-01-31,2011-12-30,TRP
0.42,2011-07-29,CD,2011-09-28,4,2011-10-31,2011-09-30,TRP
0.42,2011-04-30,CD,2011-06-28,4,2011-07-29,2011-06-30,TRP
0.42,2011-02-16,CD,2011-03-29,4,2011-04-29,2011-03-31,TRP
0.4,2010-11-04,CD,2010-12-29,4,2011-01-31,2010-12-31,TRP
0.4,2010-07-30,CD,2010-09-28,4,2010-10-29,2010-09-30,TRP
0.4,2010-05-03,CD,2010-06-28,4,2010-07-30,2010-06-30,TRP
0.4,2010-02-24,CD,2010-03-29,4,2010-04-30,2010-03-31,TRP
0.38,2009-11-05,CD,2009-12-29,4,2010-01-29,2009-12-31,TRP
0.38,2009-07-31,CD,2009-09-28,4,2009-10-30,2009-09-30,TRP
0.38,2009-05-04,CD,2009-06-26,4,2009-07-31,2009-06-30,TRP
0.38,2009-02-04,CD,2009-03-27,4,2009-04-30,2009-03-31,TRP
0.36,2008-10-29,CD,2008-12-29,4,2009-01-30,2008-12-31,TRP
0.36,2008-08-01,CD,2008-09-26,4,2008-10-31,2008-09-30,TRP
0.36,2008-06-06,CD,2008-06-26,4,2008-07-31,2008-06-30,TRP
0.3542,2008-01-29,CD,2008-03-27,4,2008-04-30,2008-03-31,TRP
0.3425,2007-10-29,CD,2007-12-27,4,2008-01-31,2007-12-31,TRP
0.3397,2007-07-26,CD,2007-09-26,4,2007-10-31,2007-09-28,TRP
0.3178,2007-04-26,CD,2007-06-27,4,2007-07-31,2007-06-29,TRP
0.2928,2007-01-29,CD,2007-03-28,4,2007-04-30,2007-03-30,TRP
0.2766,2006-10-30,CD,2006-12-27,4,2007-01-31,2006-12-29,TRP
0.28688,2006-07-27,CD,2006-09-27,4,2006-10-31,2006-09-29,TRP
0.2848,2006-04-28,CD,2006-06-28,4,2006-07-31,2006-06-30,TRP
0.2738,2006-01-30,CD,2006-03-29,4,2006-04-28,2006-03-31,TRP
0.2613,2005-11-01,CD,2005-12-28,4,2006-01-31,2005-12-30,TRP
0.2604,2005-07-29,CD,2005-09-28,4,2005-10-31,2005-09-30,TRP
0.2474,2005-04-29,CD,2005-06-28,4,2005-07-29,2005-06-30,TRP
0.2502,2005-03-28,CD,2005-03-29,4,2005-04-29,2005-03-31,TRP
0.2384,2004-10-26,CD,2004-12-29,4,2005-01-31,2004-12-31,TRP
0.228,2004-08-19,CD,2004-09-28,4,2004-10-29,2004-09-30,TRP
0.2097,2004-04-23,CD,2004-06-28,4,2004-07-30,2004-06-30,TRP
0.2199,2004-01-27,CD,2004-03-29,4,2004-04-30,2004-03-31,TRP
0.2062,2003-11-19,CD,2003-12-29,4,2004-01-30,2003-12-31,TRP
0.2002,2003-07-22,CD,2003-09-26,4,2003-10-31,2003-09-30,TRP
0.2004,2003-04-25,CD,2003-06-26,4,2003-07-31,2003-06-30,TRP
0.1838,2003-01-28,CD,2003-03-27,4,2003-04-30,2003-03-31,TRP
0.1605,2002-10-29,CD,2002-12-27,4,2003-01-31,2002-12-31,TRP
0.1583,2002-07-26,CD,2002-09-26,4,2002-10-31,2002-09-30,TRP
0.157,2002-04-26,CD,2002-06-26,4,2002-07-31,2002-06-28,TRP
0.1578,2002-01-29,CD,2002-03-26,4,2002-04-30,2002-03-28,TRP
0.1406,2001-10-30,CD,2001-12-27,4,2002-01-31,2001-12-31,TRP
0.15,2001-07-27,CD,2001-09-26,4,2001-10-31,2001-09-28,TRP
0.15,2001-04-27,CD,2001-06-27,4,2001-07-31,2001-06-29,TRP
0.15,2001-01-30,CD,2001-03-28,4,2001-04-30,2001-03-30,TRP
0.13,2000-10-31,CD,2000-12-27,4,2001-01-31,2000-12-29,TRP
0.13,2000-07-28,CD,2000-09-27,4,2000-10-31,2000-09-29,TRP
0.1345,2000-04-28,CD,2000-06-28,4,2000-07-31,2000-06-30,TRP
0.1377,2000-02-01,CD,2000-03-29,4,2000-04-28,2000-03-31,TRP
0.1892,1999-10-26,CD,1999-12-28,4,2000-01-31,1999-12-30,TRP
0.1914,1999-07-30,CD,1999-09-28,4,1999-10-29,1999-09-30,TRP
0.191,1999-05-19,CD,1999-06-28,4,1999-07-30,1999-06-30,TRP
0.1851,1999-03-02,CD,1999-03-29,4,1999-04-30,1999-03-31,TRP
0.1805,1998-12-04,CD,1998-12-29,4,1999-01-29,1998-12-31,TRP
0.184,1998-08-06,CD,1998-09-28,4,1998-10-30,1998-09-30,TRP
0.2113,1998-05-20,CD,1998-06-25,4,1998-06-30,1998-06-29,TRP
0.2192,1998-02-20,CD,1998-03-27,4,1998-04-30,1998-03-31,TRP
0.2159,1997-12-10,CD,1997-12-29,4,1998-01-30,1997-12-31,TRP
0.2094,1997-08-06,CD,1997-09-26,4,1997-10-31,1997-09-30,TRP
0.2099,1997-06-17,CD,1997-06-26,4,1997-07-31,1997-06-30,TRP
0.2111,1997-02-21,CD,1997-03-26,4,1997-04-30,1997-03-31,TRP
0.212,1996-12-06,CD,1996-12-27,4,1997-01-31,1996-12-31,TRP
0.1975,1996-08-02,CD,1996-09-26,4,1996-10-31,1996-09-30,TRP
0.1986,1996-06-05,CD,1996-06-26,4,1996-07-31,1996-06-28,TRP
0.1981,1996-02-23,CD,1996-03-27,4,1996-04-30,1996-03-29,TRP
0.1986,1995-12-07,CD,1995-12-27,4,1996-01-31,1995-12-29,TRP
0.1854,1995-08-01,CD,1995-09-27,4,1995-10-31,1995-09-29,TRP
0.1817,1995-06-12,CD,1995-06-28,4,1995-07-31,1995-06-30,TRP
0.1786,1995-02-23,CD,1995-03-27,4,1995-04-28,1995-03-31,TRP
0.1786,1994-12-05,CD,1994-12-23,4,1995-01-31,1994-12-30,TRP
0.17,1994-08-03,CD,1994-09-26,4,1994-10-31,1994-09-30,TRP
0.1666,1994-06-13,CD,1994-06-24,4,1994-07-29,1994-06-30,TRP
0.1663,1994-02-24,CD,1994-03-25,4,1994-04-29,1994-03-31,TRP
0.1737,1993-12-03,CD,1993-12-27,4,1994-01-31,1993-12-31,TRP
0.1586,1993-08-04,CD,1993-09-24,4,1993-10-29,1993-09-30,TRP
0.1631,1993-06-11,CD,1993-06-24,4,1993-07-30,1993-06-30,TRP
0.165,1993-03-17,CD,1993-03-25,4,1993-04-30,1993-03-31,TRP
0.1653,1992-10-14,CD,1992-12-24,4,1993-01-29,1992-12-31,TRP
0.1532,1992-08-04,CD,1992-09-24,4,1992-10-30,1992-09-30,TRP
0.1607,1992-06-11,CD,1992-06-24,4,1992-07-31,1992-06-30,TRP
0.159,1992-03-17,CD,1992-03-25,4,1992-04-30,1992-03-31,TRP
