cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.65,2022-07-28,CD,2022-09-07,4,2022-09-22,2022-09-08,TRTN
0.65,2022-05-03,CD,2022-06-08,4,2022-06-23,2022-06-09,TRTN
0.65,2022-02-15,CD,2022-03-10,4,2022-03-25,2022-03-11,TRTN
0.65,2021-10-26,CD,2021-12-08,4,2021-12-23,2021-12-09,TRTN
0.57,2021-07-27,CD,2021-09-08,4,2021-09-23,2021-09-09,TRTN
0.57,2021-04-29,CD,2021-06-09,4,2021-06-24,2021-06-10,TRTN
0.57,2021-02-16,CD,2021-03-11,4,2021-03-26,2021-03-12,TRTN
0.57,2020-10-23,CD,2020-12-09,4,2020-12-23,2020-12-10,TRTN
0.52,2020-07-24,CD,2020-09-09,4,2020-09-24,2020-09-10,TRTN
0.52,2020-04-24,CD,2020-06-10,4,2020-06-25,2020-06-11,TRTN
0.52,2020-02-14,CD,2020-03-12,4,2020-03-27,2020-03-13,TRTN
0.52,2019-10-24,CD,2019-12-02,4,2019-12-20,2019-12-03,TRTN
0.52,2019-07-25,CD,2019-09-04,4,2019-09-26,2019-09-05,TRTN
0.52,2019-04-30,CD,2019-06-05,4,2019-06-27,2019-06-06,TRTN
0.52,2019-02-14,CD,2019-03-11,4,2019-03-28,2019-03-12,TRTN
0.52,2018-11-02,CD,2018-11-30,4,2018-12-20,2018-12-03,TRTN
0.52,2018-08-03,CD,2018-08-31,4,2018-09-25,2018-09-04,TRTN
0.52,2018-05-04,CD,2018-05-31,4,2018-06-22,2018-06-01,TRTN
0.45,2018-02-01,CD,2018-03-09,4,2018-03-28,2018-03-12,TRTN
0.45,2017-10-01,CD,2017-11-30,4,2017-12-22,2017-12-01,TRTN
0.45,2017-07-01,CD,2017-08-30,4,2017-09-22,2017-09-01,TRTN
0.45,2017-04-01,CD,2017-05-30,4,2017-06-22,2017-06-01,TRTN
0.45,2017-02-01,CD,2017-03-16,4,2017-03-30,2017-03-20,TRTN
0.45,2016-10-01,CD,2016-11-30,4,2016-12-22,2016-12-02,TRTN
0.45,2016-08-01,CD,2016-09-06,4,2016-09-22,2016-09-08,TRTN
