cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.24,2022-06-13,CD,2022-06-27,4,2022-07-25,2022-06-28,TRTX
0.24,2022-03-15,CD,2022-03-28,4,2022-04-25,2022-03-29,TRTX
0.24,2021-12-13,CD,2021-12-28,4,2022-01-25,2021-12-29,TRTX
0.07,2021-12-13,SC,2021-12-28,0,2022-01-25,2021-12-29,TRTX
0.24,2021-09-13,CD,2021-09-28,4,2021-10-22,2021-09-29,TRTX
0.2,2021-06-14,CD,2021-06-25,4,2021-07-23,2021-06-28,TRTX
0.2,2021-03-15,CD,2021-03-25,4,2021-04-23,2021-03-26,TRTX
0.2,2020-12-15,CD,2020-12-24,4,2021-01-22,2020-12-28,TRTX
0.18,2020-12-15,SC,2020-12-24,0,2021-01-22,2020-12-28,TRTX
0.2,2020-09-15,CD,2020-09-24,4,2020-10-23,2020-09-25,TRTX
0.2,2020-06-16,CD,2020-06-25,4,2020-07-24,2020-06-26,TRTX
0.43,2020-03-23,CD,2020-06-12,4,2020-07-14,2020-06-15,TRTX
0.43,2019-12-17,CD,2019-12-26,4,2020-01-24,2019-12-27,TRTX
0.43,2019-09-17,CD,2019-09-26,4,2019-10-25,2019-09-27,TRTX
0.43,2019-06-18,CD,2019-06-27,4,2019-07-25,2019-06-28,TRTX
0.43,2019-03-19,CD,2019-03-28,4,2019-04-25,2019-03-29,TRTX
0.43,2018-12-18,CD,2018-12-27,4,2019-01-25,2018-12-28,TRTX
0.43,2018-09-18,CD,2018-09-27,4,2018-10-25,2018-09-28,TRTX
0.43,2018-06-15,CD,2018-06-22,4,2018-07-25,2018-06-25,TRTX
0.42,2018-03-19,CD,2018-03-28,4,2018-04-25,2018-03-29,TRTX
0.38,2017-12-20,CD,2017-12-28,4,2018-01-25,2017-12-29,TRTX
0.33,2017-09-26,CD,2017-10-05,4,2017-10-25,2017-10-06,TRTX
