cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.67,2022-06-02,CD,2022-09-01,4,2022-09-30,2022-09-02,TT
0.67,2022-04-07,CD,2022-06-02,4,2022-06-30,2022-06-03,TT
0.67,2022-02-03,CD,2022-03-03,4,2022-03-31,2022-03-04,TT
0.59,2021-10-06,CD,2021-12-02,4,2021-12-31,2021-12-03,TT
0.59,2021-04-06,CD,2021-09-02,4,2021-09-30,2021-09-03,TT
0.59,2021-04-08,CD,2021-06-03,4,2021-06-30,2021-06-04,TT
0.59,2021-02-04,CD,2021-03-04,4,2021-03-31,2021-03-05,TT
0.53,2020-10-08,CD,2020-12-03,4,2020-12-31,2020-12-04,TT
0.53,2020-06-05,CD,2020-09-03,4,2020-09-30,2020-09-04,TT
0.53,2020-04-09,CD,2020-06-04,4,2020-06-30,2020-06-05,TT
0.53,2020-02-05,CD,2020-03-12,4,2020-03-31,2020-03-13,TT
0.53,2019-10-03,CD,2019-12-05,4,2019-12-31,2019-12-06,TT
0.53,2019-06-04,CD,2019-09-05,4,2019-09-30,2019-09-06,TT
0.53,2019-04-04,CD,2019-06-06,4,2019-06-28,2019-06-07,TT
0.53,2019-02-06,CD,2019-03-07,4,2019-03-29,2019-03-08,TT
0.53,2018-10-02,CD,2018-12-06,4,2018-12-31,2018-12-07,TT
0.53,2018-06-11,CD,2018-09-06,4,2018-09-28,2018-09-07,TT
0.45,2018-04-04,CD,2018-06-07,4,2018-06-29,2018-06-08,TT
0.45,2018-02-02,CD,2018-03-08,4,2018-03-30,2018-03-09,TT
0.45,2017-10-03,CD,2017-12-07,4,2017-12-29,2017-12-08,TT
0.45,2017-08-04,CD,2017-09-07,4,2017-09-29,2017-09-08,TT
0.4,2017-04-05,CD,2017-06-07,4,2017-06-30,2017-06-09,TT
0.4,2017-02-08,CD,2017-03-08,4,2017-03-31,2017-03-10,TT
0.4,2016-10-06,CD,2016-12-07,4,2016-12-30,2016-12-09,TT
0.32,2016-08-05,CD,2016-09-07,4,2016-09-30,2016-09-09,TT
0.32,2016-04-06,CD,2016-06-08,4,2016-06-30,2016-06-10,TT
0.32,2016-02-03,CD,2016-03-09,4,2016-03-31,2016-03-11,TT
0.29,2015-10-07,CD,2015-12-09,4,2015-12-31,2015-12-11,TT
0.29,2015-08-10,CD,2015-09-09,4,2015-09-30,2015-09-11,TT
0.29,2015-04-08,CD,2015-06-10,4,2015-06-30,2015-06-12,TT
