cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.2,2022-07-20,CD,2022-08-31,4,2022-09-15,2022-09-01,UHS
0.2,2022-05-18,CD,2022-05-31,4,2022-06-15,2022-06-01,UHS
0.2,2021-01-28,CD,2022-02-28,4,2022-03-15,2022-03-01,UHS
0.2,2021-11-17,CD,2021-11-30,4,2021-12-15,2021-12-01,UHS
0.2,2021-08-19,CD,2021-08-31,4,2021-09-15,2021-09-01,UHS
0.2,2021-05-19,CD,2021-06-01,4,2021-06-17,2021-06-02,UHS
0.2,2021-02-25,CD,2021-03-12,4,2021-03-31,2021-03-15,UHS
0.2,2020-01-30,CD,2020-02-28,4,2020-03-16,2020-03-02,UHS
0.2,2019-11-20,CD,2019-12-04,4,2019-12-19,2019-12-05,UHS
0.2,2019-07-25,CD,2019-08-30,4,2019-09-16,2019-09-03,UHS
0.1,2019-05-15,CD,2019-05-31,4,2019-06-17,2019-06-03,UHS
0.1,2019-01-16,CD,2019-02-28,4,2019-03-15,2019-03-01,UHS
0.1,2018-11-14,CD,2018-11-30,4,2018-12-17,2018-12-03,UHS
0.1,2018-07-19,CD,2018-08-31,4,2018-09-17,2018-09-04,UHS
0.1,2018-05-17,CD,2018-05-31,4,2018-06-15,2018-06-01,UHS
0.1,2018-01-17,CD,2018-02-28,4,2018-03-15,2018-03-01,UHS
0.1,2017-11-16,CD,2017-11-30,4,2017-12-15,2017-12-01,UHS
0.1,2017-07-20,CD,2017-08-30,4,2017-09-15,2017-09-01,UHS
0.1,2017-05-18,CD,2017-05-30,4,2017-06-15,2017-06-01,UHS
0.1,2017-01-18,CD,2017-02-27,4,2017-03-15,2017-03-01,UHS
0.1,2016-11-17,CD,2016-11-29,4,2016-12-15,2016-12-01,UHS
0.1,2016-07-20,CD,2016-08-30,4,2016-09-15,2016-09-01,UHS
0.1,2016-05-19,CD,2016-05-27,4,2016-06-15,2016-06-01,UHS
0.1,2016-01-20,CD,2016-02-26,4,2016-03-15,2016-03-01,UHS
0.1,2015-11-18,CD,2015-11-27,4,2015-12-15,2015-12-01,UHS
0.1,2015-07-15,CD,2015-08-28,4,2015-09-15,2015-09-01,UHS
0.1,2015-05-04,CD,2015-05-28,4,2015-06-15,2015-06-01,UHS
0.1,2015-01-22,CD,2015-02-26,4,2015-03-16,2015-03-02,UHS
0.1,2014-11-19,CD,2014-11-28,4,2014-12-16,2014-12-02,UHS
0.1,2014-07-24,CD,2014-08-28,4,2014-09-16,2014-09-02,UHS
0.05,2014-05-21,CD,2014-05-29,4,2014-06-16,2014-06-02,UHS
0.05,2014-01-15,CD,2014-02-27,4,2014-03-17,2014-03-03,UHS
0.05,2013-11-21,CD,2013-11-27,4,2013-12-16,2013-12-02,UHS
0.05,2013-07-17,CD,2013-08-29,4,2013-09-17,2013-09-03,UHS
0.05,2013-05-16,CD,2013-05-30,4,2013-06-17,2013-06-03,UHS
0.05,2013-01-16,CD,2013-02-27,4,2013-03-15,2013-03-01,UHS
0.4,2012-12-07,SC,2012-12-13,0,2012-12-28,2012-12-17,UHS
0.05,2012-11-21,CD,2012-11-29,4,2012-12-17,2012-12-03,UHS
0.05,2012-07-19,CD,2012-08-30,4,2012-09-18,2012-09-04,UHS
0.05,2012-05-17,CD,2012-05-30,4,2012-06-15,2012-06-01,UHS
0.05,2012-01-20,CD,2012-02-28,4,2012-03-15,2012-03-01,UHS
0.05,2011-11-17,CD,2011-11-29,4,2011-12-15,2011-12-01,UHS
0.05,2011-07-21,CD,2011-08-30,4,2011-09-15,2011-09-01,UHS
0.05,2011-05-19,CD,2011-05-27,4,2011-06-15,2011-06-01,UHS
0.05,2011-01-20,CD,2011-02-25,4,2011-03-15,2011-03-01,UHS
0.05,2010-11-18,CD,2010-11-29,4,2010-12-15,2010-12-01,UHS
0.05,2010-07-27,CD,2010-08-30,4,2010-09-15,2010-09-01,UHS
0.05,2010-05-21,CD,2010-05-27,4,2010-06-15,2010-06-01,UHS
0.05,2010-01-21,CD,2010-02-25,4,2010-03-15,2010-03-01,UHS
0.025,2009-11-19,CD,2009-11-27,4,2009-12-15,2009-12-01,UHS
0.04,2009-07-10,CD,2009-08-28,4,2009-09-15,2009-09-01,UHS
0.04,2009-05-21,CD,2009-05-28,4,2009-06-15,2009-06-01,UHS
0.04,2009-01-19,CD,2009-02-26,4,2009-03-16,2009-03-02,UHS
0.04,2008-11-19,CD,2008-11-26,4,2008-12-15,2008-12-01,UHS
0.04,2008-07-18,CD,2008-08-28,4,2008-09-15,2008-09-02,UHS
0.04,2008-05-21,CD,2008-05-29,4,2008-06-16,2008-06-02,UHS
0.04,2008-01-16,CD,2008-02-28,4,2008-03-17,2008-03-03,UHS
0.04,2007-11-21,CD,2007-11-29,4,2007-12-17,2007-12-03,UHS
0.04,2007-07-19,CD,2007-08-29,4,2007-09-17,2007-08-31,UHS
0.04,2007-05-17,CD,2007-05-30,4,2007-06-15,2007-06-01,UHS
0.04,2007-01-25,CD,2007-02-27,4,2007-03-15,2007-03-01,UHS
0.04,2006-11-15,CD,2006-11-29,4,2006-12-15,2006-12-01,UHS
0.04,2006-07-20,CD,2006-08-30,4,2006-09-15,2006-09-01,UHS
0.04,2006-05-17,CD,2006-05-30,4,2006-06-15,2006-06-01,UHS
0.04,2006-01-19,CD,2006-02-27,4,2006-03-15,2006-03-01,UHS
