cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.16,2022-07-19,CD,2022-08-01,4,2022-08-09,2022-08-02,UVE
0.16,2022-04-20,CD,2022-05-12,4,2022-05-20,2022-05-13,UVE
0.16,2022-02-10,CD,2022-03-09,4,2022-03-17,2022-03-10,UVE
0.16,2021-11-15,CD,2021-12-09,4,2021-12-17,2021-12-10,UVE
0.13,2021-11-15,SC,2021-12-09,0,2021-12-17,2021-12-10,UVE
0.16,2021-07-29,CD,2021-07-30,4,2021-08-09,2021-08-02,UVE
0.16,2021-04-22,CD,2021-05-13,4,2021-05-21,2021-05-14,UVE
0.16,2021-03-01,CD,2021-03-10,4,2021-03-18,2021-03-11,UVE
0.16,2020-11-17,CD,2020-12-10,4,2020-12-18,2020-12-11,UVE
0.13,2020-11-17,SC,2020-12-10,0,2020-12-18,2020-12-11,UVE
0.16,2020-07-07,CD,2020-07-30,4,2020-08-07,2020-07-31,UVE
0.16,2020-04-16,CD,2020-05-13,4,2020-05-21,2020-05-14,UVE
0.16,2020-02-11,CD,2020-03-11,4,2020-03-19,2020-03-12,UVE
0.16,2019-11-14,CD,2019-12-12,4,2019-12-20,2019-12-13,UVE
0.13,2019-11-14,SC,2019-12-12,0,2019-12-20,2019-12-13,UVE
0.16,2019-06-05,CD,2019-07-02,4,2019-07-17,2019-07-03,UVE
0.16,2019-04-10,CD,2019-05-02,4,2019-05-10,2019-05-03,UVE
0.16,2019-01-31,CD,2019-03-08,4,2019-03-25,2019-03-11,UVE
0.16,2018-11-16,CD,2018-11-26,4,2018-12-04,2018-11-27,UVE
0.13,2018-11-16,SC,2018-11-26,0,2018-12-04,2018-11-27,UVE
0.16,2018-05-29,CD,2018-06-29,4,2018-07-16,2018-07-02,UVE
0.14,2018-04-12,CD,2018-04-26,4,2018-05-04,2018-04-27,UVE
0.14,2018-01-22,CD,2018-02-27,4,2018-03-12,2018-02-28,UVE
0.14,2017-11-16,CD,2017-11-24,4,2017-12-04,2017-11-27,UVE
0.13,2017-11-16,SC,2017-11-24,0,2017-12-04,2017-11-27,UVE
0.14,2017-08-31,CD,2017-09-11,4,2017-10-24,2017-09-12,UVE
0.14,2017-04-14,CD,2017-06-12,4,2017-07-03,2017-06-14,UVE
0.14,2017-01-23,CD,2017-02-15,4,2017-03-02,2017-02-17,UVE
0.14,2016-11-15,CD,2016-11-29,4,2016-12-12,2016-12-01,UVE
0.13,2016-11-15,SC,2016-11-29,0,2016-12-12,2016-12-01,UVE
0.14,2016-08-31,CD,2016-09-08,4,2016-10-24,2016-09-12,UVE
0.14,2016-04-13,CD,2016-06-13,4,2016-07-05,2016-06-15,UVE
0.14,2016-01-14,CD,2016-02-16,4,2016-03-02,2016-02-18,UVE
0.15,2015-11-05,SC,2015-11-27,0,2015-12-10,2015-12-01,UVE
0.12,2015-11-05,CD,2015-11-27,4,2015-12-10,2015-12-01,UVE
0.12,2015-08-31,CD,2015-09-21,4,2015-10-08,2015-09-23,UVE
0.12,2015-04-13,CD,2015-06-16,4,2015-07-02,2015-06-18,UVE
0.12,2015-01-13,CD,2015-02-13,4,2015-03-02,2015-02-18,UVE
0.15,2014-11-10,SC,2014-12-03,0,2014-12-15,2014-12-05,UVE
0.1,2014-11-10,CD,2014-12-03,4,2014-12-15,2014-12-05,UVE
0.1,2014-08-26,CD,2014-09-19,4,2014-10-01,2014-09-23,UVE
0.1,2014-04-16,CD,2014-06-17,4,2014-07-03,2014-06-19,UVE
0.1,2014-01-30,CD,2014-02-14,4,2014-03-03,2014-02-19,UVE
0.15,2013-11-26,SC,2013-12-11,0,2013-12-23,2013-12-13,UVE
0.08,2013-11-26,CD,2013-12-11,4,2013-12-23,2013-12-13,UVE
0.08,2013-08-27,CD,2013-09-19,4,2013-10-01,2013-09-23,UVE
0.02,2013-08-27,SC,2013-09-19,0,2013-10-01,2013-09-23,UVE
0.08,2013-04-18,CD,2013-05-30,4,2013-06-17,2013-06-03,UVE
0.08,2013-02-08,CD,2013-03-12,4,2013-04-05,2013-03-14,UVE
0.12,2012-11-28,SC,2012-12-12,0,2012-12-28,2012-12-14,UVE
0.08,2012-11-28,CD,2012-12-12,4,2012-12-28,2012-12-14,UVE
0.08,2012-09-11,CD,2012-09-24,4,2012-10-09,2012-09-26,UVE
0.08,2012-04-24,CD,2012-06-22,4,2012-07-09,2012-06-26,UVE
0.1,2012-02-24,CD,2012-03-26,4,2012-04-06,2012-03-28,UVE
0.14,2011-12-06,SC,2011-12-19,0,2011-12-28,2011-12-21,UVE
0.08,2011-08-16,CD,2011-09-14,4,2011-10-06,2011-09-16,UVE
0.1,2011-01-07,CD,2011-03-09,4,2011-04-07,2011-03-11,UVE
0.1,2010-10-07,CD,2010-10-20,4,2010-11-05,2010-10-22,UVE
0.1,2010-05-25,CD,2010-06-15,4,2010-07-15,2010-06-17,UVE
0.12,2010-01-20,CD,2010-03-17,4,2010-04-06,2010-03-19,UVE
0.2,2009-11-04,CD,2009-11-12,4,2009-12-04,2009-11-16,UVE
0.12,2009-08-12,CD,2009-09-01,4,2009-10-23,2009-09-03,UVE
0.12,2009-03-06,CD,2009-04-07,4,2009-05-04,2009-04-09,UVE
0.1,2009-01-19,CD,2009-02-10,4,2009-03-04,2009-02-12,UVE
0.2,2008-11-07,CD,2008-11-28,4,2008-12-17,2008-12-02,UVE
0.1,2008-08-18,CD,2008-09-30,4,2008-10-30,2008-10-02,UVE
0.1,2008-01-24,CD,2008-07-07,4,2008-08-07,2008-07-09,UVE
0.09,2007-10-08,CD,2008-03-06,4,2008-04-08,2008-03-10,UVE
0.08,2007-07-13,CD,2007-09-25,4,2007-10-22,2007-09-27,UVE
0.07,2007-07-17,CD,2007-07-18,4,2007-08-10,2007-07-20,UVE
0.05,2007-02-23,CD,2007-03-15,4,2007-04-09,2007-03-19,UVE
0.05,2006-10-25,SC,2007-03-15,0,2007-04-09,2007-03-19,UVE
0.05,2006-08-24,CD,2006-10-23,4,2006-11-08,2006-10-25,UVE
0.04,2006-06-23,SC,2006-06-26,0,2006-07-10,2006-06-28,UVE
0.04,2006-03-29,SC,2006-04-19,0,2006-05-05,2006-04-21,UVE
0.01,2001-06-01,SC,2001-06-21,0,2001-07-16,2001-06-25,UVE
