cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.1,2020-02-27,CD,2020-03-13,4,2020-04-01,2020-03-16,VVI
0.1,2019-12-05,CD,2019-12-13,4,2020-01-02,2019-12-16,VVI
0.1,2019-08-29,CD,2019-09-12,4,2019-10-01,2019-09-13,VVI
0.1,2019-05-16,CD,2019-06-06,4,2019-07-01,2019-06-07,VVI
0.1,2019-02-27,CD,2019-03-14,4,2019-04-01,2019-03-15,VVI
0.1,2018-11-29,CD,2018-12-13,4,2019-01-02,2018-12-14,VVI
0.1,2018-08-22,CD,2018-09-06,4,2018-10-01,2018-09-07,VVI
0.1,2018-05-17,CD,2018-05-31,4,2018-07-02,2018-06-01,VVI
0.1,2018-02-28,CD,2018-03-15,4,2018-04-02,2018-03-16,VVI
0.1,2017-11-29,CD,2017-12-14,4,2018-01-02,2017-12-15,VVI
0.1,2017-08-17,CD,2017-09-07,4,2017-10-02,2017-09-08,VVI
0.1,2017-05-18,CD,2017-05-31,4,2017-07-03,2017-06-02,VVI
0.1,2017-02-22,CD,2017-03-08,4,2017-04-03,2017-03-10,VVI
0.1,2016-12-01,CD,2016-12-14,4,2017-01-03,2016-12-16,VVI
0.1,2016-08-24,CD,2016-09-07,4,2016-10-03,2016-09-09,VVI
0.1,2016-05-19,CD,2016-06-01,4,2016-07-01,2016-06-03,VVI
0.1,2016-02-24,CD,2016-03-09,4,2016-04-01,2016-03-11,VVI
0.1,2015-12-03,CD,2015-12-16,4,2016-01-04,2015-12-18,VVI
0.1,2015-08-26,CD,2015-09-09,4,2015-10-01,2015-09-11,VVI
0.1,2015-05-21,CD,2015-06-03,4,2015-07-01,2015-06-05,VVI
0.1,2015-02-25,CD,2015-03-11,4,2015-04-01,2015-03-13,VVI
0.1,2014-12-04,CD,2014-12-17,4,2015-01-02,2014-12-19,VVI
0.1,2014-08-27,CD,2014-09-10,4,2014-10-01,2014-09-12,VVI
0.1,2014-05-22,CD,2014-06-04,4,2014-07-01,2014-06-06,VVI
0.1,2014-02-26,CD,2014-03-12,4,2014-04-01,2014-03-14,VVI
1.5,2014-01-23,SC,2014-02-05,0,2014-02-14,2014-02-07,VVI
0.1,2013-12-05,CD,2013-12-18,4,2014-01-02,2013-12-20,VVI
2.5,2013-10-25,SC,2013-11-05,0,2013-11-14,2013-11-07,VVI
0.1,2013-08-21,CD,2013-09-04,4,2013-10-01,2013-09-06,VVI
0.1,2013-05-21,CD,2013-06-05,4,2013-07-01,2013-06-07,VVI
0.1,2013-02-27,CD,2013-03-13,4,2013-04-01,2013-03-15,VVI
0.1,2012-11-29,CD,2012-12-12,4,2013-01-02,2012-12-14,VVI
0.1,2012-08-24,CD,2012-09-05,4,2012-10-01,2012-09-07,VVI
0.04,2012-05-16,CD,2012-05-30,4,2012-07-02,2012-06-01,VVI
0.04,2012-03-01,CD,2012-03-14,4,2012-04-02,2012-03-16,VVI
0.04,2011-12-02,CD,2011-12-14,4,2012-01-03,2011-12-16,VVI
0.04,2011-08-26,CD,2011-09-07,4,2011-10-03,2011-09-09,VVI
0.04,2011-05-18,CD,2011-06-01,4,2011-07-01,2011-06-03,VVI
0.04,2011-02-24,CD,2011-03-09,4,2011-04-01,2011-03-11,VVI
0.04,2010-12-03,CD,2010-12-15,4,2011-01-03,2010-12-17,VVI
0.04,2010-08-27,CD,2010-09-08,4,2010-10-01,2010-09-10,VVI
0.04,2010-05-19,CD,2010-06-02,4,2010-07-01,2010-06-04,VVI
0.04,2010-02-26,CD,2010-03-10,4,2010-04-01,2010-03-12,VVI
0.04,2009-12-03,CD,2009-12-16,4,2010-01-04,2009-12-18,VVI
0.04,2009-08-28,CD,2009-09-09,4,2009-10-01,2009-09-11,VVI
0.04,2009-05-20,CD,2009-06-03,4,2009-07-01,2009-06-05,VVI
0.04,2009-02-25,CD,2009-03-11,4,2009-04-01,2009-03-13,VVI
0.04,2008-12-04,CD,2008-12-17,4,2009-01-02,2008-12-19,VVI
0.04,2008-08-29,CD,2008-09-10,4,2008-10-01,2008-09-12,VVI
0.04,2008-05-20,CD,2008-06-04,4,2008-07-01,2008-06-06,VVI
0.04,2008-02-26,CD,2008-03-12,4,2008-04-01,2008-03-14,VVI
0.04,2007-11-29,CD,2007-12-12,4,2008-01-02,2007-12-14,VVI
0.04,2007-08-23,CD,2007-09-12,4,2007-10-01,2007-09-14,VVI
0.04,2007-05-15,CD,2007-05-30,4,2007-07-02,2007-06-01,VVI
0.04,2007-02-22,CD,2007-03-21,4,2007-04-02,2007-03-23,VVI
0.04,2006-11-30,CD,2006-12-13,4,2007-01-02,2006-12-15,VVI
0.04,2006-08-24,CD,2006-09-06,4,2006-10-02,2006-09-08,VVI
0.04,2006-05-16,CD,2006-06-07,4,2006-07-03,2006-06-09,VVI
0.04,2006-02-23,CD,2006-03-21,4,2006-04-03,2006-03-23,VVI
0.04,2005-12-01,CD,2005-12-14,4,2006-01-03,2005-12-16,VVI
0.04,2005-08-25,CD,2005-09-07,4,2005-10-03,2005-09-09,VVI
0.04,2005-05-18,CD,2005-06-01,4,2005-07-01,2005-06-03,VVI
0.04,2005-02-24,CD,2005-03-21,4,2005-04-01,2005-03-23,VVI
0.04,2004-12-02,CD,2004-12-15,4,2005-01-03,2004-12-17,VVI
0.04,2004-07-23,CD,2004-09-01,4,2004-10-01,2004-09-03,VVI
0.36,2004-04-23,CD,2004-06-02,4,2004-07-01,2004-06-04,VVI
0.36,2004-01-30,CD,2004-03-10,4,2004-04-01,2004-03-12,VVI
0.36,2003-11-20,CD,2003-12-03,4,2004-01-02,2003-12-05,VVI
0.36,2003-08-21,CD,2003-09-03,4,2003-10-01,2003-09-05,VVI
0.36,2003-05-13,CD,2003-06-04,4,2003-07-01,2003-06-06,VVI
0.36,2003-02-20,CD,2003-03-12,4,2003-04-01,2003-03-14,VVI
0.36,2002-11-21,CD,2002-12-04,4,2003-01-02,2002-12-06,VVI
0.36,2002-08-15,CD,2002-09-04,4,2002-10-01,2002-09-06,VVI
0.36,2002-05-15,CD,2002-06-05,4,2002-07-01,2002-06-07,VVI
0.36,2002-02-21,CD,2002-03-13,4,2002-04-01,2002-03-15,VVI
0.36,2001-11-15,CD,2001-12-05,4,2002-01-02,2001-12-07,VVI
0.36,2001-08-16,CD,2001-09-05,4,2001-10-01,2001-09-07,VVI
0.36,2001-05-08,CD,2001-05-30,4,2001-07-02,2001-06-01,VVI
0.36,2001-02-15,CD,2001-03-07,4,2001-04-02,2001-03-09,VVI
0.36,2000-11-16,CD,2000-12-06,4,2001-01-02,2000-12-08,VVI
0.36,2000-08-16,CD,2000-08-31,4,2000-10-02,2000-09-05,VVI
0.36,2000-05-09,CD,2000-05-31,4,2000-07-03,2000-06-02,VVI
0.36,2000-02-17,CD,2000-03-08,4,2000-04-03,2000-03-10,VVI
0.36,1999-11-18,CD,1999-12-01,4,2000-01-02,1999-12-03,VVI
0.36,1999-08-19,CD,1999-09-01,4,1999-10-01,1999-09-03,VVI
0.36,1999-05-11,CD,1999-06-01,4,1999-07-01,1999-06-03,VVI
0.32,1999-02-18,CD,1999-03-10,4,1999-04-01,1999-03-12,VVI
0.32,1998-11-19,CD,1998-11-25,4,1999-01-04,1998-11-30,VVI
0.32,1998-08-20,CD,1998-08-27,4,1998-10-01,1998-08-31,VVI
0.32,1998-05-12,CD,1998-05-27,4,1998-07-01,1998-05-29,VVI
0.32,1998-02-19,CD,1998-03-11,4,1998-04-01,1998-03-13,VVI
0.32,1997-11-20,CD,1997-11-26,4,1998-01-02,1997-12-01,VVI
0.32,1997-08-21,CD,1997-08-28,4,1997-10-01,1997-09-02,VVI
0.32,1997-05-13,CD,1997-05-28,4,1997-07-01,1997-05-30,VVI
0.32,1997-02-20,CD,1997-03-12,4,1997-04-01,1997-03-14,VVI
0.32,1996-11-21,CD,1996-11-27,4,1997-01-02,1996-12-02,VVI
0.32,1996-08-15,CD,1996-08-28,4,1996-10-01,1996-08-30,VVI
0.64,1996-05-14,CD,1996-05-29,4,1996-07-01,1996-05-31,VVI
0.64,1996-02-15,CD,1996-03-13,4,1996-04-01,1996-03-15,VVI
0.64,1995-11-10,CD,1995-11-29,4,1996-01-02,1995-12-01,VVI
0.64,1995-08-17,CD,1995-08-30,4,1995-10-02,1995-09-01,VVI
0.6,1995-05-09,CD,1995-05-25,4,1995-07-03,1995-06-01,VVI
0.6,1995-02-16,CD,1995-03-06,4,1995-04-03,1995-03-10,VVI
0.6,1994-11-17,CD,1994-11-25,4,1995-01-03,1994-12-01,VVI
0.6,1994-08-18,CD,1994-08-26,4,1994-10-03,1994-09-01,VVI
0.6,1994-05-10,CD,1994-05-25,4,1994-07-01,1994-06-01,VVI
0.56,1994-02-17,CD,1994-03-07,4,1994-04-01,1994-03-11,VVI
0.56,1993-11-18,CD,1993-11-24,4,1994-01-03,1993-12-01,VVI
0.56,1993-08-19,CD,1993-08-26,4,1993-10-01,1993-09-01,VVI
0.56,1993-05-11,CD,1993-05-25,4,1993-07-01,1993-06-01,VVI
0.56,1993-02-18,CD,1993-03-08,4,1993-04-01,1993-03-12,VVI
0.56,1992-11-19,CD,1992-11-24,4,1993-01-04,1992-12-01,VVI
0.56,1992-08-20,CD,1992-08-26,4,1992-10-01,1992-09-01,VVI
0.56,1992-05-12,CD,1992-05-26,4,1992-07-01,1992-06-01,VVI
0.7,1992-02-20,CD,1992-02-27,4,1992-04-01,1992-03-04,VVI
0.7,1991-11-21,CD,1991-11-25,4,1992-01-02,1991-12-02,VVI
0.7,1991-08-15,CD,1991-08-26,4,1991-10-01,1991-08-30,VVI
0.7,1991-05-14,CD,1991-05-24,4,1991-07-01,1991-05-31,VVI
0.7,1991-02-21,CD,1991-02-27,4,1991-04-01,1991-03-05,VVI
0.7,1990-11-15,CD,1990-11-26,4,1991-01-02,1990-11-30,VVI
0.7,1990-08-17,CD,1990-08-27,4,1990-10-01,1990-08-31,VVI
0.66,1990-05-08,CD,1990-05-25,4,1990-07-02,1990-06-01,VVI
0.66,1990-02-15,CD,1990-02-26,4,1990-04-02,1990-03-02,VVI
0.66,1989-11-16,CD,1989-11-27,4,1990-01-02,1989-12-01,VVI
0.66,1989-08-17,CD,1989-08-28,4,1989-10-02,1989-09-01,VVI
0.66,1989-05-09,CD,1989-05-26,4,1989-07-03,1989-06-02,VVI
0.66,1989-02-16,CD,1989-02-27,4,1989-04-03,1989-03-03,VVI
0.66,1988-11-17,CD,1988-11-28,4,1989-01-03,1988-12-02,VVI
0.66,1988-08-18,CD,1988-08-29,4,1988-10-03,1988-09-02,VVI
0.66,1988-05-10,CD,1988-05-27,4,1988-07-01,1988-06-03,VVI
0.66,1988-02-18,CD,1988-02-29,4,1988-04-01,1988-03-04,VVI
0.66,1987-11-19,CD,1987-11-30,4,1988-01-04,1987-12-04,VVI
0.66,1987-08-20,CD,1987-08-31,4,1987-10-01,1987-09-04,VVI
0.66,1987-05-12,CD,1987-06-01,4,1987-07-01,1987-06-05,VVI
0.66,1987-02-19,CD,1987-03-02,4,1987-04-01,1987-03-06,VVI
0.66,1986-11-20,CD,1986-12-01,4,1987-01-02,1986-12-05,VVI
0.66,1986-08-21,CD,1986-08-26,4,1986-10-01,1986-09-02,VVI
0.66,1986-05-13,CD,1986-05-23,4,1986-07-01,1986-05-30,VVI
0.66,1986-02-20,CD,1986-03-03,4,1986-04-01,1986-03-07,VVI
0.66,1985-11-21,CD,1985-11-25,4,1986-01-02,1985-12-02,VVI
