cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.64,2022-05-31,CD,2022-07-07,4,2022-08-01,2022-07-08,VZ
0.64,2022-02-28,CD,2022-04-07,4,2022-05-02,2022-04-08,VZ
0.64,2021-12-02,CD,2022-01-07,4,2022-02-01,2022-01-10,VZ
0.64,2021-09-02,CD,2021-10-07,4,2021-11-01,2021-10-08,VZ
0.6275,2021-06-02,CD,2021-07-08,4,2021-08-02,2021-07-09,VZ
0.6275,2021-03-03,CD,2021-04-08,4,2021-05-03,2021-04-09,VZ
0.6275,2020-12-04,CD,2021-01-07,4,2021-02-01,2021-01-08,VZ
0.6275,2020-09-03,CD,2020-10-08,4,2020-11-02,2020-10-09,VZ
0.615,2020-06-04,CD,2020-07-09,4,2020-08-03,2020-07-10,VZ
0.615,2020-03-05,CD,2020-04-09,4,2020-05-01,2020-04-13,VZ
0.615,2019-12-05,CD,2020-01-09,4,2020-02-03,2020-01-10,VZ
0.615,2019-09-05,CD,2019-10-09,4,2019-11-01,2019-10-10,VZ
0.6025,2019-06-06,CD,2019-07-09,4,2019-08-01,2019-07-10,VZ
0.6025,2019-03-08,CD,2019-04-09,4,2019-05-01,2019-04-10,VZ
0.6025,2018-12-06,CD,2019-01-09,4,2019-02-01,2019-01-10,VZ
0.6025,2018-09-06,CD,2018-10-09,4,2018-11-01,2018-10-10,VZ
0.59,2018-06-07,CD,2018-07-09,4,2018-08-01,2018-07-10,VZ
0.59,2018-03-06,CD,2018-04-09,4,2018-05-01,2018-04-10,VZ
0.59,2017-12-07,CD,2018-01-09,4,2018-02-01,2018-01-10,VZ
0.59,2017-09-07,CD,2017-10-06,4,2017-11-01,2017-10-10,VZ
0.5775,2017-07-01,CD,2017-07-06,4,2017-08-01,2017-07-10,VZ
0.5775,2017-03-03,CD,2017-04-06,4,2017-05-01,2017-04-10,VZ
0.5775,2016-12-01,CD,2017-01-06,4,2017-02-01,2017-01-10,VZ
0.5775,2016-09-01,CD,2016-10-05,4,2016-11-01,2016-10-07,VZ
0.565,2016-06-02,CD,2016-07-06,4,2016-08-01,2016-07-08,VZ
0.565,2016-03-04,CD,2016-04-06,4,2016-05-02,2016-04-08,VZ
0.565,2015-12-03,CD,2016-01-06,4,2016-02-01,2016-01-08,VZ
0.565,2015-09-03,CD,2015-10-07,4,2015-11-02,2015-10-09,VZ
0.55,2015-06-04,CD,2015-07-08,4,2015-08-03,2015-07-10,VZ
0.55,2015-03-06,CD,2015-04-08,4,2015-05-01,2015-04-10,VZ
0.55,2014-12-04,CD,2015-01-07,4,2015-02-02,2015-01-09,VZ
0.55,2014-09-04,CD,2014-10-08,4,2014-11-03,2014-10-10,VZ
0.53,2014-06-05,CD,2014-07-08,4,2014-08-01,2014-07-10,VZ
0.53,2014-03-07,CD,2014-04-08,4,2014-05-01,2014-04-10,VZ
0.53,2013-12-06,CD,2014-01-08,4,2014-02-03,2014-01-10,VZ
0.53,2013-09-02,CD,2013-10-08,4,2013-11-01,2013-10-10,VZ
0.515,2013-06-06,CD,2013-07-08,4,2013-08-01,2013-07-10,VZ
0.515,2013-03-08,CD,2013-04-08,4,2013-05-01,2013-04-10,VZ
0.515,2012-12-06,CD,2013-01-08,4,2013-02-01,2013-01-10,VZ
0.515,2012-09-07,CD,2012-10-05,4,2012-11-01,2012-10-10,VZ
0.5,2012-06-08,CD,2012-07-06,4,2012-08-01,2012-07-10,VZ
0.5,2012-03-03,CD,2012-04-05,4,2012-05-01,2012-04-10,VZ
0.5,2011-12-02,CD,2012-01-06,4,2012-02-01,2012-01-10,VZ
0.5,2011-09-02,CD,2011-10-05,4,2011-11-01,2011-10-07,VZ
0.4875,2011-06-03,CD,2011-07-06,4,2011-08-01,2011-07-08,VZ
0.4875,2011-03-05,CD,2011-04-06,4,2011-05-02,2011-04-08,VZ
0.4875,2010-12-03,CD,2011-01-06,4,2011-02-01,2011-01-10,VZ
0.4875,2010-09-03,CD,2010-10-06,4,2010-11-01,2010-10-08,VZ
0.475,2010-06-04,CD,2010-07-07,4,2010-08-02,2010-07-09,VZ
0.475,2010-03-06,CD,2010-04-07,4,2010-05-03,2010-04-09,VZ
0.475,2009-12-04,CD,2010-01-06,4,2010-02-01,2010-01-08,VZ
0.475,2009-09-04,CD,2009-10-07,4,2009-11-02,2009-10-09,VZ
