cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.23,2022-08-02,CD,2022-08-17,4,2022-09-01,2022-08-18,WCN
0.23,2022-05-03,CD,2022-05-17,4,2022-06-01,2022-05-18,WCN
0.23,2022-02-16,CD,2022-03-01,4,2022-03-16,2022-03-02,WCN
0.23,2021-10-27,CD,2021-11-08,4,2021-11-23,2021-11-09,WCN
0.205,2021-08-04,CD,2021-08-17,4,2021-09-01,2021-08-18,WCN
0.205,2021-04-28,CD,2021-05-11,4,2021-05-26,2021-05-12,WCN
0.205,2021-02-17,CD,2021-03-02,4,2021-03-17,2021-03-03,WCN
0.205,2020-10-28,CD,2020-11-09,4,2020-11-25,2020-11-10,WCN
0.185,2020-07-23,CD,2020-08-03,4,2020-08-18,2020-08-04,WCN
0.185,2020-04-23,CD,2020-05-04,4,2020-05-19,2020-05-05,WCN
0.185,2020-02-12,CD,2020-02-26,4,2020-03-12,2020-02-27,WCN
0.185,2019-10-28,CD,2019-11-08,4,2019-11-26,2019-11-12,WCN
0.16,2019-07-29,CD,2019-08-09,4,2019-08-26,2019-08-12,WCN
0.16,2019-04-24,CD,2019-05-07,4,2019-05-22,2019-05-08,WCN
0.16,2019-02-13,CD,2019-02-28,4,2019-03-15,2019-03-01,WCN
0.16,2018-10-29,CD,2018-11-09,4,2018-11-27,2018-11-13,WCN
0.14,2018-07-24,CD,2018-08-06,4,2018-08-21,2018-08-07,WCN
0.14,2018-05-02,CD,2018-05-15,4,2018-05-30,2018-05-16,WCN
0.14,2018-02-14,CD,2018-02-27,4,2018-03-14,2018-02-28,WCN
0.14,2017-10-25,CD,2017-11-07,4,2017-11-22,2017-11-08,WCN
0.12,2017-07-25,CD,2017-08-03,4,2017-08-22,2017-08-08,WCN
0.12,2017-04-26,CD,2017-05-08,4,2017-05-24,2017-05-10,WCN
0.12,2017-02-21,CD,2017-03-03,4,2017-03-21,2017-03-07,WCN
0.12,2016-10-26,CD,2016-11-03,4,2016-11-21,2016-11-07,WCN
0.0966666667,2016-07-19,CD,2016-07-29,4,2016-08-15,2016-08-02,WCN
0.0966666667,2016-04-19,CD,2016-04-29,4,2016-05-17,2016-05-03,WCN
0.0966666667,2016-02-08,CD,2016-02-26,4,2016-03-15,2016-03-01,WCN
0.0966666667,2015-10-26,CD,2015-11-05,4,2015-11-23,2015-11-09,WCN
0.0866666667,2015-07-27,CD,2015-08-06,4,2015-08-24,2015-08-10,WCN
0.0866666667,2015-04-16,CD,2015-04-28,4,2015-05-14,2015-04-30,WCN
0.0866666667,2015-02-09,CD,2015-02-26,4,2015-03-16,2015-03-02,WCN
0.0866666667,2014-10-21,CD,2014-10-31,4,2014-11-18,2014-11-04,WCN
0.0766666667,2014-07-17,CD,2014-07-30,4,2014-08-15,2014-08-01,WCN
0.0766666667,2014-04-17,CD,2014-04-29,4,2014-05-15,2014-05-01,WCN
0.0766666667,2014-01-28,CD,2014-02-07,4,2014-02-25,2014-02-11,WCN
0.0766666667,2013-10-23,CD,2013-11-01,4,2013-11-19,2013-11-05,WCN
0.0666666667,2013-07-23,CD,2013-08-02,4,2013-08-20,2013-08-06,WCN
0.0666666667,2013-04-24,CD,2013-05-06,4,2013-05-22,2013-05-08,WCN
0.0666666667,2013-01-15,CD,2013-02-01,4,2013-02-19,2013-02-05,WCN
0.0666666667,2012-10-22,CD,2012-11-01,4,2012-11-19,2012-11-05,WCN
0.06,2012-07-24,CD,2012-08-02,4,2012-08-20,2012-08-06,WCN
0.06,2012-04-26,CD,2012-05-07,4,2012-05-23,2012-05-09,WCN
0.06,2012-02-08,CD,2012-02-16,4,2012-03-06,2012-02-21,WCN
0.06,2011-10-19,CD,2011-10-31,4,2011-11-16,2011-11-02,WCN
0.05,2011-07-20,CD,2011-08-01,4,2011-08-17,2011-08-03,WCN
0.05,2011-04-22,CD,2011-05-04,4,2011-05-20,2011-05-06,WCN
0.05,2011-02-01,CD,2011-02-17,4,2011-03-01,2011-02-22,WCN
0.05,2010-10-20,CD,2010-10-27,4,2010-11-12,2010-10-29,WCN
