cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.6,2022-08-04,CD,2022-08-17,4,2022-09-02,2022-08-18,WD
0.6,2022-05-04,CD,2022-05-18,4,2022-06-03,2022-05-19,WD
0.6,2022-02-03,CD,2022-02-18,4,2022-03-10,2022-02-22,WD
0.5,2021-11-03,CD,2021-11-18,4,2021-11-29,2021-11-19,WD
0.5,2021-08-04,CD,2021-08-18,4,2021-09-03,2021-08-19,WD
0.5,2021-05-08,CD,2021-05-19,4,2021-06-04,2021-05-20,WD
0.5,2021-02-03,CD,2021-02-19,4,2021-03-11,2021-02-22,WD
0.36,2020-10-29,CD,2020-11-12,4,2020-11-30,2020-11-13,WD
0.36,2020-08-04,CD,2020-08-20,4,2020-09-08,2020-08-21,WD
0.36,2020-05-06,CD,2020-05-19,4,2020-06-05,2020-05-20,WD
0.36,2020-02-05,CD,2020-02-20,4,2020-03-09,2020-02-21,WD
0.3,2019-11-06,CD,2019-11-21,4,2019-12-09,2019-11-22,WD
0.3,2019-08-06,CD,2019-08-22,4,2019-09-09,2019-08-23,WD
0.3,2019-04-30,CD,2019-05-16,4,2019-06-04,2019-05-17,WD
0.3,2019-02-07,CD,2019-02-25,4,2019-03-07,2019-02-26,WD
0.25,2018-10-30,CD,2018-11-15,4,2018-12-04,2018-11-16,WD
0.25,2018-07-31,CD,2018-08-16,4,2018-09-04,2018-08-17,WD
0.25,2018-05-03,CD,2018-05-17,4,2018-06-05,2018-05-18,WD
0.25,2018-02-08,CD,2018-02-22,4,2018-03-07,2018-02-23,WD
