cash_amount,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0.65,2022-05-09,CD,2022-06-02,4,2022-06-17,2022-06-03,WM
0.65,2022-03-01,CD,2022-03-16,4,2022-03-31,2022-03-17,WM
0.575,2021-11-16,CD,2021-12-02,4,2021-12-17,2021-12-03,WM
0.575,2021-08-16,CD,2021-09-02,4,2021-09-17,2021-09-03,WM
0.575,2021-05-11,CD,2021-06-03,4,2021-06-18,2021-06-04,WM
0.575,2021-02-23,CD,2021-03-11,4,2021-03-26,2021-03-12,WM
0.545,2020-11-17,CD,2020-12-03,4,2020-12-18,2020-12-04,WM
0.545,2020-08-18,CD,2020-09-03,4,2020-09-18,2020-09-04,WM
0.545,2020-05-12,CD,2020-06-04,4,2020-06-19,2020-06-05,WM
0.545,2020-02-18,CD,2020-03-05,4,2020-03-20,2020-03-06,WM
0.5125,2019-11-19,CD,2019-12-05,4,2019-12-20,2019-12-06,WM
0.5125,2019-08-19,CD,2019-09-05,4,2019-09-20,2019-09-06,WM
0.5125,2019-05-14,CD,2019-06-06,4,2019-06-21,2019-06-07,WM
0.5125,2019-02-19,CD,2019-03-07,4,2019-03-22,2019-03-08,WM
0.465,2018-11-12,CD,2018-11-29,4,2018-12-14,2018-11-30,WM
0.465,2018-08-20,CD,2018-09-06,4,2018-09-21,2018-09-07,WM
0.465,2018-05-14,CD,2018-06-07,4,2018-06-22,2018-06-08,WM
0.465,2018-02-19,CD,2018-03-08,4,2018-03-23,2018-03-09,WM
0.425,2017-11-06,CD,2017-11-30,4,2017-12-15,2017-12-01,WM
0.425,2017-08-24,CD,2017-09-07,4,2017-09-22,2017-09-08,WM
0.425,2017-05-11,CD,2017-06-07,4,2017-06-23,2017-06-09,WM
0.425,2017-02-27,CD,2017-03-08,4,2017-03-24,2017-03-10,WM
0.41,2016-11-10,CD,2016-11-30,4,2016-12-16,2016-12-02,WM
